id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2497741919,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-01-15T14:56:12.689Z,2023-01-15T15:57:16Z,3979872699,30,"627nw9ji9qfss33q8ce8042c5, 2gonj4ylypwritcayysoqj3hm, 57wfg8j12hfw3aisrnwtpgmvp, cqrk42u0s5w8yuq6mnckug02y, 9fkdgor4mv7f8eqz65ugnnydx, ew4kbwq27lxqocg0920amphw5, 55e0z1vhb48go6y2io7h80aqy, 6ciggfx8p0zkak8qxe1p7yzth, 7wphtxp293kv4o3x1b6zusrmd, 7myeigeuggkj5ymjw6znedkut, 1i3tivo0q0tbzui8egvdlhg45, 3kt58x082lj8650en2mt60xqt, ewbakrn2dqmy062scjnz0pecp, 49x98sk3wf7sjshrlou5vnvje, e605oixdrqumxkqm0y1bijbvt, 7yv6daktduzqwza1thgqc7h1w, 4l8n194otkmyc3op4u111l5n9, ekltvbrx114dg6b2wj3lpwy96, 2pjxqgyqgvalmyu8cnu5fst90, 2ht1bdhf6z4bkck3aj92sq32s, eytcfp4cu6qkar65kf0p5rm96, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp",3979872709,194,ew4kbwq27lxqocg0920amphw5,3979872705,130,8,3979872701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979872711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979872707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980151211,197,2846,3979872703,59,"32, 34, 18, 20, 5, 4, 77, 2, 9, 23, 10, 1, 7, 8, 11, 12, 13, 16, 19, 21, 24, 27, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497741955,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-15T14:56:17.045Z,2023-01-15T15:43:52Z,3979872925,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979872931,130,4,3979872935,194,3u2783a9ukglf8yg3dere8wve,3980090889,197,12539,3979872933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979872923,30,"7rvlba00jv66w7wtdmk178a95, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 8o13oyr0lqkr5sw7j9ekdan6x, 7r2ifipuieqiar5n00o2j5uj9, blzp9qbpturqntnisbkg0ddlg, 9wgpudcet9m8doz9ezbjxzkrt, 7pz3qz589b7v3pkb9h0hv73l5, cgsirikez39wlx8lhu1uo00yd, ae7ij4u0xy9iru6qvdw2i9fu2, dz5odw2c0d2hyx60oxorrf9hx, 4736oz9r0evpmkd3qumivl239, 426st78oi43eortpbfkuxw72t, ail0unvzd0b9ur7j0l8hk0y51, 8ylvnl689iweg2r9d0ioj771m, dzs8vty5afl2y7ddjh3ausclx, ca5n8516u8m6c41u61bbjjbop, eyx1wga1fue6lb5a0ak5f32i2, afsin57n25r53ifmqyfmbzqol, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, bw10e3zz1g0e4gomq2saqcb9w, c6ufljjgl050g9xn7e9ma7hg4",3979872937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979872929,59,"1, 5, 16, 6, 4, 33, 8, 21, 9, 14, 20, 3, 10, 12, 15, 18, 24, 27, 28, 30, 31, 38, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783503,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-15T15:44:40.460Z,2023-01-15T15:44:40Z,3980095507,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783955,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-01-15T15:44:40.460Z,2023-01-17T11:35:59Z,3980097867,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783969,3,1,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,49.9,50.1,2023-01-15T15:44:40.530Z,2023-01-17T19:51:25Z,3980104801,213,3.4,3980104795,140,31.2,3980104797,141,43.3,3980104793,56,Back,3980155975,279,S,3982401911,178,,3980104799,212,20.2,,,,1i3tivo0q0tbzui8egvdlhg45,M. Diemers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783975,4,1,1,0,4,3t0vjqtxc8wpjzv82i3oi2ova,0,28.1,39.2,2023-01-15T15:44:44.765Z,2023-01-17T19:51:30Z,3980106475,212,37.4,3980106471,140,62.4,3980106477,213,6.0,3980106473,141,24.2,3982402073,178,,3980106469,56,Center,3980106479,1,,3980106869,155,,9fkdgor4mv7f8eqz65ugnnydx,M. Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783665,3,49,1,0,5,ears40cp6opsgvhsy0dgyszpd,1,35.8,79.9,2023-01-15T15:44:46.447Z,2023-01-17T19:51:37Z,,,,,,,,,,,,,,,,,,,,,,,,,dz5odw2c0d2hyx60oxorrf9hx,R. Maulun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783715,4,1,1,0,6,ears40cp6opsgvhsy0dgyszpd,1,35.5,84.5,2023-01-15T15:44:46.484Z,2023-01-17T19:51:41Z,3980096605,140,57.1,3982402317,178,,3980096601,155,,3980096611,213,5.7,3980096607,141,63.1,3980096603,56,Center,3980096609,212,26.9,,,,dz5odw2c0d2hyx60oxorrf9hx,R. Maulun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497784011,5,1,1,0,7,ears40cp6opsgvhsy0dgyszpd,0,59.3,60.5,2023-01-15T15:44:47.742Z,2023-01-17T19:51:48Z,3980098089,213,5.7,3980098077,3,,3982402441,388,,3980098085,141,44.5,3980098081,56,Center,3980098079,168,,3980098087,212,19.7,3980098083,140,74.9,cgsirikez39wlx8lhu1uo00yd,T. Boere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497783983,6,49,1,0,12,3t0vjqtxc8wpjzv82i3oi2ova,1,17.7,55.3,2023-01-15T15:44:52.550Z,2023-01-17T19:51:51Z,,,,,,,,,,,,,,,,,,,,,,,,,627nw9ji9qfss33q8ce8042c5,M. van der Hart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
