id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,assist
2531201395,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-04-09T16:49:13.874Z,2023-04-09T18:37:06Z,4177289843,130,4,4177289845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177289837,30,"11ceernyer8po8soj8dmygatx, 4yyekuopwb7otz18rqfgwjht5, 4fcjml5xkrwp4jykruzrzub1m, 672cwl9zj2d6lce6jda350vvu, 5bjdj7hrhuxjbsa8wc1kw42c5, 1vyh50nfaq2kq5pmivpkc1psl, 504o2odlvra056ouwcgreopgp, djbw3afgcgkbq22soig0xsjfu, aboxil79ulfa73pckzsdnwp62, e0cy0gwf04lohf0xjef0af8fe, a89554tzfy4nfxrycpr2z0xjp, e6xexn53yyoxmdt5naduyx8bu, bnar4f48vnx4oaz2lzch48es5, a8cgbwioykhqztfjgztfn7dud, 4j5hfebi948ggjwexpndrub1m, dy8wa8cciiae72q2ynm80rlcl, dux0skggr99ydjz3kn58p3wmh, 909y6bbt3ht52rsu560ua5gid, 1957std7hji9ca7bd29y8at7u, 1qjf9el1a3ct17cb9epxz8xgq, 2fbolmn7pyvn5oto4zoeqguwa, 5vsr5aylntbln91iqj7vh5duy, 961rxtkdbimo36qyjsjuwmj56",4177494059,197,469,4177289847,194,djbw3afgcgkbq22soig0xsjfu,4177289841,59,"22, 4, 5, 20, 18, 33, 17, 10, 29, 14, 26, 2, 6, 7, 9, 11, 15, 21, 23, 25, 28, 30, 49",4177289839,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177289849,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531202873,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-04-09T16:52:16.357Z,2023-04-09T18:03:01Z,4177297949,59,"1, 2, 34, 6, 23, 4, 33, 14, 7, 20, 10, 5, 8, 9, 13, 15, 17, 19, 21, 22, 24, 26, 35",4177487845,197,534,4177297953,130,4,4177297965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177297941,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, ddldrej9an43ky123hqwp22ju, evexihkozqignope6k57tjgt1, 9787nemt11c372uird332d13p, 8przxwwothu3crflys7ahl4dm, b23be312oxcbusvpjnnriukq2, dbg4ducw8j747foxiexle1iad, a0i7hc92p5ijqi4jqw8krh8x6, atbvv2os8m7nfs0p128w5a6l1, b1o6ctqy1mhjg4iiec8aedat, 181us5vol7crxrmejhkqau3t, aoucm7e5muqfucbv1g4e8hh49, btfanvej91yogqzfml4vmsmei, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, arahlffwma11d06oqmglwjemt, w32h1te98uqq53j053qm3pm2, 5cvstzkb7l1zxapx0dt4zjkoa",4177297957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177297945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177297961,194,8przxwwothu3crflys7ahl4dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531237993,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-04-09T18:00:48.969Z,2023-04-09T18:00:50Z,4177494833,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531237967,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-04-09T18:00:48.969Z,2023-04-09T18:00:49Z,4177494693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531238005,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,49.9,50,2023-04-09T18:00:49.069Z,2023-04-09T18:01:55Z,4177494887,279,S,4177494881,141,38.2,4177494877,56,Back,4177494879,140,31.3,4177494883,212,21.1,4177494885,213,3.5,,,,,,,atbvv2os8m7nfs0p128w5a6l1,M. Seuntjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531238069,4,1,1,0,2,ed5nwjz5za3oyi20nxzgqivmx,0,31.2,37.9,2023-04-09T18:00:51.750Z,2023-04-09T18:49:53Z,4177495211,1,,4177495203,140,79.1,4177495205,141,90.0,4177495209,213,0.6,4177495207,212,61.5,4177495199,56,Left,4177495197,155,,,,,evexihkozqignope6k57tjgt1,V. Anita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531238081,3,1,1,0,7,20vymiy7bo8wkyxai3ew494fz,1,24.1,11.3,2023-04-09T18:00:56.484Z,2023-04-09T18:00:58Z,4177495281,212,3.7,4177495275,56,Back,4177495273,3,,4177495277,140,27.6,4177495279,141,11.5,4177495283,213,0.0,,,,,,,4yyekuopwb7otz18rqfgwjht5,L. Geertruida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531238147,4,1,1,0,9,20vymiy7bo8wkyxai3ew494fz,1,26.4,11.6,2023-04-09T18:00:58.162Z,2023-04-09T18:01:03Z,4177495643,212,4.4,4177495645,213,0.1,4177495637,56,Back,4177495641,141,12.0,4177495633,3,,4177495635,168,,4177495639,140,30.6,,,,e0cy0gwf04lohf0xjef0af8fe,Igor Paixão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531238149,5,4,1,0,12,20vymiy7bo8wkyxai3ew494fz,1,30.3,17.5,2023-04-09T18:01:01.282Z,2023-04-09T18:01:05Z,4177495657,152,,4177495659,285,,4177495651,13,,4177495843,233,5,4177495655,56,Back,4177495653,294,,,,,,,,672cwl9zj2d6lce6jda350vvu,M. Wieffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531238175,5,4,1,0,12,ed5nwjz5za3oyi20nxzgqivmx,0,69.7,82.5,2023-04-09T18:01:01.283Z,2023-04-09T18:01:06Z,4177495801,294,,4177495869,233,5,4177495807,286,,4177495805,152,,4177495803,56,Left,4177495799,13,,,,,,,,dbg4ducw8j747foxiexle1iad,P. Clement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
