id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2472273791,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-10-15T15:57:49.317Z,2022-10-15T16:43:18Z,3845771053,197,4030,3845553921,130,2,3845553923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845553919,59,"31, 12, 5, 15, 2, 14, 85, 19, 17, 10, 7, 1, 4, 8, 11, 18, 21, 22, 33, 34, 61, 90",3845553917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3845553927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845553925,194,atbvv2os8m7nfs0p128w5a6l1,3845553915,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, bznrsqachpfr9l2wnfjy8samt, 51b7kbz09togoaueykwbm385, 9fpb7g8ij9dqtuqhnimy5fap5, 8qqyo9093i0wtapxq219wjzzd, 9trasqdd75zjxz4kzplb64xjp, 8rqula41yqtbwycgemsw9ixud, atbvv2os8m7nfs0p128w5a6l1, 4tc5741xue1eigwcu4t7qtuc5, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 6pgcyaivg3sjcm6jju4nn3omi, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, cozhhgt0jbcuu4wdxf1pwjkyd, 3fzqjtehxr65c2xfyytws30q2, 7t19aebk75lrt41hmclk18mhh, emrt1s5yfgtex867u98gbt0fe, 6o2tffdjtdueojbhahe3w66i2, a3hraho1lbnm3ga3ffkahlqi2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472274233,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-10-15T15:58:28.262Z,2022-10-15T16:41:40Z,3845556309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845556305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3845556297,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, 93cf9npj6wl6vrxw7hetf6ok5, evexihkozqignope6k57tjgt1, a0i7hc92p5ijqi4jqw8krh8x6, e8wfxueczkhrj92rytelw5vx1, dbg4ducw8j747foxiexle1iad, aoucm7e5muqfucbv1g4e8hh49, btfanvej91yogqzfml4vmsmei, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, b23be312oxcbusvpjnnriukq2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",3845556307,194,e8wfxueczkhrj92rytelw5vx1,3845556303,130,10,3845556301,59,"1, 2, 5, 24, 4, 23, 11, 6, 7, 29, 14, 8, 9, 13, 15, 17, 19, 21, 22, 26, 33, 34, 35",3845556299,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3845762879,197,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318411,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-10-15T16:45:50.460Z,2022-10-17T05:27:22Z,3845784529,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318403,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2022-10-15T16:45:50.460Z,2022-10-15T16:45:50Z,3845784487,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318503,3,1,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,50.1,49.7,2022-10-15T16:45:50.549Z,2022-10-17T05:35:52Z,3845785019,140,26.3,3845785023,212,28.0,3845785021,141,68.2,3845785025,213,2.7,3851652775,178,,3845785017,56,Back,3845785027,279,S,,,,93cf9npj6wl6vrxw7hetf6ok5,I. Bel Hassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318509,4,1,1,0,3,ed5nwjz5za3oyi20nxzgqivmx,0,28.3,57.7,2022-10-15T16:45:54.161Z,2022-10-17T05:36:00Z,3845785069,213,6.1,3845785063,140,65.4,3845785061,56,Center,3845785065,141,46.6,3845785059,157,,3845785071,1,,3851653517,178,,3845785067,212,39.7,arahlffwma11d06oqmglwjemt,D. Van den Buijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318551,3,1,1,0,6,3ebril33e08ddzob4bhq8awsr,1,31.9,49.4,2022-10-15T16:45:56.758Z,2022-10-17T05:36:14Z,3845785315,3,,3845785325,213,1.2,3845785317,56,Back,3845785319,140,39.8,3851654491,388,,3845785323,212,21.5,3845785321,141,78.5,,,,9trasqdd75zjxz4kzplb64xjp,A. Ferati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318559,4,49,1,0,7,3ebril33e08ddzob4bhq8awsr,1,39.8,78.5,2022-10-15T16:45:57.882Z,2022-10-17T05:36:21Z,,,,,,,,,,,,,,,,,,,,,,,,,4tc5741xue1eigwcu4t7qtuc5,Iñigo Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318629,5,1,1,0,8,3ebril33e08ddzob4bhq8awsr,1,39.8,78.5,2022-10-15T16:45:58.776Z,2022-10-17T05:36:25Z,3851654781,178,,3845785687,140,28.7,3845785693,212,13.5,3845785691,141,88.4,3845785697,213,2.6,3845785683,56,Back,,,,,,,4tc5741xue1eigwcu4t7qtuc5,Iñigo Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318675,6,1,1,0,10,3ebril33e08ddzob4bhq8awsr,1,32.3,91.7,2022-10-15T16:46:01.265Z,2022-10-17T05:36:37Z,3845785945,56,Left,3845785949,141,91.7,3845785955,1,,3845785953,213,0.0,3845785951,212,46.2,3851654951,178,,3845785947,140,76.3,,,,b2h6iojtnu8rzb81vw4rbfrop,G. Cox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318749,7,1,1,0,15,3ebril33e08ddzob4bhq8awsr,1,79.1,90.9,2022-10-15T16:46:05.526Z,2022-10-17T05:36:44Z,3845786379,56,Center,3845786389,1,,3848259717,72,,3851655069,178,,3848259715,224,,3845786381,140,92.6,3845786383,141,23.4,3845786385,212,48.0,8rqula41yqtbwycgemsw9ixud,B. Yılmaz,3845786375,2,3845786377,155,3845786387,213,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318775,8,1,1,0,19,3ebril33e08ddzob4bhq8awsr,0,90,17.4,2022-10-15T16:46:09.805Z,2022-10-17T05:36:53Z,3851655203,178,,3845786509,1,,3845786497,155,,3845786503,141,67.2,3845786501,140,79.3,3845786505,212,35.7,3845786499,56,Center,3845786507,213,1.9,8qqyo9093i0wtapxq219wjzzd,Úmaro Embaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318767,5,49,1,0,21,ed5nwjz5za3oyi20nxzgqivmx,1,18.9,27.9,2022-10-15T16:46:12.211Z,2022-10-17T05:37:01Z,,,,,,,,,,,,,,,,,,,,,,,,,7a3ik1dbxkirdt58gwvvtyw9,J. Lelieveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472318805,6,1,1,0,21,ed5nwjz5za3oyi20nxzgqivmx,1,18.9,27.9,2022-10-15T16:46:12.319Z,2022-10-17T05:37:06Z,3851655377,178,,3845786661,140,13.4,3845786663,141,31.0,3845786659,56,Back,3845786665,212,6.1,3845786667,213,2.8,,,,,,,7a3ik1dbxkirdt58gwvvtyw9,J. Lelieveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
