id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2495118227,806,43,1,0,8,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-01-04T17:31:21.467Z,2023-01-05T01:54:28Z,3966071255,233,993,3966071263,144,67,,,,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042379,4,1,1,0,14,af91jdcs6x0bqkmdb78rokod2,0,31.5,0,2023-01-04T17:31:26.870Z,2023-01-05T01:18:16Z,3965654479,140,46.5,3965654481,141,10.7,3965654483,212,17.9,3965654477,56,Back,3965654485,213,0.5,3965654475,107,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042385,7,1,1,0,15,bqbbqm98ud8obe45ds9ohgyrd,1,54.1,87.2,2023-01-04T17:31:28.797Z,2023-01-05T01:18:21Z,3965654501,141,87.3,3965654497,56,Left,3965654505,213,0.0,3965654503,212,6.7,3965654499,140,60.5,3966057863,178,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042387,8,49,1,0,16,bqbbqm98ud8obe45ds9ohgyrd,1,60.5,87.5,2023-01-04T17:31:29.300Z,2023-01-05T01:18:24Z,,,,,,,,,,,,,,,,,,,,,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042391,9,1,1,0,17,bqbbqm98ud8obe45ds9ohgyrd,1,60.5,87.5,2023-01-04T17:31:30.241Z,2023-01-05T01:18:30Z,3965654531,141,93.3,3965654535,213,2.1,3965654527,56,Left,3965654533,212,4.6,3965654525,3,,3965654529,140,58.2,3966057965,178,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042397,10,1,1,0,19,bqbbqm98ud8obe45ds9ohgyrd,1,58.2,93.3,2023-01-04T17:31:32.233Z,2023-01-05T01:18:50Z,3965654569,56,Center,3965654573,141,73.1,3965654577,213,4.6,3966058081,178,,3965654575,212,13.9,3965654571,140,56.3,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042411,11,1,1,0,20,bqbbqm98ud8obe45ds9ohgyrd,1,56.2,72.6,2023-01-04T17:31:33.586Z,2023-01-05T01:18:56Z,3965654643,140,62.8,3965654647,212,7.7,3965654645,141,77.4,3965654649,213,0.4,3965654641,56,Center,3966058131,178,,,,,,,,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042415,12,1,1,0,23,bqbbqm98ud8obe45ds9ohgyrd,1,63.8,80.7,2023-01-04T17:31:36.234Z,2023-01-05T01:19:24Z,3965654675,213,2.7,3965654671,141,85.1,3965654667,56,Left,3965654673,212,7.2,3965654669,140,57.6,3966058247,178,,,,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042419,13,1,1,0,25,bqbbqm98ud8obe45ds9ohgyrd,1,59.5,87.2,2023-01-04T17:31:38.330Z,2023-01-05T01:20:02Z,3965654695,141,93.6,3966058475,178,,3965654691,56,Left,3965654699,213,0.5,3965654697,212,8.7,3965654693,140,66.7,,,,,,,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042425,14,61,1,0,26,bqbbqm98ud8obe45ds9ohgyrd,0,67.1,94.1,2023-01-04T17:31:38.930Z,2023-01-05T01:20:06Z,3966058497,178,,3965654729,56,Left,,,,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
