id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2483616549,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-11-09T16:40:22.306Z,2022-11-09T17:33:37Z,3905365523,30,"3ww5879aay1xf2a20nl9ihwid, 30oup47g0i12cvub12r7kmxd6, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, e5nv028chtw0955vhnh74ukbu, 2idy9ngk2rojseoxxw9n98c7p, 9q01y4w4dwpaqf8lmpv9wnmc5, 4aqkgskbra4wsoo7a8uw7xl9l, 30gsjr0xlmjulnz227zfxga8l, 4euxcqawlks4c56pqj8xvwbf9, 2fsgc0b4mvwpenawmit0q0bmd, 7drgir9lcwfst8vxz07jboe6t, cm6iy4b06qv9y6ww0hthqlwb9, 6lfje6glfgycun47flgmc9jvt, 45ubqc5i6yn2l5kdtlt8tbw7p, 2ugzqrpaooto1r24a6kvqf2ll, 2fqlri41xq6p924kine7pjr2t, 8d04q3yp2kouwog0lj0s7ew2x, d364lpc0km51psy3zwc4a6zca, 46qb4onowewc5f2euc159lz6y, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 1oflzbi4gq8wdjlmpa865jj6d, 4cejhrr3ji36591xf54jue3ca",3905365533,130,17,3905365543,197,549,3905365535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905365525,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3905365529,59,"57, 93, 21, 22, 5, 19, 15, 13, 91, 18, 88, 1, 2, 3, 6, 7, 10, 11, 17, 23, 28, 31, 33, 42",3905365547,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905365539,194,9q01y4w4dwpaqf8lmpv9wnmc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483616645,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-11-09T16:40:51.569Z,2022-11-09T17:38:15Z,3905366067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905366061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3905366071,197,5190,3905366069,194,4x1tm440b5cshi5gxkx5k9m95,3905366073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905366063,59,"30, 17, 25, 42, 5, 6, 29, 16, 9, 27, 11, 1, 4, 7, 8, 13, 14, 19, 21, 22, 28, 31, 77, 93, 97, 99",3905366059,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, 8j498fkairlyk82v1qprc13op, bkz9b4cqf8f970myv8r49f561, 6e4y15kfry8fzixh99zpala6t, dd7i0ps16hldpriliccyvxct0, 46yp8iqh0qm7i75d98tfrsbxm, 44f0q2ucrld1rwcwx63vgs7hl, 6gjr3yxp34gj52xx8xfm9nt91, 3iveuhunq47tg8lg0lm3d31sl, b3x2ne9udyi7aguwu5sw97rop, 5cjx2i2perp5vr62en4cyer1m, cnexf6pdh1piheuuqzrbb1t61, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, almqs7iwjgmimcpmegdkoh3o5, 9t753r5hnyq6qe5o7csuurw15, cntcffa67r95rbcf1154r92zu, 9ik51limpi4f3blp1r60hb27d, a6jwnrv86cly1ti085c9dnn6c, cv8wgka2bmkeqajg3eo9lb4k5, 8mlps3xgwbxa7svajxfk2exud, 90pjbz2aq8vz4qapqu1yt2ynd, 6dioxrahqm3l316lwtvqstnxm",3905366065,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483622983,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-11-09T17:30:34.703Z,2022-11-09T23:47:32Z,3905401931,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483622991,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-11-09T17:30:34.703Z,2022-11-09T17:30:37Z,3905401961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483623019,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50.1,49.7,2022-11-09T17:30:34.816Z,2022-11-09T23:53:45Z,3905402081,141,54.3,3905402089,279,S,3905402087,213,2.9,3905402077,140,37.0,3905402085,212,14.1,3905402073,56,Back,3906386997,178,,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483623039,4,1,1,0,1,e75syeuawg3ql8nwpi3vr2btz,1,36.3,55.5,2022-11-09T17:30:36.639Z,2022-11-09T23:53:50Z,3905402165,213,4.1,3905402161,141,44.0,3905402157,56,Back,3906387185,178,,3905402163,212,9.6,3905402159,140,31.0,,,,,,,4aqkgskbra4wsoo7a8uw7xl9l,Éderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483623055,5,1,1,0,4,e75syeuawg3ql8nwpi3vr2btz,1,30.5,46.7,2022-11-09T17:30:39.114Z,2022-11-09T23:53:53Z,3905402239,213,1.6,3906387247,178,,3905402231,56,Back,3905402237,212,13.5,3905402235,141,66.5,3905402233,140,30.7,,,,,,,e5nv028chtw0955vhnh74ukbu,C. Okoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483623073,6,1,1,0,6,e75syeuawg3ql8nwpi3vr2btz,1,30.7,66.5,2022-11-09T17:30:41.034Z,2022-11-09T23:54:01Z,3905402343,212,11.3,3906387397,178,,3905402345,213,5.1,3905402339,140,34.6,3905402337,56,Back,3905402341,141,51.0,,,,,,,7mvqysbmyf6uj3jny3qpqw2ga,M. Ruggeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483623083,7,1,1,0,7,e75syeuawg3ql8nwpi3vr2btz,1,31.2,55.3,2022-11-09T17:30:42.509Z,2022-11-09T23:54:08Z,3905402381,213,5.6,3906387537,178,,3905402379,212,9.3,3905402377,141,47.2,3905402375,140,38.3,3905402373,56,Back,,,,,,,4aqkgskbra4wsoo7a8uw7xl9l,Éderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483623117,8,1,1,0,9,e75syeuawg3ql8nwpi3vr2btz,1,38.2,40.7,2022-11-09T17:30:43.934Z,2022-11-09T23:54:13Z,3906387665,178,,3905402561,141,19.0,3905402559,140,36.6,3905402563,212,14.9,3905402557,56,Back,3905402565,213,4.6,,,,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
