id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2521676591,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-03-18T15:57:56.904Z,2023-03-18T17:00:25Z,4105996739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106577411,197,3166,4105996729,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105996741,194,etryzuxz65dmn5ewmocse66l1,4105996733,59,"13, 30, 3, 98, 23, 5, 8, 18, 29, 20, 87, 1, 2, 6, 9, 10, 11, 14, 15, 17, 25, 33, 39, 41, 66, 99",4105996725,30,"2luxnwcabb7msig7odfq5p5g5, etryzuxz65dmn5ewmocse66l1, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, d6sstsibcsfxporots5k9cicp, 7pg1pu4ptby6hi0rp29hv4jxl, 3mqhkh4iz4kesvmqui3hupgmi, drljavudmjvyj9mvyzq7gz2s5, c9shobonlrg7guoyb3iwnwdsl, 68jk3onf54kl1mdfz8zuicvkl, blo3zmhar2mujyp9z7kjnsut, ezpkmoz1z08da3o3g45m12lzp, 19gglji6ai70jiu7iqpkaxbyt, 7j0c36u6kk97eur4virjoka8l, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, 6l046k4t48abc079efzg2oic5, 3ftcqipzb86lzdztg4j1oz2s5, q281ehu1acmc9v96sv9g8bmx, d1e3dsz9lf7g69g2l6zfurpp1, 488q58xm2ahxuvpeyfpgwfklw, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q, 240qnsj5nj6l6s3cc618691at",4105996737,130,17,4105996743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521678393,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-03-18T16:00:43.031Z,2023-03-18T17:10:15Z,4106006115,194,3l0mj1zzhytxvm9tryvqv8kix,4106006109,59,"28, 3, 50, 6, 5, 26, 20, 30, 99, 19, 77, 1, 4, 7, 9, 10, 11, 14, 17, 21, 22, 25, 29, 34",4106577573,197,17289,4106006117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106006113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106006111,130,8,4106006105,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 7ohgxs03szerp6mwiiv58ryay, 6eqqtmbg35rg2stk10ic7q8k5, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, bpfg11qh1q0zj2x6sqd3srvmx, 5lvdnoyknuoyr6kdruposgctl, a46kdc4sdf7e6520s8gm9glm2, bdb6j168crcrwje9k0titxv55, 83hpavqn7r5bzcgxvjbcso3px, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 1cu7fg8sf90isf9gp21e5fqh, dccxma9p13p00n0gi1cxk1nf9, 5j7hbe94ewys7hkd04ay5bpw5, 56bidwsegakrtx3z1qbbpnc6i, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, 8wh3u8b2hz7rcygnfng8khh3p, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund",4106006107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786259,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-03-18T17:01:01.279Z,2023-03-19T01:44:32Z,4106579675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786251,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-03-18T17:01:01.279Z,2023-03-18T17:01:01Z,4106579623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786283,3,1,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,50,50,2023-03-18T17:01:01.300Z,2023-03-19T02:31:50Z,4106579789,279,S,4106579781,140,38.3,4106579783,141,52.2,4106579779,56,Back,4106579787,213,3.0,4108491997,178,,4106579785,212,12.4,,,,a46kdc4sdf7e6520s8gm9glm2,M. Barrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786305,4,1,1,0,1,ej5er0oyngdw138yuumwqbyqt,1,38.5,53,2023-03-18T17:01:02.642Z,2023-03-19T02:31:56Z,4106579857,56,Back,4108492171,178,,4106579861,141,64.1,4106579863,212,11.6,4106579859,140,30.1,4106579865,213,2.4,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786319,5,1,1,0,2,ej5er0oyngdw138yuumwqbyqt,1,29.9,63.5,2023-03-18T17:01:03.769Z,2023-03-19T02:32:00Z,4106579931,141,49.4,4106579929,140,29.3,4106579933,212,9.6,4106579927,56,Back,4108492401,178,,4106579935,213,4.6,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786331,6,1,1,0,3,ej5er0oyngdw138yuumwqbyqt,1,29.4,49.4,2023-03-18T17:01:04.916Z,2023-03-19T02:32:03Z,4106579995,213,1.5,4108492595,178,,4106579987,56,Back,4106579993,212,9.4,4106579989,140,29.9,4106579991,141,63.2,,,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786357,7,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,1,30.1,63.6,2023-03-18T17:01:07.161Z,2023-03-19T02:32:06Z,4106580109,140,36.3,4106580117,213,1.2,4106580115,212,19.9,4108492695,178,,4106580113,141,91.2,4106580103,56,Back,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521786383,8,1,1,0,8,ej5er0oyngdw138yuumwqbyqt,0,36,92.4,2023-03-18T17:01:10.242Z,2023-03-19T02:32:09Z,4106580271,213,0.2,4106580269,212,31.1,4106580261,155,,4106580263,56,Left,4108492807,178,,4106580267,141,100.0,4106580265,140,65.1,,,,7ohgxs03szerp6mwiiv58ryay,A. Cambiaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
