id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2509241923,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-02-18T16:00:30.972Z,2023-02-19T00:17:08Z,4040250299,30,"7kph61hobc93t2c2tl8l5j105, 17au7v1ocl4zab872g59821yi, 3tpmw6tlijytn0ahwztvedkut, 3sezchmdtivxl4kusvgc6j7x1, cfpaejad8i9p2r1fj0wx0g222, b33rlpjo3kx4477alx82si5wq, 3v1fnp5e9pxfzgou5ebrgprrp, 9sxg58hszjq17avxgumftdu22, 1dwwsz1i6v8zwh802ujwf7emt, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 5awkzgwwh48prwgvxwewuc5hx, 9sbx7dlressy910i8uuztf93p, eyra5urhrm92240e7qbll736d, wr2f0yl1bf68r73hkjee2pqt, b0me6l44boibnwpbtasxoy02x, ehztjmhg6fsddm1fqb00547o5, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, fb1s5est3fuw1flrjl9isusp, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",4040799837,197,579,4040250307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040250309,194,3tpmw6tlijytn0ahwztvedkut,4040250311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040250301,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040250303,59,"1, 30, 19, 23, 28, 20, 33, 8, 27, 10, 17, 5, 7, 9, 11, 12, 14, 21, 24, 32, 40, 46, 56, 77, 83, 90",4040250305,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509243273,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-02-18T16:02:07.388Z,2023-02-18T17:02:56Z,4040257127,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040835153,197,8477,4040257145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040257143,194,2qdgfxqyh0bjn3alkz97py8k5,4040257131,59,"16, 19, 84, 55, 3, 4, 6, 32, 37, 17, 47, 11, 2, 5, 7, 8, 9, 10, 12, 22, 26, 28, 77, 89, 91",4040257123,30,"b3hr4q25jvqr7565z5ydqylt5, 721e4tx2wrwb4kd9w80fcq19l, bcqsti42fhzap385lnfe4auhh, thnje2i2s96fcbuscj57053p, erdqr6vrr5tlfypbks3og0dlh, ejgtltbsu0djglqw98gywgu6t, 79e6khfyg3rdauul0yjlixv8q, 2qdgfxqyh0bjn3alkz97py8k5, 91sgvwun5559mwe9bszj4xql1, 6ck9f1ppvl65nui0x71q80jx1, dq037w5t3ht5zgd75mue4p1pl, ejmdm3h3oxr0fqubd5sbozq0a, annamxplmbyakvo2akw63xxw5, av8588qp8e5wz3s7cg1n2qgnp, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 64z85woxiowxzod5e0g0x77x1, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, 18yip8wsirmu6s0idhvapnaad, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4040257135,130,17,4040257139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353789,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-02-18T17:00:49.681Z,2023-02-18T17:00:49Z,4040845407,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353793,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-02-18T17:00:49.681Z,2023-02-19T02:46:46Z,4040845421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353823,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,50,50,2023-02-18T17:00:49.702Z,2023-02-19T03:14:41Z,4040845587,140,30.5,4040845595,279,S,4040845593,213,3.2,4042524241,178,,4040845591,212,20.5,4040845589,141,48.7,4040845585,56,Back,,,,6ck9f1ppvl65nui0x71q80jx1,G. Caprari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353867,4,1,1,0,2,67z1gqyiuzpmmb15q5fy7ntc4,1,31.2,50.9,2023-02-18T17:00:52.358Z,2023-02-19T03:14:44Z,4042524325,178,,4040845827,140,83.8,4042202805,157,,4040845835,1,,4040845833,213,0.4,4040845825,56,Left,4040845831,212,61.3,4040845829,141,89.9,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353871,5,50,1,0,9,67z1gqyiuzpmmb15q5fy7ntc4,1,89.6,97.8,2023-02-18T17:00:59.230Z,2023-02-19T03:14:52Z,4040845839,56,Left,4040845841,286,,4040845871,233,3,,,,,,,,,,,,,,,,91sgvwun5559mwe9bszj4xql1,A. Petagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353877,3,7,1,0,10,9dntj5dioj5ex52yrgwzxrq9l,1,10.4,2.2,2023-02-18T17:00:59.706Z,2023-02-19T03:14:57Z,4042524677,178,,4042203179,383,,4040845853,56,Back,4040845855,285,,4040845861,233,5,,,,,,,,,,cfpaejad8i9p2r1fj0wx0g222,M. Thiaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353879,4,49,1,0,10,9dntj5dioj5ex52yrgwzxrq9l,1,12.1,1.7,2023-02-18T17:01:00.231Z,2023-02-19T03:14:59Z,,,,,,,,,,,,,,,,,,,,,,,,,cfpaejad8i9p2r1fj0wx0g222,M. Thiaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509353893,5,1,1,0,11,9dntj5dioj5ex52yrgwzxrq9l,0,12.1,1.7,2023-02-18T17:01:01.178Z,2023-02-19T03:15:02Z,4040845945,155,,4040845949,140,35.3,4040845953,212,24.4,4040845955,213,0.0,4040845947,56,Back,4040845951,141,2.4,4042524767,178,,,,,cfpaejad8i9p2r1fj0wx0g222,M. Thiaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
