id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2516527447,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-03-06T16:16:15.857Z,2023-03-06T17:41:00Z,4078745237,194,1r5gn4osgwz2b2b4sefncbhed,4078745227,30,"1r5gn4osgwz2b2b4sefncbhed, 42m78ny1ggvmzmjtka7exyzqi, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, 153ljvbov0n176vm9fdaizoix, f2p5457ilcfrtzhe343whhkut, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, 3sehm4zmy7141wm4ecfqqoxd5, 5oge5fhmna0oduqvjisoa1djp, 6k790p49tjwkhlwf9afll9jo5, 9tah9hvep4bqppokmuw720qvo, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",4078821725,197,590,4078745231,59,"47, 21, 6, 27, 28, 44, 16, 7, 9, 92, 45, 3, 8, 11, 13, 14, 15, 20, 22, 25, 35, 42, 64",4078745233,130,4,4078745235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078745229,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078745239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516527631,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-03-06T16:17:13.402Z,2023-03-06T17:30:37Z,4078746251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078746247,59,"12, 17, 3, 5, 15, 21, 6, 26, 74, 20, 77, 9, 10, 13, 18, 19, 23, 27, 28, 33, 44, 45, 90",4078746253,194,ckzn72wo51pmw475t9tl6vr2t,4078825387,197,3464,4078746255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078746243,30,"eu9b86opw6n66vftu1r5alfqh, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 7ojvhhfvbtbn60sc50y4l2ctm, ckzn72wo51pmw475t9tl6vr2t, 360knvg4k1yywxnb8o1mlyggl, a8ez7qv4n62b8s45pdo8u07o5, 7358y8d8v19qn6s8h0kx7tn11, enopqyya6qq64lvliw7lw0s4q, 74g3ef24ctcgw1kee77d3acr8, 1gnc1tbpmomiqt1sty2lktt5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, 86nwv5baekm00h4d3z0suwhyh, a7gi41760sk45wbkpbps3njdh, 33erk8bdhefx5xnkjad2fvy8k, 860ysqvvnpfya7bwxbe4g0wk5, 9qrewt049r6yq88c715ymau39, 1r35ds2obqkw03f7hfpfsqqui, 3jruai7zu28e8f0ooj4t16l05, a3o9x85aooe65w5r3ibs8ltk9, 86603cyr3osksy73el0ncy7yt",4078746245,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078746249,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541683,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-03-06T17:32:12.062Z,2023-03-06T17:32:12Z,4078827511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541725,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-03-06T17:32:12.062Z,2023-03-06T23:50:35Z,4078827651,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541735,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,49.9,50.1,2023-03-06T17:32:12.193Z,2023-03-06T23:59:06Z,4079513007,178,,4078827699,141,54.0,4078827695,56,Back,4078827705,279,S,4078827701,212,21.0,4078827703,213,3.0,4078827697,140,30.1,,,,7358y8d8v19qn6s8h0kx7tn11,M. Benassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541745,4,1,1,0,3,af91jdcs6x0bqkmdb78rokod2,1,31.3,54,2023-03-06T17:32:15.407Z,2023-03-06T23:59:11Z,4078827765,212,49.4,4078827769,1,,4078827761,140,71.3,4078827759,56,Left,4079513031,178,,4078827763,141,92.3,4078827757,155,,4078827767,213,0.6,ckzn72wo51pmw475t9tl6vr2t,M. Bianchetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541761,5,1,1,0,5,af91jdcs6x0bqkmdb78rokod2,1,71.3,92.3,2023-03-06T17:32:17.588Z,2023-03-06T23:59:15Z,4079513051,388,,4078827837,213,6.1,4078827827,3,,4078827829,56,Left,4078827835,212,18.4,4078827831,140,88.6,4078827833,141,87.9,,,,enopqyya6qq64lvliw7lw0s4q,F. Tsadjout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541775,6,1,1,0,9,af91jdcs6x0bqkmdb78rokod2,1,95.6,76.7,2023-03-06T17:32:21.216Z,2023-03-06T23:59:34Z,4078827891,213,4.7,4079258697,72,,4079513077,178,,4078827879,2,,4078828163,210,13,4078827885,140,95.9,4078827887,141,58.4,4079258695,224,,d9bg5jjv8pz0f8u55x3hg0962,E. Valeri,1,4078827881,155,4078827883,56,Center,4078827889,212,12.4,4078828165,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516541779,7,13,1,0,9,af91jdcs6x0bqkmdb78rokod2,1,95.9,58.2,2023-03-06T17:32:21.740Z,2023-03-06T23:59:35Z,4078828177,102,64.5,4078828171,154,,4078828173,55,6,4078827913,56,Center,4078827911,61,,4078828179,103,34.7,4078828167,73,,4078828051,328,,1gnc1tbpmomiqt1sty2lktt5,D. Okereke,,4078828047,15,4078828169,29,,4079513145,388,,4078828183,231,53.1,4078827909,22,4078828181,230,99.0,,,,,,,,,,,,,,,,,,,,,,,,
2516541781,3,5,1,0,10,6tuibxq39fdryu8ou06wcm0q3,1,-0.9,35.4,2023-03-06T17:32:22.516Z,2023-03-06T23:59:42Z,4078827931,233,8,4078827923,56,Back,4078827925,346,,,,,,,,,,,,,,,,,e5fnoxb8f2hycjx4gnmce2wvd,M. Erlić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
