id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2485519549,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-11-13T18:54:53.331Z,2022-11-13T19:42:57Z,3915294413,130,12,3915294411,59,"1, 11, 17, 6, 3, 15, 44, 25, 14, 18, 5, 7, 19, 20, 22, 23, 24, 30, 32, 42, 47",3915471753,197,16153,3915294409,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3915294415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3915294407,30,"6ofu6yc2qwp5ii9cerdq1tk9h, pconfrmsdy9aikioqz9s9lg5, 555z9bynvux7oruirg67r8i51, 8yv9xuzriaecvvssfm8dlmz85, d196vatyvq6ycn1q7d477d2i1, cv46mxj5i98p4hgtbomxlxs7o, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 35r56n0i4sbdh7n5arbt7db6d, 3zqpvn7r1c779l9vwwh7yukfd, ahz2npxe4geixkaz25f2pc82d, c6nl81c1q4unq5js94s6s942x, 3nnjep6bxxb6xwhanvqvjt39x, bjob8tftnxojnytcj7juo0ga2, 7glxasv2ed6ey82dknto1y66t, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, apdtqouzo9b02ozdxk8mx4zbp, 342zbrh4dy6y3ohsew14b2ulm, 67i1f5231dvjs6i20f6xbnaxg",3915294419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3915294417,194,8yv9xuzriaecvvssfm8dlmz85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485519945,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-11-13T18:56:17.731Z,2022-11-13T19:44:32Z,3915296253,59,"94, 23, 77, 32, 15, 13, 21, 88, 7, 18, 9, 1, 5, 6, 10, 11, 16, 26, 31, 34, 50",3915296251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3915471221,197,11876,3915296261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3915296255,130,4,3915296249,30,"8n4rruxbnzvjgdomxslnmcno5, 62uaf4amxdyz6j2fuvadp0no5, a22hb1s02edsj7t38out5r3rp, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 7y5qwgl0xu7btfd7yxgeb2gut, bj2ymzuyq3zxbfjs3xrt3ss7p, 6eb3jpi6t6z2ergmgzcpckdpm, d02p1ldr57bkxcpmq12vtvhsl, 71p9z7bqvgzb5t115fmos6fop, 9462218yklkts6mod3cbfryz9, 5e13xwlorl1gjrnjjtfnzawa1, 3v6az10hxcowqkewd809cri6t, ho87m362sey4msdjp4n180oa, dteca2exact4dfn48iwxwjk6h, bpzzhdpqxmp8bef77m7pr2r4l, b62gjcajugddud630e9b7ptjp, 5gond4ss348863bc1768s4q, 3a60l8v1wpr9qpapsjcu4bztg",3915296259,194,dkifo6kxxxsv1hr0rzk1q8afp,3915296257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554231,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-11-13T19:46:07.365Z,2022-11-14T01:41:30Z,3915485367,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554225,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-11-13T19:46:07.365Z,2022-11-13T19:46:07Z,3915485335,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554271,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,49.7,50.1,2022-11-13T19:46:07.393Z,2022-11-14T01:44:57Z,3915485607,56,Back,3915485615,213,3.1,3915485609,140,35.6,3915485611,141,51.1,3915485613,212,14.8,3915485617,279,S,3916050291,178,,,,,7y5qwgl0xu7btfd7yxgeb2gut,T. Bašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554299,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,37.5,56.1,2022-11-13T19:46:08.593Z,2022-11-14T01:45:06Z,3915485839,213,3.0,3916050381,178,,3915485837,212,5.2,3915485833,140,32.6,3915485831,56,Back,3915485835,141,56.9,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554323,5,1,1,0,6,btcy9nra9ak4m22ovr2ia6m5v,1,53.6,56.1,2022-11-13T19:46:13.981Z,2022-11-14T01:45:12Z,3915485945,140,74.5,3915485953,1,,3915485951,213,5.3,3916050461,178,,3915485943,56,Right,3915485941,155,,3915485949,212,41.0,3915485947,141,5.2,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554337,6,1,1,0,9,btcy9nra9ak4m22ovr2ia6m5v,0,74.6,5.2,2022-11-13T19:46:16.471Z,2022-11-14T01:45:15Z,3915486017,212,10.7,3916050495,178,,3915486019,213,0.0,3915486011,56,Right,3915486013,140,84.8,3915486015,141,5.3,3915486009,3,,,,,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554331,3,49,1,0,9,bqbbqm98ud8obe45ds9ohgyrd,1,20.4,93.8,2022-11-13T19:46:17.210Z,2022-11-14T01:45:21Z,,,,,,,,,,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485554357,4,1,1,0,10,bqbbqm98ud8obe45ds9ohgyrd,0,16.4,96.4,2022-11-13T19:46:18.159Z,2022-11-14T01:45:25Z,3915486109,140,29.6,3915486115,213,6.3,3916050593,178,,3915486107,56,Back,3915486113,212,13.9,3915486111,141,95.8,3915486105,157,,3915486117,1,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
