id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,qualifier/18/value,qualifier/19/value,assist
2497612973,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-01-15T10:28:37.738Z,2023-01-15T11:40:00Z,3979183979,59,"25, 22, 6, 14, 28, 44, 10, 16, 11, 23, 45, 3, 5, 7, 8, 13, 15, 17, 18, 27, 30, 42, 64, 77, 92",3979183987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979183985,194,m030tubgf3zpgf0axzm7z26t,3979183977,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979183975,30,"6k790p49tjwkhlwf9afll9jo5, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, 9k1ytj3z42ggp14vkn39hiymt, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, m030tubgf3zpgf0axzm7z26t, 4qejyummzkrfllds8ord642qx, 14xoy6tg51xbydm69d5ybyfis, ctq9si3nbc6n8cznhlcvtixd6, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 7km4xkzmx7pytxxzcu7ugm0np, bqer8ajqm2vibthgumtuycbu1, 74o97lnqpku6m9svks66qbend, 9rzl0j9m9i30a62o1yofzvaad, 4xnll2f9tb69wrezm04ayg76y, b6ueapn1crd5m3hiig2m8ybxl, elnhkklafq2cwl0hit66b5vmy, ef4thhub6bsd2gtmltknkz8b9, 1vzkayk22kpci17ggh5kkc3u2, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6, 83hpavqn7r5bzcgxvjbcso3px, f2p5457ilcfrtzhe343whhkut",3979284643,197,590,3979183983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979183981,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497615885,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-01-15T10:37:15.019Z,2023-01-15T11:40:57Z,3979197531,130,7,3979197533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979197529,59,"94, 23, 77, 32, 15, 13, 7, 21, 17, 10, 20, 1, 4, 5, 6, 9, 11, 18, 26, 31, 88, 96",3979283937,197,11876,3979197527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979197535,194,5o80hrbyw554cetm1rbbns0k5,3979197525,30,"8n4rruxbnzvjgdomxslnmcno5, 62uaf4amxdyz6j2fuvadp0no5, a22hb1s02edsj7t38out5r3rp, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, bj2ymzuyq3zxbfjs3xrt3ss7p, dkifo6kxxxsv1hr0rzk1q8afp, 5o80hrbyw554cetm1rbbns0k5, 3v6az10hxcowqkewd809cri6t, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, 3l76cgequy3tjhhudqnrejglx, 9462218yklkts6mod3cbfryz9, 5e13xwlorl1gjrnjjtfnzawa1, d02p1ldr57bkxcpmq12vtvhsl, ho87m362sey4msdjp4n180oa, 6eb3jpi6t6z2ergmgzcpckdpm, bpzzhdpqxmp8bef77m7pr2r4l, b62gjcajugddud630e9b7ptjp, 7y5qwgl0xu7btfd7yxgeb2gut, aaokzl1u7cev2dbn7p09cfx05",3979197537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633179,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-01-15T11:30:09.803Z,2023-01-15T11:30:09Z,3979286407,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633187,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-01-15T11:30:09.803Z,2023-01-15T16:19:39Z,3979286427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633217,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,50,50,2023-01-15T11:30:09.884Z,2023-01-15T16:29:56Z,3979286563,141,50.1,3979286561,140,35.9,3979286569,279,S,3980249499,178,,3979286559,56,Back,3979286567,213,3.1,3979286565,212,14.8,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633221,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,34.5,49.9,2023-01-15T11:30:11.171Z,2023-01-15T16:30:06Z,3979286577,56,Back,3979682919,213,1.3,3979682913,140,35.2,3980250053,178,,3979682917,212,2.4,3979682915,141,53.2,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633241,5,1,1,0,2,btcy9nra9ak4m22ovr2ia6m5v,1,33.5,50.4,2023-01-15T11:30:12.725Z,2023-01-15T16:30:19Z,3979286679,155,,3979286685,141,9.1,3979286687,212,49.3,3979286683,140,72.1,3979286681,56,Right,3979286691,1,,3980250821,178,,3979286689,213,5.7,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633243,6,44,1,0,5,btcy9nra9ak4m22ovr2ia6m5v,1,65.8,13,2023-01-15T11:30:15.788Z,2023-01-15T18:00:10Z,3979286725,233,3,3979286695,56,Right,3979286697,286,,,,,,,,,,,,,,,,,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633237,3,44,1,0,5,6tuibxq39fdryu8ou06wcm0q3,0,34.2,87,2023-01-15T11:30:15.789Z,2023-01-15T16:30:25Z,3979286663,56,Back,3979286665,285,,3979286737,233,6,,,,,,,,,,,,,,,,ctq9si3nbc6n8cznhlcvtixd6,H. Traorè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497633251,7,1,1,0,6,btcy9nra9ak4m22ovr2ia6m5v,0,71.9,9.2,2023-01-15T11:30:15.826Z,2023-01-15T18:00:11Z,3979286747,141,13.2,3979286745,140,75.1,3980251407,388,,3979286751,213,0.7,3979286749,212,4.3,3979286743,56,Right,3979286739,3,,3979286741,168,,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
