id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value
2448584095,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-20T15:44:32.417Z,2022-08-20T16:26:46Z,3719658489,197,16605,3719464297,194,3ftcqipzb86lzdztg4j1oz2s5,3719464289,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719464291,59,"33, 87, 30, 17, 23, 2, 25, 10, 9, 11, 16, 29, 3, 5, 6, 12, 14, 19, 22, 24, 28, 35, 39, 72",3719464293,130,12,3719464301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719464287,30,"d1e3dsz9lf7g69g2l6zfurpp1, c9shobonlrg7guoyb3iwnwdsl, etryzuxz65dmn5ewmocse66l1, 3ftcqipzb86lzdztg4j1oz2s5, 2mloh2yrhs60s1uwrfycc2i8l, blo3zmhar2mujyp9z7kjnsut, q281ehu1acmc9v96sv9g8bmx, 7j0c36u6kk97eur4virjoka8l, 19gglji6ai70jiu7iqpkaxbyt, 53dvtfms2uxd500y87x5jf2eh, rnahabpvj34tsl9q53gt2rit, 3mqhkh4iz4kesvmqui3hupgmi, b0e6d3zgwzbzysmt9b2ycvf56, 534ubxcmct7m076gk9ct5xyad, ezpkmoz1z08da3o3g45m12lzp, h2c4xwvt3x9gry6wqehc0445, bhu3hiq2ln2cso48ndqe17bvt, a1s1rnovgulesgj5y0l29aqc5, cdwjuygss2dfval9sy7hwt4o9, 9t33u7v3thjdgmskyljnosovd, 6lev0lne8w9snmho4a6hjiifp, 91dt2qi4j797auqtkydbdlel0, 488q58xm2ahxuvpeyfpgwfklw, bdifdtqh2ri7uw0l3tbwupxxw",3719464295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448587865,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-08-20T15:46:50.140Z,2022-08-20T16:22:46Z,3719485337,130,12,3719648169,197,8396,3719485341,194,b881arnahhahg0iaix4mx266t,3719485331,30,"93237ztqyi3r4hu3rmgzrgudx, 4h1jj93i0v1pfemnjydnoc0dl, c33x61zuxixolkkalsigc3q0a, 6gzi8qf8szxn99dnwh3h6gkb9, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, b881arnahhahg0iaix4mx266t, 60no437awq8i5th7nlffh3dn9, cjm9hrspcnmjhqttuiz5fkgr9, 5152de1kfmrihdzbdotpeo8ut, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 13o5eskqs8b88yerwltk0tivp, 8zyg5zuzyr6t0idi5od2ypvbp, 6z3a27dxffwacyxof0imvcfvu, 8e4wkgb71btkez592um5vts0k, 7wjzrrcy3fp8nq6dlanfxvqhh, al3t9fzj4ab55yux0zkd1jkr9, dgcngardsbyl2mme63dhqm5be, e2xiayt8k5tv4dw5hjop71fqh, bl76cebhta912vfi9z7ky32p6, eahcgnvlq1tkswvjuovyzxxw5, ewt8nxg2m27fj0n7dr9hbul05, dn00381nbniepgi4qj7yjkv84, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",3719485333,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719485339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719485343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719485335,59,"1, 18, 13, 3, 29, 50, 37, 6, 10, 7, 11, 2, 4, 5, 9, 14, 17, 20, 21, 23, 24, 28, 30, 67, 80, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624051,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-08-20T16:31:36.053Z,2022-08-20T16:31:38Z,3719671511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624025,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-08-20T16:31:36.053Z,2022-08-20T22:59:38Z,3719671365,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624065,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50.1,50.3,2022-08-20T16:31:36.055Z,2022-08-20T23:10:31Z,3719671569,279,S,3719671563,141,58.4,3721105807,178,,3719671565,212,20.7,3719671559,56,Back,3719671567,213,2.9,3719671561,140,31.1,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624109,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,0,31.5,57.8,2022-08-20T16:31:38.969Z,2022-08-20T23:10:35Z,3719671829,56,Right,3719671841,1,,3719671837,212,54.3,3721106001,178,,3719671825,155,,3719671835,141,18.0,3719671839,213,5.8,3719671833,140,76.3,6gzi8qf8szxn99dnwh3h6gkb9,A. Masina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624171,3,1,1,0,5,49rkyo4do8uwj06geomw0xr4i,0,22.6,81.3,2022-08-20T16:31:41.555Z,2022-08-20T23:10:41Z,3719672129,1,,3719672123,141,100.0,3719672117,3,,3719672125,212,33.1,3719672127,213,0.4,3721106281,178,,3719672119,56,Left,3719672121,140,51.3,3ftcqipzb86lzdztg4j1oz2s5,F. Fazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624177,5,56,1,0,9,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-08-20T16:31:45.994Z,2022-08-20T23:10:49Z,3719672153,56,Right,,,,,,,,,,,,,,,,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624173,4,5,1,0,10,49rkyo4do8uwj06geomw0xr4i,0,50.6,101.6,2022-08-20T16:31:46.802Z,2022-08-20T23:10:50Z,3719672137,347,,3719672267,233,6,3719672135,56,Left,,,,,,,,,,,,,,,,3ftcqipzb86lzdztg4j1oz2s5,F. Fazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624193,6,5,1,0,10,dxq76zcvnokq07cszdx0i6kve,1,49.4,-1.6,2022-08-20T16:31:46.802Z,2022-08-20T23:10:50Z,3719672229,56,Back,3719672231,347,,3719672259,233,4,,,,,,,,,,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
