id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/18/value
2455652719,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-09-04T09:41:29.722Z,2022-09-04T10:27:58Z,3757095967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757095951,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, 9rzl0j9m9i30a62o1yofzvaad, 4qejyummzkrfllds8ord642qx, cc04mat3snly9oe4bt7xaeooa, 153ljvbov0n176vm9fdaizoix, 27xj7me8icr5ptta7kwx0kfs9, 83hpavqn7r5bzcgxvjbcso3px, elnhkklafq2cwl0hit66b5vmy, 37kr5th62ugmy4j55i3n45k2d, 7km4xkzmx7pytxxzcu7ugm0np, bqer8ajqm2vibthgumtuycbu1, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9k1ytj3z42ggp14vkn39hiymt, 6k790p49tjwkhlwf9afll9jo5, 9tah9hvep4bqppokmuw720qvo, cxxxfvmrslyjyi9wz9m8kwne2, bpt2fdnjjpb6a5ehdepyedxt6",3757095959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757095953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757095957,130,4,3757095961,194,9rzl0j9m9i30a62o1yofzvaad,3757095955,59,"47, 22, 6, 27, 28, 13, 16, 42, 9, 45, 77, 18, 3, 5, 7, 8, 11, 14, 25, 35, 44, 64",3757184123,197,11941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455653149,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-04T09:43:02.265Z,2022-09-04T10:28:00Z,3757098081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757098067,59,"97, 18, 3, 44, 21, 4, 6, 32, 98, 77, 90, 20, 5, 7, 8, 9, 10, 13, 15, 17, 19, 22, 23, 33, 62, 74",3757098071,130,18,3757098063,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757098075,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757184205,197,3464,3757098077,194,360knvg4k1yywxnb8o1mlyggl,3757098061,30,"6wplm29z7qxxmujyc2ml19gix, 86nwv5baekm00h4d3z0suwhyh, d9bg5jjv8pz0f8u55x3hg0962, 3jruai7zu28e8f0ooj4t16l05, 360knvg4k1yywxnb8o1mlyggl, ay6tmp6zkxtjzse2gel3rgnl6, a8ez7qv4n62b8s45pdo8u07o5, bmmahw4ww36w4tokk3xhvvvmd, 82bv9aeqvp712ut0n0kwkpskp, 1gnc1tbpmomiqt1sty2lktt5, 86603cyr3osksy73el0ncy7yt, 74g3ef24ctcgw1kee77d3acr8, 7ojvhhfvbtbn60sc50y4l2ctm, 6ldly9c02sbh2ray6u6j6jro5, 5m5qyz18o5hmta6mh4zk57sh5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, ckzn72wo51pmw475t9tl6vr2t, 913rgsi93o890wc2cbuwlbqp5, a7gi41760sk45wbkpbps3njdh, bmkqom7q02uqg75yfh7wzdg5w, 33erk8bdhefx5xnkjad2fvy8k, 1r35ds2obqkw03f7hfpfsqqui, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668323,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-09-04T10:30:06.154Z,2022-09-04T10:30:06Z,3757188771,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668341,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-04T10:30:06.154Z,2022-09-04T18:03:27Z,3757188881,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668351,3,1,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,50.1,50.1,2022-09-04T10:30:06.638Z,2022-09-04T18:09:17Z,3758895285,178,,3757188931,141,53.9,3757188929,140,37.3,3757188933,212,13.7,3757188937,279,S,3757188935,213,3.0,3757188927,56,Back,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668359,4,1,1,0,2,6tuibxq39fdryu8ou06wcm0q3,1,37.6,53.6,2022-09-04T10:30:09.057Z,2022-09-04T18:09:22Z,3757188993,212,24.8,3758895517,178,,3757188989,140,41.3,3757188991,141,17.6,3757188995,213,4.9,3757188987,56,Back,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668387,5,1,1,0,5,6tuibxq39fdryu8ou06wcm0q3,0,40.6,19.5,2022-09-04T10:30:11.720Z,2022-09-04T18:09:24Z,3758895623,178,,3757189147,141,38.3,3757189141,56,Center,3757189151,213,0.5,3757189149,212,26.7,3757189139,155,,3757189143,140,62.9,,,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668391,3,44,1,0,6,af91jdcs6x0bqkmdb78rokod2,1,35.6,61.2,2022-09-04T10:30:13.072Z,2022-09-04T20:11:35Z,3757189205,233,6,3757189175,56,Back,3757189177,285,,,,,,,,,,,,,,,,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668395,6,44,1,0,6,6tuibxq39fdryu8ou06wcm0q3,0,64.4,38.8,2022-09-04T10:30:13.073Z,2022-09-04T18:09:30Z,3757189185,286,,3757189193,233,3,3757189183,56,Center,,,,,,,,,,,,,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455669657,23,1,1,0,6,af91jdcs6x0bqkmdb78rokod2,0,33,50.3,2022-09-04T10:30:13.115Z,2022-09-04T20:11:36Z,3757196301,141,50.3,3757196299,140,35.7,3757196303,212,2.8,3758896135,388,,3757196297,56,Back,3757196295,3,,3757196305,213,0.0,,,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668413,7,61,1,0,6,6tuibxq39fdryu8ou06wcm0q3,1,63.1,38.3,2022-09-04T10:30:13.150Z,2022-09-04T18:09:43Z,3757189315,56,Center,3758896513,15,,3758896515,388,,,,,,,,,,,,,,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668417,8,43,1,0,11,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-09-04T10:30:17.226Z,2022-09-04T10:31:55Z,3757189341,56,Center,3757189343,286,0,3757194323,144,50,,,,,,,,,,,,,,,,27xj7me8icr5ptta7kwx0kfs9,A. Laurienté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668421,4,43,1,0,11,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-04T10:30:17.227Z,2022-09-04T10:31:53Z,3757189359,285,0,3757189357,56,Back,3757189377,233,8,3757194245,144,7,,,,,,,,,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668443,5,45,1,0,12,af91jdcs6x0bqkmdb78rokod2,0,32.4,63,2022-09-04T10:30:18.693Z,2022-09-04T18:09:56Z,3757189465,56,Back,3757189689,233,9,3757189467,285,,,,,,,,,,,,,,,,,bmmahw4ww36w4tokk3xhvvvmd,G. Escalante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668473,9,3,1,0,12,6tuibxq39fdryu8ou06wcm0q3,1,67.6,37,2022-09-04T10:30:18.693Z,2022-09-04T18:09:56Z,3758897195,178,,3757976179,464,,3757189653,286,,3757189681,233,5,3757189651,56,Center,,,,,,,,,,27xj7me8icr5ptta7kwx0kfs9,A. Laurienté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668493,10,1,1,0,16,6tuibxq39fdryu8ou06wcm0q3,1,71.7,53.7,2022-09-04T10:30:22.414Z,2022-09-04T18:10:01Z,3758897609,178,,3757189793,141,68.5,3757189789,56,Center,3757189791,140,76.5,3757189795,212,11.3,3757189797,213,1.1,,,,,,,27xj7me8icr5ptta7kwx0kfs9,A. Laurienté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455668495,11,61,1,0,16,6tuibxq39fdryu8ou06wcm0q3,1,77,69.6,2022-09-04T10:30:22.924Z,2022-09-04T18:10:09Z,3757189811,56,Center,3758898053,178,,,,,,,,,,,,,,,,,,,,cc04mat3snly9oe4bt7xaeooa,K. Thorstvedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
