id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId
2485153273,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-11-13T10:25:58.439Z,2022-11-13T11:53:35Z,3913387427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913387421,130,8,3913387415,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 6lfje6glfgycun47flgmc9jvt, 4cejhrr3ji36591xf54jue3ca, n62gu1fztuvojijr41hyetw5, 45ubqc5i6yn2l5kdtlt8tbw7p, 2ugzqrpaooto1r24a6kvqf2ll, 4aqkgskbra4wsoo7a8uw7xl9l, 30gsjr0xlmjulnz227zfxga8l, 2fsgc0b4mvwpenawmit0q0bmd, 8d04q3yp2kouwog0lj0s7ew2x, e5nv028chtw0955vhnh74ukbu, 2fqlri41xq6p924kine7pjr2t, d364lpc0km51psy3zwc4a6zca, 4euxcqawlks4c56pqj8xvwbf9, 2idy9ngk2rojseoxxw9n98c7p, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 3ww5879aay1xf2a20nl9ihwid, 30oup47g0i12cvub12r7kmxd6",3913501359,197,548,3913387425,194,1oflzbi4gq8wdjlmpa865jj6d,3913387423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913387419,59,"1, 33, 3, 42, 28, 6, 7, 13, 91, 88, 11, 5, 10, 17, 18, 19, 21, 22, 31, 57, 93",3913387417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485153291,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-11-13T10:26:01.772Z,2022-11-13T11:29:00Z,3913387493,59,"24, 2, 32, 95, 6, 37, 23, 22, 9, 10, 20, 1, 5, 8, 11, 12, 14, 15, 21, 45, 46, 77",3913387495,130,12,3913387489,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 19856wqwrmzmvfw9thf0tzrv9, q6ns1fyw7w10xkkubh8etfc9, by2gxuixij1eciu56k8mb3cgl, 4j1oq24pfi728zyl2zkpptpsl, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, botfgp0oq4wqlwtcs9m90kded, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, 9qow77e16pvlb3860yjpydryt, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, ujb2hkujcnwnyrbsgk3ilmtx, 84so0uovope0pkt6cz2iisbth, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 3ddsnnhxo0mem95lcph71ix1x",3913387501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913387491,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913387497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913387499,194,4j1oq24pfi728zyl2zkpptpsl,3913508763,197,8378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178287,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-11-13T11:30:25.828Z,2023-02-14T08:30:35Z,3913512091,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178295,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-11-13T11:30:25.828Z,2022-11-13T11:30:28Z,3913512127,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178333,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,49.9,50.1,2022-11-13T11:30:25.920Z,2022-11-13T18:52:11Z,3913512291,140,35.9,3913512297,213,3.1,3914899805,178,,3913512299,279,S,3913512293,141,50.1,3913512295,212,14.7,3913512289,56,Back,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178359,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,0,37.4,48.7,2022-11-13T11:30:28.467Z,2022-11-13T16:59:09Z,3914900469,178,,3913512373,141,0.0,3913512375,212,46.0,3913512369,56,Right,3913512379,1,,3913512367,155,,3913512371,140,67.3,3913512377,213,5.5,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178437,3,5,1,0,6,3vo5mpj7catp66nrwwqiuhuup,1,28.2,101.4,2022-11-13T11:30:32.581Z,2022-11-13T16:59:15Z,3913512729,56,Back,3913512731,347,,3913512757,233,5,,,,,,,,,,,,,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178361,5,5,1,0,6,e75syeuawg3ql8nwpi3vr2btz,0,71.8,-1.4,2022-11-13T11:30:32.581Z,2022-11-13T16:59:16Z,3913512761,233,3,3913512381,56,Right,3913512383,347,,,,,,,,,,,,,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178463,4,1,1,0,11,3vo5mpj7catp66nrwwqiuhuup,1,23.7,100,2022-11-13T11:30:37.108Z,2022-11-13T16:59:18Z,3913512843,212,16.8,3913512845,213,3.6,3913512835,107,,3913512839,140,9.7,3913512841,141,89.9,3913512837,56,Back,,,,,,,19856wqwrmzmvfw9thf0tzrv9,F. Dimarco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485178469,5,1,1,0,16,3vo5mpj7catp66nrwwqiuhuup,0,9.7,90,2022-11-13T11:30:41.832Z,2022-11-13T16:59:24Z,3913512941,236,,3913512877,56,Back,3913512947,286,,3913512885,213,0.1,3913512883,212,4.9,3913512879,140,14.3,3913512943,233,6,3913512875,155,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,3913512881,141,90.9,3914901243,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
