id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,assist
2481847697,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-11-05T15:52:39.746Z,2022-11-05T16:56:12Z,3896096769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896096763,130,4,3896096759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896096757,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, 896uaqjrz22q6fqjfzuwf77jd, 9y8fnvazj02vy31ljx3du0d79, 2p1pns6j6id4nx3nbi7fv0wrt, 8n0c5t5wzfkoauryyzy8be0gl, 3bhy6x04rbwzk0nh1fm59dmnd, dpcws493fepch23sk26m1a8yd, 1wynwp4x95o9w5tt4cdog6i1, cen5nxf8sb8binjr7apt9nb2t, 72im0m7d8rqpsclo4f5crqmsp, cv0p6dzx3res3affivdwcpolx, ypfascbq81vkjbe57108cpn9, copo8qsmvy2fhpi1aev6f46i1, cp13vthbds3tl1wtfelfx2evp, 9bba1hgnx5mzpkzeazsoikn9x, 7knk2xsg4690hgq9us9us8ull, 8ud1kq9mdgukhlbda5vcn0s0l, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, 1ct0gujao4wvj1ff3aebqgqnd, abq67eup8kd31w8da2i0eftgp, bcqutyzafpahp2ni41u2xt4gl",3896096767,194,5d9i8ubibyiecxecr9jjvxexh,3896584707,197,13284,3896096765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896096761,59,"1, 22, 17, 68, 3, 5, 99, 20, 9, 11, 7, 4, 6, 12, 18, 21, 23, 30, 31, 55, 59, 70, 81, 91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481853161,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-11-05T15:58:39.002Z,2022-11-05T20:19:29Z,3896123481,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 6lfje6glfgycun47flgmc9jvt, 4cejhrr3ji36591xf54jue3ca, n62gu1fztuvojijr41hyetw5, cm6iy4b06qv9y6ww0hthqlwb9, 2ugzqrpaooto1r24a6kvqf2ll, 4aqkgskbra4wsoo7a8uw7xl9l, 2fsgc0b4mvwpenawmit0q0bmd, d364lpc0km51psy3zwc4a6zca, 8d04q3yp2kouwog0lj0s7ew2x, e5nv028chtw0955vhnh74ukbu, 2fqlri41xq6p924kine7pjr2t, 9q01y4w4dwpaqf8lmpv9wnmc5, 4euxcqawlks4c56pqj8xvwbf9, 2idy9ngk2rojseoxxw9n98c7p, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 3ww5879aay1xf2a20nl9ihwid, 30gsjr0xlmjulnz227zfxga8l, 30oup47g0i12cvub12r7kmxd6",3896123501,194,cm6iy4b06qv9y6ww0hthqlwb9,3896584939,197,548,3896123495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896123491,130,18,3896123487,59,"1, 33, 3, 42, 28, 2, 7, 13, 88, 17, 11, 5, 10, 15, 18, 19, 21, 22, 31, 57, 91, 93",3896123507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896123483,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943625,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-11-05T17:00:06.543Z,2022-11-05T19:24:08Z,3896599317,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943615,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-11-05T17:00:06.543Z,2022-11-05T17:00:06Z,3896599273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943637,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,50.2,50,2022-11-05T17:00:06.698Z,2022-11-06T01:09:06Z,3897856557,178,,3896599383,141,46.9,3896599387,213,3.9,3896599385,212,3.0,3896599391,279,S,3896599381,140,48.2,3896599379,56,Back,,,,1wynwp4x95o9w5tt4cdog6i1,V. Osimhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943663,4,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,51,44.2,2022-11-05T17:00:07.643Z,2022-11-06T01:09:09Z,3896599519,213,5.0,3896599513,140,54.3,3896599517,212,13.2,3896599515,141,25.5,3896599511,56,Center,3897856619,178,,,,,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943681,5,1,1,0,3,gi0l1habji5hpgar77dl5jqe,1,56.6,24,2022-11-05T17:00:10.232Z,2022-11-06T01:09:12Z,3896599637,213,5.3,3897856671,178,,3896599633,141,5.0,3896599629,56,Right,3896599631,140,65.3,3896599635,212,15.8,,,,,,,5d9i8ubibyiecxecr9jjvxexh,G. Di Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943693,6,1,1,0,6,gi0l1habji5hpgar77dl5jqe,1,62.7,6.2,2022-11-05T17:00:12.584Z,2022-11-06T01:09:15Z,3896599721,213,2.9,3896599715,140,45.1,3896599717,141,13.1,3896599719,212,19.1,3897856785,178,,3896599713,56,Back,,,,,,,cen5nxf8sb8binjr7apt9nb2t,H. Lozano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943753,7,1,1,0,8,gi0l1habji5hpgar77dl5jqe,1,44.4,13.7,2022-11-05T17:00:14.817Z,2022-11-06T01:09:17Z,3896600029,56,Back,3896600031,140,35.1,3896600035,212,16.2,3896600037,213,2.2,3897856853,178,,3896600033,141,32.7,,,,,,,5d9i8ubibyiecxecr9jjvxexh,G. Di Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481943783,8,1,1,0,13,gi0l1habji5hpgar77dl5jqe,1,31.3,38.2,2022-11-05T17:00:19.901Z,2022-11-06T01:09:21Z,3896600205,140,37.2,3896600211,213,1.3,3896600207,141,67.5,3896600203,56,Back,3897856981,178,,3896600209,212,20.9,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
