id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/10/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2499090649,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-01-21T13:04:54.233Z,2023-01-21T14:00:29Z,3986967959,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, bkz9b4cqf8f970myv8r49f561, 8mlps3xgwbxa7svajxfk2exud, 6e4y15kfry8fzixh99zpala6t, dd7i0ps16hldpriliccyvxct0, 46yp8iqh0qm7i75d98tfrsbxm, 44f0q2ucrld1rwcwx63vgs7hl, 6gjr3yxp34gj52xx8xfm9nt91, e3o8o5b5sxbjd2s17w14rmga, 3iveuhunq47tg8lg0lm3d31sl, 5cjx2i2perp5vr62en4cyer1m, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, almqs7iwjgmimcpmegdkoh3o5, 9t753r5hnyq6qe5o7csuurw15, cntcffa67r95rbcf1154r92zu, 9ik51limpi4f3blp1r60hb27d, a6jwnrv86cly1ti085c9dnn6c, d9sakxlp96siw0z1jltszdlgp, cv8wgka2bmkeqajg3eo9lb4k5, 40g1jre7l8d2efvx9961kyqga, 90pjbz2aq8vz4qapqu1yt2ynd",3986967965,130,4,3986967967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986967961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987136745,197,16613,3986967971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986967969,194,4x1tm440b5cshi5gxkx5k9m95,3986967963,59,"30, 17, 25, 42, 6, 93, 29, 16, 9, 27, 11, 84, 1, 7, 13, 14, 19, 21, 22, 28, 31, 32, 77, 83, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499096043,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-01-21T13:12:10.030Z,2023-01-21T13:57:43Z,3986996431,30,"c7fky0h6gi7wmibnv2tzf6mz9, 2q0bx5wsc6b68vpps79hosnah, 7uf7y7xa6hy3gieetcte3td2i, 9mldc318nq0tli73wjh6ueket, 130pg17ru5fzq4igokx0k73e1, 3tuxipzf6pqvga0a12422gatx, 7hwj9pf9roe74jifvuhiu6n6x, 9sjt5rv156hr2llfu241r6cph, dp1y9x5r6z1q120hj3sgyhxat, e5ccnxgbz5jmqwy6fza3gdsl, bo98qzo4gu0npm4pewc25ovyt, a9z0jsjwfteq974bxwucvc4ix, bkecjzwt25owatn87ejv9k6ei, 6mybntbgl188coqd2dl6ulhm2, 5uro3xukpb1lsnwepj06lgzit, 4mab6p97p5t3w0fipzp22nxsl, 31b0dvddmki2b2zvumesyrx4a, acss55nkdwdtvt9zl6p1ry09h, co1vwppy1870xm5iymj3wmp5h, m7fe173js8on94ag3htziy8l, 20f5apcbciifqyln8hp3cziwa, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 8o8o4rxbdhv002pj0q21l0f84, 8kdamc6zz4bskby51c59uuntg",3986996443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986996437,130,17,3986996435,59,"1, 29, 3, 17, 6, 27, 14, 61, 19, 11, 8, 26, 83, 25, 2, 9, 20, 21, 22, 23, 24, 30, 32, 34, 42, 77",3986996433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3986996439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986996441,194,bo98qzo4gu0npm4pewc25ovyt,3987137021,197,16329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123057,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-01-21T14:01:28.201Z,2023-01-21T18:27:07Z,3987145895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123049,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-01-21T14:01:28.201Z,2023-01-21T14:01:28Z,3987145871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123091,3,1,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,50,50,2023-01-21T14:01:28.232Z,2023-01-21T18:55:32Z,3987146053,212,20.3,3987146057,279,S,3987146055,213,3.1,3987146051,141,51.3,3988567983,178,,3987146043,56,Back,3987146049,140,30.7,,,,6e4y15kfry8fzixh99zpala6t,A. Blin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123109,4,1,1,0,3,bi1fxjrncd0ram0oi7ja1jyuo,0,31.4,51.9,2023-01-21T14:01:31.691Z,2023-01-21T18:55:41Z,3987146169,140,69.4,3988568455,178,,3987146171,141,70.4,3987146175,213,0.3,3987146177,1,,3987146173,212,41.8,3987146167,56,Center,3987146165,155,,bkz9b4cqf8f970myv8r49f561,F. Baschirotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123117,3,1,1,0,6,ap6blbxhq9elm62vw6tutzlwg,0,24.9,21.3,2023-01-21T14:01:34.723Z,2023-01-21T18:55:46Z,3987146219,56,Back,3987146223,140,35.6,3987146215,3,,3987146227,141,29.8,3987146231,212,12.6,3988568587,388,,3987146235,213,0.5,,,,130pg17ru5fzq4igokx0k73e1,I. Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123163,5,1,1,0,7,bi1fxjrncd0ram0oi7ja1jyuo,1,62,69,2023-01-21T14:01:36.037Z,2023-01-21T18:56:03Z,3988569027,178,,3987146523,213,1.4,3987146519,141,94.4,3987146513,3,,3987146521,212,17.4,3987146517,140,64.2,3987146515,56,Left,,,,6e4y15kfry8fzixh99zpala6t,A. Blin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123169,6,4,1,0,10,bi1fxjrncd0ram0oi7ja1jyuo,1,64.6,94,2023-01-21T14:01:38.666Z,2023-01-21T18:56:07Z,3987146545,56,Left,3987146547,152,,3987146551,286,,3987146711,233,4,3987146543,13,,3987146549,265,,,,,,,,1oszv53od5pulbhx566ht984q,A. Gallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499123199,4,4,1,0,10,ap6blbxhq9elm62vw6tutzlwg,0,35.4,6,2023-01-21T14:01:38.667Z,2023-01-21T18:56:07Z,3987146707,265,,3987146705,152,,3987146729,233,6,3987146697,13,,3987146701,56,Back,3987146709,285,,3988569177,178,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
