id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/15/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2527619333,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-04-02T15:06:47.434Z,2023-04-02T15:54:40Z,4158314779,59,"1, 59, 37, 8, 6, 14, 21, 25, 9, 7, 92, 11, 18, 19, 20, 52, 60, 62, 63, 68, 99",4158314787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158538407,197,8380,4158314773,30,"7gu0t0g8nej405k918fwsf8id, du4ciqofpkn3nei5q3huwlnje, 9ka7y81b5kst146mhq7mom5ed, c5a7z6vphv9tp9ddid5jnrnx1, 7o9bkf7no8wz167ingslfimdx, 9ao7l82r1xd2rjnvv5u6plcr9, 93i0gcndi2m8giqqcm4knduxh, 2lyib1m8bhrkcc3ukk12fbefp, 363nsa82dww242zeo09wpcslx, 57bin6he6kbdo2bs4i78z2k0l, a1iz91ed6hus61yhhk2r0vkd1, 97mmzzi3dwdos6jtj2m05w4ph, 54c43p8ykqxjtbmy2z5nakijt, 1pkymw7biivk760rxhubin1ed, z0nxnl93yjtz8mty3qi5542x, 4cu8rbv55v6f6jiq50c4xatqs, cfdkix38vfxiwso180akwv76c, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, d2itdjj8bx0aztqggfgv7amay, el58uxf7oaqu95yx1vbgmr7it",4158314781,130,8,4158314785,194,57bin6he6kbdo2bs4i78z2k0l,4158314783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158314777,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527621991,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-04-02T15:10:20.998Z,2023-04-02T16:03:06Z,4158327957,194,1wnzwoisg4ctvcxsh2xnrkj4l,4158327949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158327951,59,"30, 59, 3, 8, 21, 2, 20, 37, 23, 80, 7, 5, 10, 22, 26, 27, 28, 29, 31, 32, 36, 99",4158553501,197,587,4158327947,30,"awpcf5w245iug4znjqctuebpx, 7kbn6vt37rfgd9yszzvx9idm2, 14vhrqvqomi57x5mtsawm44b9, eqggzoepu1d4t13fw6ybebtn9, bf67gbxjr8fkha0e59fs6qok5, e8c2o47zyuqa07lcrgzusn97u, 5qfa3h4gut5jlnfkexq5m1djp, 6u6mobmk6lpvwebo76ddxr3s9, 1wnzwoisg4ctvcxsh2xnrkj4l, rktyecx75c47pgwyt4vm3i7d, c87f30rukjnu7v3f3iqxpkxqt, ceq2btvla862pon3xhcxogdlh, ewwo2c7kw1b1okrngjl4j4dm1, 34fm990bf5wm1xkdig1pjon6y, 8vom3bt6es2kp5sdl98az6gwk, bgpoqigjsb92lt6n5vrmshwwl, 151jcsoydef86be6b7rpt4bv8, 6l8t99gerta358od16upuhqz9, crqk7tlewkn3ayk042yo1bfv8, dumjj0zbq26m2ub29d86sooic, 5enlho0lp6pftf8pc2q2xewpg, x1qsrbva1nlv7nvmk2an19ed",4158327955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158327953,130,9,4158327959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527667825,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2023-04-02T16:00:39.524Z,2023-04-02T16:00:40Z,4158563125,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527667819,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2023-04-02T16:00:39.524Z,2023-04-02T22:36:03Z,4158563095,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527667879,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,49.9,50.1,2023-04-02T16:00:39.613Z,2023-04-03T01:13:30Z,4158563415,212,15.6,4158563409,56,Back,4158563413,141,51.0,4158563411,140,35.1,4158563419,279,S,4158563417,213,3.1,4160062611,178,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527667923,4,1,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,1,39.6,42.2,2023-04-02T16:00:44.840Z,2023-04-03T01:13:35Z,4158563649,141,61.4,4158563645,56,Back,4160062703,178,,4158563653,213,2.5,4158563647,140,22.6,4158563651,212,22.1,,,,,,,c5a7z6vphv9tp9ddid5jnrnx1,N. Matić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527667993,5,1,1,0,8,2tk2l9sgktwc9jhzqdd4mpdtb,1,23.1,64.8,2023-04-02T16:00:47.601Z,2023-04-03T01:13:39Z,4158564035,56,Back,4160062817,178,,4158564037,140,25.2,4158564043,212,21.1,4158564045,213,1.5,4158564041,141,95.7,,,,,,,9ao7l82r1xd2rjnvv5u6plcr9,Diego Llorente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668053,6,1,1,0,10,2tk2l9sgktwc9jhzqdd4mpdtb,1,26.4,97.7,2023-04-02T16:00:50.495Z,2023-04-03T01:13:44Z,4160063005,178,,4158564397,141,97.5,4158564399,212,35.6,4158564403,1,,4158564391,155,,4158564401,213,6.3,4158564395,140,60.3,4158564393,56,Left,9ka7y81b5kst146mhq7mom5ed,L. Spinazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668065,7,61,1,0,14,2tk2l9sgktwc9jhzqdd4mpdtb,0,61.1,97.7,2023-04-02T16:00:53.691Z,2023-04-03T01:13:54Z,4160063283,178,,4160063281,21,,4158564439,56,Left,,,,,,,,,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668215,3,5,1,0,14,4plikfte18rv8v4l89z803d4y,1,41.4,-2,2023-04-02T16:00:54.306Z,2023-04-03T01:13:58Z,4158565255,233,8,4158565219,56,Back,4158565221,347,,,,,,,,,,,,,,,,,1wnzwoisg4ctvcxsh2xnrkj4l,M. Gabbiadini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
