id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/16/value,qualifier/17/value
2504557783,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-02-05T16:06:54.446Z,2023-02-05T17:02:42Z,4015580759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4015580769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015809617,197,16336,4015580763,130,8,4015580765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4015580757,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 7ohgxs03szerp6mwiiv58ryay, 38de1wbyp2ruksgffna791n8p, 3l0mj1zzhytxvm9tryvqv8kix, 6xt6fnmwrs7btha4d2t7wkktm, 1cu7fg8sf90isf9gp21e5fqh, 5lvdnoyknuoyr6kdruposgctl, 56bidwsegakrtx3z1qbbpnc6i, bdb6j168crcrwje9k0titxv55, 8wh3u8b2hz7rcygnfng8khh3p, 83hpavqn7r5bzcgxvjbcso3px, 46twjsjrm4ljb7bhobbpwx5h, 6eqqtmbg35rg2stk10ic7q8k5, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 9m6yva52cmdq7uu31qrwdrund, a46kdc4sdf7e6520s8gm9glm2",4015580761,59,"28, 3, 50, 8, 26, 4, 7, 30, 11, 19, 21, 77, 1, 6, 20, 22, 25, 34, 99",4015580767,194,8wh3u8b2hz7rcygnfng8khh3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504560371,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-02-05T16:10:27.961Z,2023-02-05T17:00:18Z,4015593651,194,66at96kfhvigkny465lkmrnbp,4015593647,130,4,4015593645,59,"1, 2, 3, 34, 4, 98, 5, 72, 7, 22, 8, 9, 11, 15, 16, 23, 28, 31, 32, 38, 42, 56, 77, 99",4015593653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015593649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015593641,30,"2udciji4n7tr07ft7twe2r9w5, 9e3t2wyjqzxsn690aysao8cfd, 66at96kfhvigkny465lkmrnbp, 4kfx8fzf54bli2a2o0i3fvhed, bhi4ivjgojkot4d7za72gu2nd, acg898oezqn7590ue8x8aik89, euibd75fsyggns1w3xerzzrh1, 963czsr3yecwk4s3p1wby5x3p, 21pztrby95djexvw3m9hhzgt1, eh1ul4duphy1iz4odwx9tkjjd, 6gab9bfl0kj0hy1z0u75pl42d, 4mk6bbc9a8rhtmk8f4jj6onvt, b5cqy1xamdj38bh87gvz4iac5, 3jtsqwoi9w0dxxneld0mt5rs9, 476nfumr6aadvufrqk72tq5be, i4yzdkusjs6qn4v06oxj6qxh, eq7q971ebxu7ipqbyvj5n4c15, f8kcf2l4h2qzdww1vof5x9t5, 6mit9txkiacrr2dq1i27rm76d, dpnp9rguhhs04of6vmlw5spg5, 5bi4t2dob5mo0okdbv6sna6fo, 8ud1kq9mdgukhlbda5vcn0s0l, ec04djw7dspowrm7h7wr6e5ed, 6gjn7pt0i34q45g4porckuj8p",4015809549,197,563,4015593643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602771,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-02-05T17:01:28.232Z,2023-02-05T22:14:00Z,4015813441,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602767,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-02-05T17:01:28.232Z,2023-02-05T17:01:28Z,4015813429,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602797,3,1,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,50.1,49.9,2023-02-05T17:01:28.370Z,2023-02-06T03:30:48Z,4015813583,212,8.9,4015813579,140,42.5,4016871249,178,,4015813581,141,44.0,4015813577,56,Back,4015813587,279,S,4015813585,213,3.6,,,,56bidwsegakrtx3z1qbbpnc6i,J. Zirkzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602825,4,1,1,0,1,ej5er0oyngdw138yuumwqbyqt,1,42.2,43.9,2023-02-05T17:01:29.544Z,2023-02-06T03:30:56Z,4015813711,213,2.4,4016871295,178,,4015813705,140,32.3,4015813707,141,56.7,4015813709,212,13.6,4015813703,56,Back,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602847,5,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,0,34,59.3,2023-02-05T17:01:33.882Z,2023-02-06T03:31:04Z,4015813797,155,,4015813809,1,,4015813805,212,36.4,4015813807,213,6.2,4015813799,56,Center,4015813803,141,52.8,4015813801,140,68.4,4016871335,178,,6xt6fnmwrs7btha4d2t7wkktm,J. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602865,3,49,1,0,7,4raiad4l2j5lkfaz92pk4osb,1,30.3,40.6,2023-02-05T17:01:36.127Z,2023-02-06T03:31:26Z,,,,,,,,,,,,,,,,,,,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602911,4,1,1,0,7,4raiad4l2j5lkfaz92pk4osb,1,30.3,40.6,2023-02-05T17:01:36.156Z,2023-02-06T03:31:23Z,4016871379,178,,4015814153,56,Back,4015814161,213,1.0,4015814157,141,47.9,4015814155,140,33.2,4015814159,212,5.8,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504602927,5,1,1,0,9,4raiad4l2j5lkfaz92pk4osb,1,33.9,50.1,2023-02-05T17:01:37.396Z,2023-02-06T03:31:36Z,4015814261,212,26.7,4015814257,140,8.5,4015814255,56,Back,4015814263,213,3.2,4016871453,178,,4015814259,141,48.7,4015814253,155,,,,,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
