id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2476081513,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-23T09:36:28.358Z,2022-10-23T10:27:30Z,3865695587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865695583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865695579,59,"32, 34, 19, 4, 3, 6, 10, 28, 11, 59, 16, 7, 9, 13, 14, 17, 21, 23, 26, 27, 36, 49, 73, 77, 89",3865695585,194,22x1ucwwak58wi6r5x1j6ohk9,3865695575,30,"5syage212151fcixahbq3k8ut, 7zokstl625tj96c64ow4uvjyt, 866f0f7taqhae91o3cjnnx0ph, 22x1ucwwak58wi6r5x1j6ohk9, 2j09251upkf2aid3lfyyos0dl, 7oz324ar8tp6nkd934y096q22, cdrzpuj49ploquvdolgh5c3bp, e2oeysariwd866ksilu3t4m7e, ds0ka65ypjubtgp60kupc7dnt, 5wdqva17qr5j2kqbmfi9o91x, ebgkv548xih19m8uza7bgrvmd, ez8vzwaf7iuiv2ceetiwg6ymt, e7tz6hxliohn3gkj4cgl3j1ed, 9ak3zczupeken1itsmkherbh1, 8vom3bt6es2kp5sdl98az6gwk, f065kc6qn2cpxjxcm6i08rz3e, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, 8z1ukxgc8mxiyw9udbpwr4ct1, 16kv5p8we3pwqpt5ktwrb7mj9, cjff8fu812lennnunqljgddnu, 1tztnrv51q99ewl193qk526z9, dnqd5s61ssjofdtgrcfiii8lw, 6ol411t0mogw6m83heiqd0m39, 7p19t0mn8cq7xum09nv2u2lt5",3865765269,197,593,3865695581,130,17,3865695577,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476081523,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-10-23T09:36:31.726Z,2022-10-23T10:31:50Z,3865695637,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, e2xiayt8k5tv4dw5hjop71fqh, ah0f7tonnst92d8q91j1wll62, 4h1jj93i0v1pfemnjydnoc0dl, bl76cebhta912vfi9z7ky32p6, 60no437awq8i5th7nlffh3dn9, cjm9hrspcnmjhqttuiz5fkgr9, 5152de1kfmrihdzbdotpeo8ut, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 13o5eskqs8b88yerwltk0tivp, 8zyg5zuzyr6t0idi5od2ypvbp, 22pxty2g6hhtifl32avf4mxud, 6z3a27dxffwacyxof0imvcfvu, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, 7wjzrrcy3fp8nq6dlanfxvqhh, dfckk0xst90yjlep74tvups5x, al3t9fzj4ab55yux0zkd1jkr9, ewt8nxg2m27fj0n7dr9hbul05, hhv3h90gifzevkeqh97cb504",3865695641,59,"1, 37, 13, 23, 29, 18, 24, 6, 10, 7, 11, 2, 4, 5, 8, 9, 14, 15, 17, 19, 20, 30, 99",3865695649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865765663,197,8396,3865695643,130,12,3865695647,194,b881arnahhahg0iaix4mx266t,3865695645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865695639,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099029,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-10-23T10:31:02.521Z,2022-10-23T18:03:36Z,3865770865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099053,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-23T10:31:02.521Z,2022-10-23T10:31:03Z,3865770935,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099057,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,49.8,50,2022-10-23T10:31:02.526Z,2022-10-23T18:17:43Z,3865770953,212,15.1,3865770957,279,S,3865770947,56,Back,3865770955,213,3.1,3868104993,178,,3865770951,141,50.3,3865770949,140,35.4,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099079,4,1,1,0,1,dxq76zcvnokq07cszdx0i6kve,1,35.6,51.5,2022-10-23T10:31:04.060Z,2022-10-23T18:17:43Z,3865771045,56,Back,3865771053,213,2.1,3865771047,140,24.4,3865771051,212,22.7,3868105049,178,,3865771049,141,80.0,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099097,5,1,1,0,4,dxq76zcvnokq07cszdx0i6kve,0,24.4,81.5,2022-10-23T10:31:06.958Z,2022-10-23T18:17:44Z,3865771107,141,74.2,3865771113,1,,3865771103,56,Center,3865771105,140,59.2,3865771109,212,36.9,3868105091,178,,3865771111,213,6.1,3865771101,155,,e2xiayt8k5tv4dw5hjop71fqh,E. Ebosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099123,3,1,1,0,6,7gnly6999wao1xarwct4p8fe9,0,38.5,31.5,2022-10-23T10:31:08.703Z,2022-10-23T18:17:44Z,3865771229,212,38.0,3865771221,155,,3868105145,178,,3865771231,213,0.5,3865771237,1,,3865771225,140,70.1,3865771227,141,58.8,3865771223,56,Center,7oz324ar8tp6nkd934y096q22,D. Zima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099211,6,1,1,0,10,dxq76zcvnokq07cszdx0i6kve,1,30.4,43.6,2022-10-23T10:31:13.135Z,2022-10-23T18:17:49Z,3868105545,178,,3865771625,141,53.4,3865771627,212,7.0,3865771623,140,28.3,3865771629,213,1.9,3865771621,56,Back,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476099263,7,1,1,0,17,dxq76zcvnokq07cszdx0i6kve,1,36.3,53.7,2022-10-23T10:31:20.349Z,2022-10-23T18:17:52Z,3868105801,178,,3865771859,141,18.9,3865771861,212,67.2,3865771857,140,96.2,3865771853,155,,3865771863,213,5.9,3865771855,56,Right,3865771865,1,,ah0f7tonnst92d8q91j1wll62,J. Bijol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
