id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2497133349,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-01-14T13:07:10.121Z,2023-01-14T13:57:08Z,3976613029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976613023,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976613033,194,2qdgfxqyh0bjn3alkz97py8k5,3976613025,59,"16, 19, 30, 5, 3, 55, 32, 7, 37, 84, 17, 4, 8, 9, 10, 12, 22, 26, 28, 38, 44, 77, 80, 89, 91",3976613035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976795981,197,11814,3976613021,30,"b3hr4q25jvqr7565z5ydqylt5, 721e4tx2wrwb4kd9w80fcq19l, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, thnje2i2s96fcbuscj57053p, 2qdgfxqyh0bjn3alkz97py8k5, 4vonqsqrzoyye4vs6n7dud2p5, 91sgvwun5559mwe9bszj4xql1, bcqsti42fhzap385lnfe4auhh, 6ck9f1ppvl65nui0x71q80jx1, ejgtltbsu0djglqw98gywgu6t, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 64z85woxiowxzod5e0g0x77x1, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, 98x5xrku2jffo0in2u2htazca, chjjcy789cuwlsik2ibmubtyi, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",3976613027,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497134189,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-01-14T13:08:11.931Z,2023-01-14T14:03:35Z,3976617329,130,17,3976617323,30,"eu9b86opw6n66vftu1r5alfqh, 86nwv5baekm00h4d3z0suwhyh, d9bg5jjv8pz0f8u55x3hg0962, 1r35ds2obqkw03f7hfpfsqqui, ckzn72wo51pmw475t9tl6vr2t, 5sxy1z2pz5bhlp767lyjte76d, a8ez7qv4n62b8s45pdo8u07o5, 9qrewt049r6yq88c715ymau39, 86603cyr3osksy73el0ncy7yt, enopqyya6qq64lvliw7lw0s4q, 1gnc1tbpmomiqt1sty2lktt5, 9ajh8tm9rl0i2sa09c9dfu0h5, ay6tmp6zkxtjzse2gel3rgnl6, 5m5qyz18o5hmta6mh4zk57sh5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, a7gi41760sk45wbkpbps3njdh, 74g3ef24ctcgw1kee77d3acr8, 3jruai7zu28e8f0ooj4t16l05, a3o9x85aooe65w5r3ibs8ltk9, euv7d22ahrbpa8cs1gemtc178, 82bv9aeqvp712ut0n0kwkpskp",3976617333,194,ckzn72wo51pmw475t9tl6vr2t,3976617325,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976617335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976805471,197,3464,3976617331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976617327,59,"12, 18, 3, 33, 15, 24, 6, 28, 90, 74, 77, 2, 4, 8, 9, 10, 13, 19, 20, 44, 45, 62, 98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169331,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-01-14T14:00:11.654Z,2023-01-14T21:29:28Z,3976803127,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169325,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-01-14T14:00:11.654Z,2023-01-14T14:00:11Z,3976803097,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169379,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,50,50,2023-01-14T14:00:11.700Z,2023-01-14T21:35:40Z,3976803345,56,Back,3976803347,140,31.9,3976803353,213,2.9,3978601087,178,,3976803349,141,58.2,3976803351,212,19.8,3976803355,279,S,,,,86603cyr3osksy73el0ncy7yt,C. Dessers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169391,4,1,1,0,2,af91jdcs6x0bqkmdb78rokod2,1,31.9,58.2,2023-01-14T14:00:14.220Z,2023-01-14T21:35:46Z,3976803425,141,76.6,3976803427,212,16.5,3976803421,56,Back,3976803429,213,2.3,3978601307,178,,3976803423,140,21.7,,,,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169405,5,1,1,0,4,af91jdcs6x0bqkmdb78rokod2,1,21.7,76.6,2023-01-14T14:00:16.227Z,2023-01-14T21:35:54Z,3976803515,213,4.9,3976803505,56,Back,3976803511,141,49.4,3976803509,140,24.4,3976803513,212,18.7,3978601561,178,,,,,,,,1r35ds2obqkw03f7hfpfsqqui,G. Quagliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169581,6,1,1,0,9,af91jdcs6x0bqkmdb78rokod2,1,24.5,49.1,2023-01-14T14:00:21.431Z,2023-01-14T21:35:57Z,3976804223,141,67.2,3978601679,178,,3976804219,56,Back,3976804225,212,20.9,3976804221,140,40.6,3976804227,213,0.6,,,,,,,ckzn72wo51pmw475t9tl6vr2t,M. Bianchetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169583,7,1,1,0,10,af91jdcs6x0bqkmdb78rokod2,1,41.5,66.2,2023-01-14T14:00:22.621Z,2023-01-14T21:36:01Z,3976810041,212,16.5,3976810039,141,85.3,3978601777,178,,3976810035,56,Back,3976810037,140,31.8,3977013267,156,,3976810043,213,2.2,,,,1gnc1tbpmomiqt1sty2lktt5,D. Okereke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497169439,3,43,1,0,12,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-01-14T14:00:24.461Z,2023-01-14T15:02:22Z,3976803641,344,0,3977042799,144,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
