id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId
2485263535,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-11-13T13:29:33.962Z,2022-11-13T13:52:39Z,3914007265,194,6fttn5mk6n1lstqt0dl5xzn4l,3913930355,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913930349,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913930357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913930347,30,"7gu0t0g8nej405k918fwsf8id, 1pkymw7biivk760rxhubin1ed, du4ciqofpkn3nei5q3huwlnje, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, z0nxnl93yjtz8mty3qi5542x, 363nsa82dww242zeo09wpcslx, bh9jia8qgkhpm5xn82bx0hhck, eu4xivu8i6yla9fcnuncx1ucp, 57bin6he6kbdo2bs4i78z2k0l, c5a7z6vphv9tp9ddid5jnrnx1, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, 8u46wgn2upd99tmmchxuw1gbt, 93i0gcndi2m8giqqcm4knduxh, cddggachzf198p1yhq9owtofd, 4cu8rbv55v6f6jiq50c4xatqs, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, d2itdjj8bx0aztqggfgv7amay, a1iz91ed6hus61yhhk2r0vkd1, el58uxf7oaqu95yx1vbgmr7it",3913930351,59,"1, 19, 59, 3, 6, 23, 4, 20, 9, 62, 22, 7, 8, 11, 14, 17, 21, 24, 52, 63, 65, 68, 92, 99",3913930353,130,17,3914007267,197,8380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485263923,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-11-13T13:30:33.841Z,2022-11-13T19:43:09Z,3913932159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913932157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913932149,30,"5syage212151fcixahbq3k8ut, 866f0f7taqhae91o3cjnnx0ph, 16kv5p8we3pwqpt5ktwrb7mj9, 22x1ucwwak58wi6r5x1j6ohk9, 7oz324ar8tp6nkd934y096q22, 8z1ukxgc8mxiyw9udbpwr4ct1, e2oeysariwd866ksilu3t4m7e, 6ol411t0mogw6m83heiqd0m39, e7tz6hxliohn3gkj4cgl3j1ed, 5wdqva17qr5j2kqbmfi9o91x, ebgkv548xih19m8uza7bgrvmd, 42p4op3tm9umpwxyxde5xjefp, 21p37y6mra4u9kcg35z5dm4q2, ez8vzwaf7iuiv2ceetiwg6ymt, ds0ka65ypjubtgp60kupc7dnt, 9ak3zczupeken1itsmkherbh1, 8vom3bt6es2kp5sdl98az6gwk, f065kc6qn2cpxjxcm6i08rz3e, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, cjff8fu812lennnunqljgddnu, 1tztnrv51q99ewl193qk526z9, 7p19t0mn8cq7xum09nv2u2lt5, 71bvjduiimaomxmjznjxwdfys",3914024875,194,22x1ucwwak58wi6r5x1j6ohk9,3913932153,59,"32, 19, 27, 4, 6, 26, 28, 77, 9, 59, 16, 1, 2, 7, 11, 13, 14, 17, 21, 23, 36, 49, 89, 94",3913932151,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913932155,130,17,3914024877,197,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485283959,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-11-13T14:00:55.749Z,2022-11-13T14:00:58Z,3914031199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485283935,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-11-13T14:00:55.749Z,2022-11-13T21:58:05Z,3914031089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485283991,3,1,1,0,0,7gnly6999wao1xarwct4p8fe9,1,49.9,50.3,2022-11-13T14:00:55.807Z,2022-11-13T22:04:02Z,3914031333,213,2.2,3914031325,56,Back,3914031331,212,11.2,3915880229,178,,3914031327,140,43.9,3914031329,141,63.9,3914031335,279,S,,,,e7tz6hxliohn3gkj4cgl3j1ed,A. Sanabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485284051,4,1,1,0,2,7gnly6999wao1xarwct4p8fe9,1,41.8,65.2,2022-11-13T14:00:57.779Z,2022-11-13T22:04:07Z,3915880403,178,,3914031667,213,3.8,3914031659,56,Back,3914031661,140,34.6,3914031663,141,56.1,3914031665,212,9.8,,,,,,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485284067,5,1,1,0,2,7gnly6999wao1xarwct4p8fe9,1,34.6,56.1,2022-11-13T14:00:58.498Z,2022-11-13T22:04:17Z,3914031749,213,2.1,3914031747,212,15.4,3914031743,140,27.4,3914031741,56,Back,3914031745,141,75.9,3915880595,178,,,,,,,,e2oeysariwd866ksilu3t4m7e,S. Ricci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485284129,6,1,1,0,5,7gnly6999wao1xarwct4p8fe9,1,27.4,75.9,2022-11-13T14:01:01.004Z,2022-11-13T22:04:20Z,3915880647,178,,3914031981,141,90.5,3914031983,212,10.4,3914031985,213,1.3,3914031979,140,30.5,3914031977,56,Back,,,,,,,22x1ucwwak58wi6r5x1j6ohk9,A. Buongiorno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485284183,7,1,1,0,8,7gnly6999wao1xarwct4p8fe9,1,34,98.1,2022-11-13T14:01:04.089Z,2022-11-13T22:04:25Z,3915880709,178,,3914032249,56,Left,3914032257,213,5.9,3914032253,141,84.8,3914032255,212,25.3,3914032251,140,56.5,,,,,,,16kv5p8we3pwqpt5ktwrb7mj9,M. Vojvoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485284283,8,1,1,0,9,7gnly6999wao1xarwct4p8fe9,1,56.5,84.8,2022-11-13T14:01:05.402Z,2022-11-13T22:04:30Z,3914032701,140,61.2,3914032711,213,1.0,3914032703,141,95.4,3914032707,212,8.7,3914032699,56,Left,3915880739,178,,,,,,,,e7tz6hxliohn3gkj4cgl3j1ed,A. Sanabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
