id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/14/value
2455717703,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-09-04T11:57:52.854Z,2022-09-04T13:28:00Z,3757804043,197,14656,3757440931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757440923,30,"4g0d51pqr4grzoe9cx7do6pxx, awf3x41nsz8m73bhte5wlz6ui, 545o5sllzb34kosvbw3fxhc5x, 89z0ym1zvwp7rikmd0kvpcq8l, 8585juruxxi6z8ih6kfqvrj6x, 399j815r2akyfreynjrouwbmx, 1s7qbrynbcv9uw9r5f29oyc5, yau2ry4oz8da3etdtf5td0id, 8lta4w1nytggiwnaqv4e5cc0l, 8zltxvt0rcrcv96x1wmdhlrrp, 6ehsdxl74v0qtlbjjjbu0r0t1, bmqg7owjivu1f3grdigkid0b9, 4ypa8ma678embtagi427eg4id, 9n2nm6smh0txgv2482qbwhixg, 7u9bpiajlgr3zibj89pub7wbu, 6sejjyqssbr3olctm9nkq2v9x, 44t0ew97eyl8ww00sgusx00a2, 72sbeqsrvv64vwiec51r9g1k9, q86iuo0cn7dlhvgwz6ix1mqy, 9wek84cn7z0ou46623nlo876y",3757440929,130,12,3757440933,194,8lta4w1nytggiwnaqv4e5cc0l,3757440927,59,"69, 2, 13, 43, 14, 15, 24, 20, 11, 18, 6, 1, 7, 16, 28, 29, 31, 33, 40, 89",3757440935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757440925,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455718573,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-09-04T11:59:14.203Z,2022-09-04T13:06:15Z,3757444979,59,"28, 29, 22, 26, 17, 5, 30, 6, 99, 7, 9, 11, 1, 3, 4, 8, 10, 14, 19, 20, 21, 23, 33, 50, 55",3757444985,194,3cbwh4pfwae5xw072cy14gb85,3757444987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757444983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757444981,130,18,3757663123,197,16336,3757444977,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757444975,30,"4hrmzpx1nt5ze55fpby71mcb9, 3cbwh4pfwae5xw072cy14gb85, a2n9op95qyb3rkye5pxqjb7bp, 3l0mj1zzhytxvm9tryvqv8kix, 4zn8zufrd17h9d5xl7qhahbyt, 4gmki0xpn2e9o9p7wnm0k8p1x, 5lvdnoyknuoyr6kdruposgctl, 6eqqtmbg35rg2stk10ic7q8k5, a46kdc4sdf7e6520s8gm9glm2, 1cu7fg8sf90isf9gp21e5fqh, dccxma9p13p00n0gi1cxk1nf9, 56bidwsegakrtx3z1qbbpnc6i, 46twjsjrm4ljb7bhobbpwx5h, 1po7tmdv73zfjentt0p20wdlh, 6xt6fnmwrs7btha4d2t7wkktm, 38de1wbyp2ruksgffna791n8p, 5j7hbe94ewys7hkd04ay5bpw5, 7e11kdi7wh9tleor9w5o2fdn9, bdb6j168crcrwje9k0titxv55, bpfg11qh1q0zj2x6sqd3srvmx, 8wh3u8b2hz7rcygnfng8khh3p, x8runqzjfkym8r7kdy3a8t0, b94d67jluhh4076wp2se5fqsq, 7ohgxs03szerp6mwiiv58ryay, d6vg86aml1ttoyks4vvvk0smh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762719,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-09-04T13:00:48.881Z,2022-09-04T13:00:49Z,3757672397,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762713,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-09-04T13:00:48.881Z,2022-09-04T19:16:20Z,3757672361,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762747,3,1,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,49.9,50,2022-09-04T13:00:48.932Z,2022-09-04T19:27:50Z,3757672531,279,S,3757672521,141,56.0,3757672517,56,Back,3757672523,212,21.9,3759159295,178,,3757672527,213,3.0,3757672519,140,29.4,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762765,4,1,1,0,1,4klvxyeh3xcus4ongu7c00mgc,1,29.4,56,2022-09-04T13:00:50.331Z,2022-09-04T19:28:01Z,3757672625,213,4.2,3757672613,140,27.1,3757672609,56,Back,3757672617,141,49.1,3759160029,178,,3757672621,212,5.3,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762813,5,1,1,0,2,4klvxyeh3xcus4ongu7c00mgc,1,27.1,49.1,2022-09-04T13:00:51.546Z,2022-09-04T19:28:12Z,3757672885,141,21.4,3757672887,212,46.8,3759160773,178,,3757672879,157,,3757672891,1,,3757672889,213,5.9,3757672883,140,67.9,3757672881,56,Center,8585juruxxi6z8ih6kfqvrj6x,J. Kiwior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762843,6,1,1,0,6,4klvxyeh3xcus4ongu7c00mgc,0,67.9,21.4,2022-09-04T13:00:54.931Z,2022-09-04T19:28:17Z,3757673051,140,84.0,3757673053,141,31.3,3759161081,388,,3757673049,56,Center,3757673047,3,,3757673057,213,0.4,3757673055,212,18.2,,,,1s7qbrynbcv9uw9r5f29oyc5,V. Kovalenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762819,3,49,1,0,6,ej5er0oyngdw138yuumwqbyqt,1,27.1,69,2022-09-04T13:00:55.739Z,2022-09-04T19:28:24Z,,,,,,,,,,,,,,,,,,,,,,,,,a2n9op95qyb3rkye5pxqjb7bp,C. Lykogiannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455762829,4,1,1,0,7,ej5er0oyngdw138yuumwqbyqt,0,22.6,73.6,2022-09-04T13:00:56.701Z,2022-09-04T19:28:29Z,3757672997,213,6.1,3757672987,157,,3757672989,56,Back,3757672991,140,24.5,3757672993,141,73.0,3757672999,1,,3757673169,233,7,3757672995,212,2.0,a2n9op95qyb3rkye5pxqjb7bp,C. Lykogiannis,3759162013,178,3757673173,286,3757673167,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
