id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2512761827,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-02-26T13:29:00.058Z,2023-02-26T13:56:48Z,4058844243,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058844253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058844245,59,"89, 84, 30, 5, 3, 55, 7, 12, 9, 32, 17, 61, 2, 8, 10, 11, 16, 22, 26, 28, 37, 47, 60, 77, 80, 91",4058844249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058844247,130,17,4058844241,30,"6jwy293owzzhldv4i9wxntjv9, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, thnje2i2s96fcbuscj57053p, 4vonqsqrzoyye4vs6n7dud2p5, 64z85woxiowxzod5e0g0x77x1, 61phh511ju65h6coren0pbkd1, 2qdgfxqyh0bjn3alkz97py8k5, 6ck9f1ppvl65nui0x71q80jx1, wf7z6gv5my5w8q5mlhkzvspg, annamxplmbyakvo2akw63xxw5, 1muwnu7rq4feejspx7no203px, 9noq0ogmqc2cwj3nowoadcdlh, ejmdm3h3oxr0fqubd5sbozq0a, b3hr4q25jvqr7565z5ydqylt5, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, 91sgvwun5559mwe9bszj4xql1, dq037w5t3ht5zgd75mue4p1pl, 6r2xfmixeizxzt19lna2jjwgk, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, ahrgnlsku8ghrj2qc0s6p1rhm",4058844251,194,2qdgfxqyh0bjn3alkz97py8k5,4058972789,197,11814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512762437,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-02-26T13:30:06.722Z,2023-02-26T15:09:49Z,4058847105,197,3166,4058847099,130,17,4058847097,59,"13, 6, 3, 98, 23, 5, 22, 18, 99, 20, 87, 1, 8, 9, 10, 11, 14, 25, 29, 30, 33, 39, 41, 66",4058847103,194,c9shobonlrg7guoyb3iwnwdsl,4058847107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058847101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058847093,30,"2luxnwcabb7msig7odfq5p5g5, ezpkmoz1z08da3o3g45m12lzp, b0e6d3zgwzbzysmt9b2ycvf56, 3coml6cxqa86px9up8yy3oz1m, 2mloh2yrhs60s1uwrfycc2i8l, 4u281v53ges3kimtgac0tidm2, 2zgjwhl5i4lya4hh7xed1jefp, 7pg1pu4ptby6hi0rp29hv4jxl, 240qnsj5nj6l6s3cc618691at, drljavudmjvyj9mvyzq7gz2s5, c9shobonlrg7guoyb3iwnwdsl, 68jk3onf54kl1mdfz8zuicvkl, d6sstsibcsfxporots5k9cicp, 19gglji6ai70jiu7iqpkaxbyt, 7j0c36u6kk97eur4virjoka8l, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, q281ehu1acmc9v96sv9g8bmx, 3mqhkh4iz4kesvmqui3hupgmi, etryzuxz65dmn5ewmocse66l1, d1e3dsz9lf7g69g2l6zfurpp1, 488q58xm2ahxuvpeyfpgwfklw, a6lo3s66xv87llkhwveoq1vqh, 4b7yhrh526hzn4vj8bh395v8q",4058847095,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791269,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2023-02-26T14:00:41.257Z,2023-02-26T21:31:11Z,4058987973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791285,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-02-26T14:00:41.257Z,2023-02-26T14:00:44Z,4058988061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791351,3,1,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,49.9,50,2023-02-26T14:00:41.289Z,2023-02-26T21:36:58Z,4058988353,212,17.5,4058988355,213,2.8,4058988349,140,34.1,4060731611,178,,4058988347,56,Back,4058988351,141,58.4,4058988357,279,S,,,,240qnsj5nj6l6s3cc618691at,K. Piątek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791381,4,1,1,0,3,49rkyo4do8uwj06geomw0xr4i,1,33.6,56.3,2023-02-26T14:00:44.276Z,2023-02-26T21:37:01Z,4058988537,141,26.8,4058988539,212,20.1,4058988535,140,34.4,4058988533,56,Back,4058988541,213,4.8,4060731805,178,,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791423,5,1,1,0,5,49rkyo4do8uwj06geomw0xr4i,1,35.5,15.3,2023-02-26T14:00:46.925Z,2023-02-26T21:37:04Z,4058988743,212,18.7,4058988745,213,5.9,4060731953,178,,4058988737,56,Right,4058988739,140,51.9,4058988741,141,4.4,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791467,6,1,1,0,8,49rkyo4do8uwj06geomw0xr4i,1,45,7.6,2023-02-26T14:00:49.332Z,2023-02-26T21:37:06Z,4058988939,140,29.1,4058988937,56,Back,4058988945,213,3.0,4058988943,212,16.8,4058988941,141,10.0,4060732107,178,,,,,,,,ezpkmoz1z08da3o3g45m12lzp,J. Sambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791533,7,1,1,0,10,49rkyo4do8uwj06geomw0xr4i,1,27.8,11,2023-02-26T14:00:51.532Z,2023-02-26T21:37:09Z,4058989237,56,Back,4060732211,178,,4058989239,140,3.5,4058989243,212,29.8,4058989245,213,2.6,4058989241,141,33.5,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791581,8,1,1,0,14,49rkyo4do8uwj06geomw0xr4i,1,4.3,33.7,2023-02-26T14:00:55.707Z,2023-02-26T21:37:11Z,4058989433,140,10.8,4058989435,141,71.7,4060732297,178,,4058989439,213,1.3,4058989437,212,26.7,4058989431,56,Back,,,,,,,2luxnwcabb7msig7odfq5p5g5,G. Ochoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791645,9,1,1,0,17,49rkyo4do8uwj06geomw0xr4i,1,13.5,74.1,2023-02-26T14:00:58.802Z,2023-02-26T21:37:14Z,4058989725,56,Back,4058989731,140,31.6,4058989737,141,97.7,4060732451,178,,4058989739,212,24.9,4058989741,213,0.7,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791671,10,1,1,0,21,49rkyo4do8uwj06geomw0xr4i,1,33.9,97.1,2023-02-26T14:01:02.587Z,2023-02-26T21:37:17Z,4060732611,178,,4058989887,213,3.8,4058989881,140,23.7,4058989879,56,Back,4058989885,212,13.5,4058989883,141,84.9,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791691,11,1,1,0,23,49rkyo4do8uwj06geomw0xr4i,1,22.8,85.7,2023-02-26T14:01:04.658Z,2023-02-26T21:37:20Z,4058989981,213,0.8,4060732787,178,,4058989975,140,29.6,4058989973,56,Back,4058989977,141,97.1,4058989979,212,10.5,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791775,12,1,1,0,26,49rkyo4do8uwj06geomw0xr4i,1,25.4,96.6,2023-02-26T14:01:07.765Z,2023-02-26T21:37:25Z,4058990381,212,6.4,4060733135,178,,4058990373,56,Back,4058990375,140,19.3,4058990385,213,3.2,4058990377,141,96.2,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791857,13,1,1,0,27,49rkyo4do8uwj06geomw0xr4i,1,15.8,97.7,2023-02-26T14:01:08.581Z,2023-02-26T21:37:28Z,4058990773,140,32.9,4058990775,141,96.9,4060733269,178,,4058990779,213,6.3,4058990771,56,Back,4058990777,212,18.0,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791861,14,4,1,0,30,49rkyo4do8uwj06geomw0xr4i,1,31,95,2023-02-26T14:01:11.422Z,2023-02-26T21:37:30Z,4058990805,285,,4058990803,265,,4058990799,56,Back,4058991017,233,3,4058990797,13,,4058990801,152,,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512791899,3,4,1,0,30,67z1gqyiuzpmmb15q5fy7ntc4,0,69,5,2023-02-26T14:01:11.423Z,2023-02-26T21:37:29Z,4058990985,286,,4058991063,233,14,4058990983,265,,4058990979,56,Right,4058990977,13,,4060733391,178,,4058990981,152,,,,,thnje2i2s96fcbuscj57053p,A. Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
