id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2479404853,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-10-30T13:03:11.798Z,2022-10-30T14:12:55Z,3883305727,30,"4g0d51pqr4grzoe9cx7do6pxx, awf3x41nsz8m73bhte5wlz6ui, 545o5sllzb34kosvbw3fxhc5x, 89z0ym1zvwp7rikmd0kvpcq8l, 8585juruxxi6z8ih6kfqvrj6x, f1ma05bi3t1hfbflylx5d9tyh, 6ehsdxl74v0qtlbjjjbu0r0t1, 72sbeqsrvv64vwiec51r9g1k9, 8lta4w1nytggiwnaqv4e5cc0l, 8zltxvt0rcrcv96x1wmdhlrrp, 6n7sw8r0fhcoa8hfuxrtm96tx, bmqg7owjivu1f3grdigkid0b9, 4ypa8ma678embtagi427eg4id, e4cwx5r9hrvip371egldkc6ol, 399j815r2akyfreynjrouwbmx, 9n2nm6smh0txgv2482qbwhixg, 9casrbyhvk5woencvp365fnmy, 2s9ko6yxyi95jybzguru8g3bp, 7u9bpiajlgr3zibj89pub7wbu, 6sejjyqssbr3olctm9nkq2v9x, 1fsum47fkh62rer9xxe3smctm, 44t0ew97eyl8ww00sgusx00a2, b7togay3w05jtjngrz9xliay1, q86iuo0cn7dlhvgwz6ix1mqy, eprihatu8znb0vq6kuaj38z1m, 9wek84cn7z0ou46623nlo876y",3883560767,197,8669,3883305729,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883305737,194,8lta4w1nytggiwnaqv4e5cc0l,3883305739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883305733,130,12,3883305731,59,"69, 2, 13, 43, 14, 4, 6, 33, 11, 18, 8, 1, 7, 10, 15, 16, 21, 27, 28, 29, 30, 31, 39, 40, 44, 89",3883305735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479405385,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-10-30T13:03:44.349Z,2022-10-30T13:11:31Z,3883308255,194,66at96kfhvigkny465lkmrnbp,3883308245,30,"2udciji4n7tr07ft7twe2r9w5, 9e3t2wyjqzxsn690aysao8cfd, 66at96kfhvigkny465lkmrnbp, 4kfx8fzf54bli2a2o0i3fvhed, bhi4ivjgojkot4d7za72gu2nd, eq7q971ebxu7ipqbyvj5n4c15, euibd75fsyggns1w3xerzzrh1, dpnp9rguhhs04of6vmlw5spg5, 21pztrby95djexvw3m9hhzgt1, b5cqy1xamdj38bh87gvz4iac5, 6gjn7pt0i34q45g4porckuj8p, 6gab9bfl0kj0hy1z0u75pl42d, 4mk6bbc9a8rhtmk8f4jj6onvt, d9sakxlp96siw0z1jltszdlgp, 3jtsqwoi9w0dxxneld0mt5rs9, 476nfumr6aadvufrqk72tq5be, i4yzdkusjs6qn4v06oxj6qxh, 1i47csjlvcikfs4wixzserend, f8kcf2l4h2qzdww1vof5x9t5, 6mit9txkiacrr2dq1i27rm76d, 5bi4t2dob5mo0okdbv6sna6fo, 963czsr3yecwk4s3p1wby5x3p, u60zu48a4zqnupyxp2d0mqqd, acg898oezqn7590ue8x8aik89",3883349537,197,563,3883308251,130,4,3883308253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883308257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883308247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883308249,59,"1, 2, 3, 34, 4, 28, 5, 38, 7, 11, 99, 8, 9, 14, 15, 16, 23, 27, 31, 32, 42, 72, 95, 98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479458637,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-10-30T14:02:09.548Z,2022-10-30T14:02:09Z,3883582973,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479458691,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2022-10-30T14:02:09.548Z,2022-10-30T19:10:47Z,3883583301,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479458725,3,1,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,50.1,50.3,2022-10-30T14:02:09.572Z,2022-10-30T19:19:35Z,3883583455,140,30.3,3883583473,279,S,3885214723,178,,3883583453,56,Back,3883583461,212,21.0,3883583457,141,46.2,3883583465,213,3.3,,,,21pztrby95djexvw3m9hhzgt1,L. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479458767,4,1,1,0,3,4raiad4l2j5lkfaz92pk4osb,1,33.6,46.2,2022-10-30T14:02:13.297Z,2022-10-30T19:19:43Z,3885215017,178,,3883583681,213,1.4,3883583673,140,34.9,3883583669,56,Back,3883583679,212,9.0,3883583677,141,59.3,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479458823,5,1,1,0,6,4raiad4l2j5lkfaz92pk4osb,1,37.7,64.2,2022-10-30T14:02:15.646Z,2022-10-30T19:19:45Z,3883583995,141,90.1,3883583991,56,Left,3883583997,212,23.9,3883583999,213,0.8,3883583993,140,53.1,3885215201,178,,,,,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459121,6,1,1,0,8,4raiad4l2j5lkfaz92pk4osb,0,54.3,94.6,2022-10-30T14:02:18.051Z,2022-10-30T19:19:56Z,3883585647,141,100.0,3883585643,56,Left,3883585649,212,24.4,3883585641,155,,3883585645,140,77.1,3885215695,178,,3883585651,213,0.2,,,,66at96kfhvigkny465lkmrnbp,C. Biraghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479458967,3,5,1,0,12,4klvxyeh3xcus4ongu7c00mgc,1,11,-1.4,2022-10-30T14:02:21.896Z,2022-10-30T19:20:14Z,3883584809,347,,3883587519,233,9,3883584807,56,Back,,,,,,,,,,,,,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459243,9,5,1,0,12,4raiad4l2j5lkfaz92pk4osb,0,89,101.4,2022-10-30T14:02:21.896Z,2022-10-30T19:20:14Z,3883586241,347,,3883587535,233,3,3883586237,56,Left,,,,,,,,,,,,,,,,6gjn7pt0i34q45g4porckuj8p,C. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459129,7,43,1,0,22,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-10-30T14:02:31.816Z,2022-10-30T14:02:38Z,3883585673,286,0,3883586617,144,50,3883585671,56,Left,,,,,,,,,,,,,,,,6gjn7pt0i34q45g4porckuj8p,C. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459171,8,43,1,0,23,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-10-30T14:02:33.544Z,2022-10-30T14:02:38Z,3883585893,56,Left,3883586677,144,61,,,,,,,,,,,,,,,,,,,6gjn7pt0i34q45g4porckuj8p,C. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459577,4,1,1,0,35,4klvxyeh3xcus4ongu7c00mgc,0,25.5,0,2022-10-30T14:02:45.003Z,2022-10-30T19:20:18Z,3883587951,140,41.1,3883587955,212,18.0,3883587949,56,Back,3883587947,107,,3883587957,213,0.4,3883587953,141,9.9,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459555,10,44,1,0,37,4raiad4l2j5lkfaz92pk4osb,1,57.1,90.5,2022-10-30T14:02:46.839Z,2022-10-30T21:30:59Z,3883587783,286,,3883588221,233,5,3883587779,56,Left,,,,,,,,,,,,,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459591,5,44,1,0,37,4klvxyeh3xcus4ongu7c00mgc,0,42.9,9.5,2022-10-30T14:02:46.840Z,2022-10-30T19:20:22Z,3883588021,285,,3883588019,56,Back,3883588247,233,10,,,,,,,,,,,,,,,,8zltxvt0rcrcv96x1wmdhlrrp,M'Bala Nzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459565,11,1,1,0,37,4raiad4l2j5lkfaz92pk4osb,0,55.3,90.9,2022-10-30T14:02:46.861Z,2022-10-30T21:30:59Z,3885217603,388,,3883587855,213,0.3,3883587845,3,,3883587851,141,91.6,3883587853,212,1.8,3883587847,56,Left,3883587849,140,57.0,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459649,6,61,1,0,37,4klvxyeh3xcus4ongu7c00mgc,1,39.5,7.3,2022-10-30T14:02:47.022Z,2022-10-30T19:20:33Z,3883588281,56,Back,3885217813,21,,3885217815,178,,,,,,,,,,,,,,,,,6ehsdxl74v0qtlbjjjbu0r0t1,M. Bourabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459593,12,1,1,0,38,4raiad4l2j5lkfaz92pk4osb,0,55.9,92.9,2022-10-30T14:02:48.355Z,2022-10-30T19:20:38Z,3883588035,1,,3883588025,56,Left,3883588031,212,1.4,3883588033,213,0.5,3885218073,178,,3883588023,157,,3883588029,141,93.8,3883588027,140,57.1,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459661,7,61,1,0,38,4klvxyeh3xcus4ongu7c00mgc,1,41.4,4.2,2022-10-30T14:02:48.510Z,2022-10-30T19:20:52Z,3883588313,56,Back,3885218687,21,,3885218689,178,,,,,,,,,,,,,,,,,6ehsdxl74v0qtlbjjjbu0r0t1,M. Bourabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459741,8,3,1,0,41,4klvxyeh3xcus4ongu7c00mgc,0,57.4,2,2022-10-30T14:02:50.891Z,2022-10-30T19:21:49Z,3884838983,465,,3885220313,178,,3883588769,56,Right,3883588771,286,,3883589169,233,13,,,,,,,,,,8zltxvt0rcrcv96x1wmdhlrrp,M'Bala Nzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459783,13,7,1,0,41,4raiad4l2j5lkfaz92pk4osb,1,42.6,98,2022-10-30T14:02:51.028Z,2022-10-30T19:21:57Z,3885220561,178,,3884838727,385,,3883589065,233,8,3883588985,56,Back,3883588983,167,,3883588987,285,,,,,,,,dpnp9rguhhs04of6vmlw5spg5,R. Mandragora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459843,9,5,1,0,42,4klvxyeh3xcus4ongu7c00mgc,1,56.9,-1.4,2022-10-30T14:02:52.166Z,2022-10-30T19:21:30Z,3883589295,347,,3883589293,56,Right,3883589359,233,14,,,,,,,,,,,,,,,,8zltxvt0rcrcv96x1wmdhlrrp,M'Bala Nzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479459801,14,5,1,0,42,4raiad4l2j5lkfaz92pk4osb,0,43.1,101.4,2022-10-30T14:02:52.166Z,2022-10-30T19:21:30Z,3883589385,233,9,3883589045,56,Back,3883589047,347,,,,,,,,,,,,,,,,,dpnp9rguhhs04of6vmlw5spg5,R. Mandragora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479460001,10,1,1,0,52,4klvxyeh3xcus4ongu7c00mgc,1,58.8,0,2022-10-30T14:03:02.085Z,2022-10-30T19:22:02Z,3883590059,56,Back,3883590057,107,,3883590061,140,35.5,3883590065,212,26.1,3883590063,141,11.4,3883590073,1,,3883590069,213,2.8,,,,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479460103,11,1,1,0,55,4klvxyeh3xcus4ongu7c00mgc,1,35.4,10.5,2022-10-30T14:03:04.859Z,2022-10-30T19:22:13Z,3885223239,178,,3883590565,213,0.3,3883590549,157,,3883590559,141,32.7,3883590553,56,Center,3883590557,140,88.9,3883590563,212,58.2,3883590567,1,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
