id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2504056541,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-02-04T18:54:49.959Z,2023-02-04T19:41:39Z,4012969643,59,"47, 21, 6, 14, 28, 44, 16, 7, 92, 10, 45, 3, 8, 11, 13, 15, 20, 25, 35, 42, 64",4012969651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012969645,130,4,4012969649,194,1r5gn4osgwz2b2b4sefncbhed,4012969647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012969641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4013112657,197,590,4012969639,30,"1r5gn4osgwz2b2b4sefncbhed, 42m78ny1ggvmzmjtka7exyzqi, 4vis4wltntxil2m9z16mi6j8p, 9k1ytj3z42ggp14vkn39hiymt, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, f2p5457ilcfrtzhe343whhkut, m030tubgf3zpgf0axzm7z26t, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 4xnll2f9tb69wrezm04ayg76y, 3sehm4zmy7141wm4ecfqqoxd5, 6k790p49tjwkhlwf9afll9jo5, 9tah9hvep4bqppokmuw720qvo, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504057033,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-02-04T18:55:42.333Z,2023-02-04T20:00:57Z,4013110833,197,549,4012972289,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4012972301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012972287,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 6lfje6glfgycun47flgmc9jvt, 4cejhrr3ji36591xf54jue3ca, 2idy9ngk2rojseoxxw9n98c7p, cm6iy4b06qv9y6ww0hthqlwb9, 2ugzqrpaooto1r24a6kvqf2ll, 9q01y4w4dwpaqf8lmpv9wnmc5, 8d04q3yp2kouwog0lj0s7ew2x, d364lpc0km51psy3zwc4a6zca, 4aqkgskbra4wsoo7a8uw7xl9l, e5nv028chtw0955vhnh74ukbu, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, 7mvqysbmyf6uj3jny3qpqw2ga, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 3ww5879aay1xf2a20nl9ihwid, 2fsgc0b4mvwpenawmit0q0bmd, 30gsjr0xlmjulnz227zfxga8l, 30oup47g0i12cvub12r7kmxd6",4012972293,130,12,4012972291,59,"1, 33, 3, 42, 19, 2, 7, 15, 11, 17, 13, 5, 9, 10, 22, 28, 31, 57, 88, 91, 93",4012972295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012972299,194,cm6iy4b06qv9y6ww0hthqlwb9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084179,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-02-04T19:45:26.686Z,2023-02-04T19:45:26Z,4013125165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084191,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-02-04T19:45:26.686Z,2023-02-05T04:40:26Z,4013125233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084223,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50,50.2,2023-02-04T19:45:26.782Z,2023-02-05T04:48:40Z,4013964419,178,,4013125419,140,32.2,4013125417,56,Back,4013125431,279,S,4013125421,141,50.2,4013125425,212,18.7,4013125429,213,3.1,,,,8d04q3yp2kouwog0lj0s7ew2x,A. Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084251,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,1,33.1,48.5,2023-02-04T19:45:29.182Z,2023-02-05T04:48:46Z,4013125605,213,5.7,4013125607,1,,4013125601,141,10.9,4013125599,140,67.4,4013125595,155,,4013964575,178,,4013125603,212,44.2,4013125597,56,Right,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084269,5,1,1,0,5,e75syeuawg3ql8nwpi3vr2btz,0,67.4,10.9,2023-02-04T19:45:31.687Z,2023-02-05T04:48:50Z,4013125697,3,,4013125699,56,Right,4013125703,141,14.3,4013125701,140,82.6,4013964655,388,,4013125707,213,0.1,4013125705,212,16.1,,,,1oflzbi4gq8wdjlmpa865jj6d,H. Hateboer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084279,3,44,1,0,7,6tuibxq39fdryu8ou06wcm0q3,1,21.4,84,2023-02-04T19:45:33.856Z,2023-02-05T06:51:37Z,4013125733,56,Back,4013125735,285,,4013125741,233,6,,,,,,,,,,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084275,6,44,1,0,7,e75syeuawg3ql8nwpi3vr2btz,0,78.6,16,2023-02-04T19:45:33.857Z,2023-02-05T04:48:55Z,4013125821,233,3,4013125727,286,,4013125725,56,Right,,,,,,,,,,,,,,,,d364lpc0km51psy3zwc4a6zca,R. Højlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504084287,4,61,1,0,7,6tuibxq39fdryu8ou06wcm0q3,1,25.4,82.2,2023-02-04T19:45:33.916Z,2023-02-05T06:51:38Z,4013964881,178,,4013964879,21,,4013125763,56,Back,,,,,,,,,,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
