id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2468938377,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-10-08T15:03:13.898Z,2022-10-08T17:08:43Z,3827751427,194,3nnjep6bxxb6xwhanvqvjt39x,3827751423,130,2,3827751429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3828292159,197,71,3827751421,59,"1, 6, 12, 5, 3, 19, 11, 25, 14, 9, 17, 8, 15, 18, 20, 23, 24, 30, 32, 36, 44",3827751419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3827751425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827751417,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 8yv9xuzriaecvvssfm8dlmz85, 2raf0uw5y2kajde0v60l4g1qt, ahz2npxe4geixkaz25f2pc82d, d196vatyvq6ycn1q7d477d2i1, 3nnjep6bxxb6xwhanvqvjt39x, pconfrmsdy9aikioqz9s9lg5, 2nddcty9qris2mmeldon0ogd1, 35r56n0i4sbdh7n5arbt7db6d, 3ua8gs8tzx1dkdi9z88kjk9nt, 555z9bynvux7oruirg67r8i51, 288nn7pbq5ewriiyb9o7da86h, cv46mxj5i98p4hgtbomxlxs7o, 3zqpvn7r1c779l9vwwh7yukfd, bjob8tftnxojnytcj7juo0ga2, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 418gw0hpjoy8dt0ywaxjgm5pm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468941667,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-08T15:05:14.736Z,2022-10-08T16:26:59Z,3827767863,194,3tpmw6tlijytn0ahwztvedkut,3828325571,197,578,3827767855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3827767861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827767859,130,9,3827767865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827767853,30,"7kph61hobc93t2c2tl8l5j105, b33rlpjo3kx4477alx82si5wq, 3tpmw6tlijytn0ahwztvedkut, cknjube5flk1r5ppqthj82c5, enqcaecpt5hy0qv9x5pzmkjc9, 3sezchmdtivxl4kusvgc6j7x1, ch5rw8dgb6wh99wyhd8o3t1pl, 9sxg58hszjq17avxgumftdu22, 5awkzgwwh48prwgvxwewuc5hx, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, eyra5urhrm92240e7qbll736d, wr2f0yl1bf68r73hkjee2pqt, b0me6l44boibnwpbtasxoy02x, 1dwwsz1i6v8zwh802ujwf7emt, cfpaejad8i9p2r1fj0wx0g222, 3v1fnp5e9pxfzgou5ebrgprrp, 72vim7cq99zdjjwivwtr773vu, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be, 9rs7sa9181bsys17v0naoszfu",3827767857,59,"1, 20, 19, 4, 46, 23, 32, 8, 9, 10, 17, 5, 7, 12, 14, 21, 27, 28, 33, 40, 83, 90, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042169,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-10-08T16:00:18.711Z,2022-10-08T16:00:18Z,3828307363,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042171,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-08T16:00:18.711Z,2022-10-08T22:17:12Z,3828307373,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042177,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,50,50,2022-10-08T16:00:18.778Z,2022-10-08T22:25:14Z,3828307413,213,3.0,3828307417,279,S,3828307409,141,52.9,3828307411,212,16.7,3828307407,140,34.2,3829722279,178,,3828307405,56,Back,,,,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042197,4,1,1,0,2,9dntj5dioj5ex52yrgwzxrq9l,1,34.2,52.9,2022-10-08T16:00:20.743Z,2022-10-08T22:25:23Z,3829722541,178,,3828307565,141,74.4,3828307561,56,Back,3828307569,213,1.5,3828307567,212,14.6,3828307563,140,34.9,,,,,,,enqcaecpt5hy0qv9x5pzmkjc9,M. Gabbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042203,5,1,1,0,4,9dntj5dioj5ex52yrgwzxrq9l,0,34.9,74.4,2022-10-08T16:00:23.351Z,2022-10-08T22:25:26Z,3828307609,213,5.6,3828307601,56,Center,3828307599,155,,3828307611,1,,3828307607,212,51.7,3828307603,140,74.4,3829722621,178,,3828307605,141,29.0,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042209,3,1,1,0,7,bqbbqm98ud8obe45ds9ohgyrd,1,25.9,67.8,2022-10-08T16:00:25.868Z,2022-10-08T22:25:30Z,3829722725,388,,3828307655,212,21.2,3828307651,140,5.7,3828307649,56,Back,3828307657,213,3.2,3828307653,141,66.0,3828307647,3,,,,,2raf0uw5y2kajde0v60l4g1qt,Alex Sandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042215,4,52,1,0,9,bqbbqm98ud8obe45ds9ohgyrd,1,4,63.5,2022-10-08T16:00:27.953Z,2022-10-08T22:25:33Z,3829360267,377,,3829722805,178,,,,,,,,,,,,,,,,,,,,6ofu6yc2qwp5ii9cerdq1tk9h,W. Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042257,5,1,1,0,15,bqbbqm98ud8obe45ds9ohgyrd,1,9,57.9,2022-10-08T16:00:34.280Z,2022-10-08T22:25:38Z,3829723019,178,,3828307965,287,,3828307925,141,5.6,3828307919,123,,3828307931,1,,3828307921,56,Back,3828307929,213,5.3,3828307923,140,32.6,6ofu6yc2qwp5ii9cerdq1tk9h,W. Szczęsny,3828307927,212,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042295,6,61,1,0,18,bqbbqm98ud8obe45ds9ohgyrd,0,34.1,3.7,2022-10-08T16:00:37.103Z,2022-10-08T22:25:47Z,3829723365,388,,3828308115,56,Back,3829723363,21,,,,,,,,,,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042345,6,5,1,0,19,9dntj5dioj5ex52yrgwzxrq9l,1,65.8,101.4,2022-10-08T16:00:38.276Z,2022-10-08T22:25:52Z,3828308359,233,7,3828308329,347,,3828308327,56,Left,,,,,,,,,,,,,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042303,7,5,1,0,19,bqbbqm98ud8obe45ds9ohgyrd,0,34.2,-1.4,2022-10-08T16:00:38.276Z,2022-10-08T22:25:52Z,3828308155,56,Back,3828308157,347,,3828308363,233,6,,,,,,,,,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042417,7,1,1,0,32,9dntj5dioj5ex52yrgwzxrq9l,1,66.9,100,2022-10-08T16:00:51.039Z,2022-10-08T22:26:11Z,3828308793,212,26.6,3828308783,56,Back,3828308797,213,3.4,3828308781,107,,3828308799,1,,3828308789,141,90.9,3828308785,140,42.6,,,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469042441,8,1,1,0,36,9dntj5dioj5ex52yrgwzxrq9l,1,42.6,90.9,2022-10-08T16:00:54.836Z,2022-10-08T22:26:17Z,3828308895,56,Back,3828308899,141,57.3,3828308901,212,24.1,3829724245,178,,3828308897,140,35.2,3828308903,213,4.4,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
