id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2526608337,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-01T15:04:55.014Z,2023-04-01T15:08:05Z,4152920145,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152920157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152920149,130,12,4152920143,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 9qow77e16pvlb3860yjpydryt, q6ns1fyw7w10xkkubh8etfc9, ujb2hkujcnwnyrbsgk3ilmtx, asyzhp3qu95vmzdbau6nmoic5, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 6d7rip50yu2j7vyk76zokeehh, 8qgbxff7xlg0zjtyees7ljljp, 3ddsnnhxo0mem95lcph71ix1x, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, by2gxuixij1eciu56k8mb3cgl, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a",4152920151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152920153,194,3ddsnnhxo0mem95lcph71ix1x,4152920155,197,568,4152920147,59,"24, 2, 8, 95, 15, 36, 23, 22, 11, 90, 77, 1, 5, 6, 9, 10, 12, 14, 21, 45, 46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526611725,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-04-01T15:06:45.805Z,2023-04-01T15:07:46Z,4152937187,30,"2udciji4n7tr07ft7twe2r9w5, 9e3t2wyjqzxsn690aysao8cfd, 66at96kfhvigkny465lkmrnbp, dpnp9rguhhs04of6vmlw5spg5, eq7q971ebxu7ipqbyvj5n4c15, acg898oezqn7590ue8x8aik89, b5cqy1xamdj38bh87gvz4iac5, euibd75fsyggns1w3xerzzrh1, 4mk6bbc9a8rhtmk8f4jj6onvt, f0d8cjxx5cw5i22m0yy6azb2t, 6gab9bfl0kj0hy1z0u75pl42d, bhi4ivjgojkot4d7za72gu2nd, 3jtsqwoi9w0dxxneld0mt5rs9, 476nfumr6aadvufrqk72tq5be, eh1ul4duphy1iz4odwx9tkjjd, i4yzdkusjs6qn4v06oxj6qxh, f8kcf2l4h2qzdww1vof5x9t5, b7vmywgydbcs4m9pcjcoabt62, 4kfx8fzf54bli2a2o0i3fvhed, 5bi4t2dob5mo0okdbv6sna6fo, d5qnt7begrpds3mwx0s3rwh78, 963czsr3yecwk4s3p1wby5x3p, ec04djw7dspowrm7h7wr6e5ed, 6gjn7pt0i34q45g4porckuj8p",4152937197,194,euibd75fsyggns1w3xerzzrh1,4152937201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152937199,197,8393,4152937189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152937193,130,8,4152937191,59,"1, 2, 3, 38, 28, 98, 11, 5, 9, 10, 8, 4, 15, 16, 22, 23, 31, 33, 34, 42, 51, 72, 77, 99",4152937195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526714813,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-01T16:00:23.702Z,2023-04-01T22:39:30Z,4153490681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526714833,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2023-04-01T16:00:23.702Z,2023-04-01T16:00:28Z,4153490761,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526714841,3,1,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,49.9,50.3,2023-04-01T16:00:23.707Z,2023-04-02T00:47:19Z,4153490813,56,Back,4153490821,141,56.7,4153490817,140,39.0,4153490833,213,2.8,4153490827,212,12.2,4153490835,279,S,4155549191,178,,,,,euibd75fsyggns1w3xerzzrh1,G. Bonaventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526714897,4,1,1,0,1,4raiad4l2j5lkfaz92pk4osb,1,36.7,48.6,2023-04-01T16:00:25.484Z,2023-04-02T00:47:24Z,4153491207,212,26.2,4153491199,56,Back,4153491205,141,10.9,4155549643,178,,4153491209,213,4.5,4153491203,140,31.4,,,,,,,dpnp9rguhhs04of6vmlw5spg5,R. Mandragora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526714925,5,1,1,0,7,4raiad4l2j5lkfaz92pk4osb,1,36.7,11.1,2023-04-01T16:00:31.131Z,2023-04-02T00:47:28Z,4153491357,140,27.6,4155550043,178,,4153491361,212,17.0,4153491363,213,2.2,4153491355,56,Back,4153491359,141,31.8,,,,,,,9e3t2wyjqzxsn690aysao8cfd,Dodô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526714983,6,1,1,0,10,4raiad4l2j5lkfaz92pk4osb,1,27.6,35.1,2023-04-01T16:00:34.031Z,2023-04-02T00:47:32Z,4153491607,141,84.1,4155550301,178,,4153491603,140,34.1,4153491609,212,34.0,4153491601,56,Back,4153491615,1,,4153491613,213,1.4,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526715017,7,1,1,0,13,4raiad4l2j5lkfaz92pk4osb,1,35.5,88,2023-04-01T16:00:37.092Z,2023-04-02T00:47:37Z,4153491829,141,73.5,4153491825,56,Back,4153491833,213,4.0,4153491831,212,12.7,4153491827,140,27.9,4155550757,178,,,,,,,,66at96kfhvigkny465lkmrnbp,C. Biraghi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526715071,8,1,1,0,15,4raiad4l2j5lkfaz92pk4osb,1,27.7,72.1,2023-04-01T16:00:39.233Z,2023-04-02T00:47:40Z,4155550977,178,,4153492087,56,Back,4153492095,213,4.6,4153492089,140,24.2,4153492093,212,31.4,4153492091,141,26.3,,,,,,,acg898oezqn7590ue8x8aik89,Igor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
