id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2461854587,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-09-18T12:04:31.240Z,2022-09-18T13:11:50Z,3790065763,30,"2udciji4n7tr07ft7twe2r9w5, i4yzdkusjs6qn4v06oxj6qxh, 66at96kfhvigkny465lkmrnbp, dpnp9rguhhs04of6vmlw5spg5, eq7q971ebxu7ipqbyvj5n4c15, 476nfumr6aadvufrqk72tq5be, b5cqy1xamdj38bh87gvz4iac5, 4kfx8fzf54bli2a2o0i3fvhed, 6gjn7pt0i34q45g4porckuj8p, 963czsr3yecwk4s3p1wby5x3p, b7vmywgydbcs4m9pcjcoabt62, euibd75fsyggns1w3xerzzrh1, 21pztrby95djexvw3m9hhzgt1, 6gab9bfl0kj0hy1z0u75pl42d, 4mk6bbc9a8rhtmk8f4jj6onvt, d9sakxlp96siw0z1jltszdlgp, 3jtsqwoi9w0dxxneld0mt5rs9, eh1ul4duphy1iz4odwx9tkjjd, 1i47csjlvcikfs4wixzserend, f8kcf2l4h2qzdww1vof5x9t5, 6mit9txkiacrr2dq1i27rm76d, be4csmuoic0b982roo7otauj8, 5bi4t2dob5mo0okdbv6sna6fo, 9qpkzs1jzv0k3ui0pk41qsk16",3790065775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790321859,197,563,3790065771,130,8,3790065779,194,66at96kfhvigkny465lkmrnbp,3790065765,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790065783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790065767,59,"1, 23, 3, 38, 28, 16, 11, 34, 99, 72, 33, 5, 7, 8, 9, 14, 15, 22, 27, 31, 32, 40, 42, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461858737,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-09-18T12:08:33.655Z,2022-09-18T13:03:17Z,3790087589,30,"c7fky0h6gi7wmibnv2tzf6mz9, 2q0bx5wsc6b68vpps79hosnah, bo98qzo4gu0npm4pewc25ovyt, 8o8o4rxbdhv002pj0q21l0f84, acss55nkdwdtvt9zl6p1ry09h, 130pg17ru5fzq4igokx0k73e1, 9sjt5rv156hr2llfu241r6cph, 7hwj9pf9roe74jifvuhiu6n6x, 2zwe056wfzof0v5jv01dv9uc5, 4mab6p97p5t3w0fipzp22nxsl, e5ccnxgbz5jmqwy6fza3gdsl, 7uf7y7xa6hy3gieetcte3td2i, 9l2tdbf7p325xez7wz7wzxzh1, c39nv7jn5c3qzglosgzigif2t, 1fd1lcymbfebccx0vhgez4oyy, 9mldc318nq0tli73wjh6ueket, bsi12817nc1ul082qn48d4rft, dp1y9x5r6z1q120hj3sgyhxat, 31b0dvddmki2b2zvumesyrx4a, co1vwppy1870xm5iymj3wmp5h, 20f5apcbciifqyln8hp3cziwa, 3tuxipzf6pqvga0a12422gatx, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, bp1q4oept06hp1xgq7flotyzu",3790087601,194,bo98qzo4gu0npm4pewc25ovyt,3790087593,59,"1, 29, 8, 42, 21, 6, 61, 14, 10, 9, 11, 3, 4, 7, 16, 17, 18, 19, 20, 22, 24, 27, 30, 32, 72",3790316761,197,16330,3790087591,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790087603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790087597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790087595,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907883,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-09-18T13:01:50.094Z,2022-09-18T19:10:39Z,3790337667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907907,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-09-18T13:01:50.094Z,2022-09-18T13:01:52Z,3790337805,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907927,3,1,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,50,50,2022-09-18T13:01:50.154Z,2022-09-18T20:29:22Z,3790337899,279,S,3790337893,141,54.6,3790337889,56,Back,3790337895,212,7.8,3792368971,178,,3790337897,213,2.7,3790337891,140,43.2,,,,6gjn7pt0i34q45g4porckuj8p,C. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461907963,4,1,1,0,2,4raiad4l2j5lkfaz92pk4osb,1,42.5,49.7,2022-09-18T13:01:52.595Z,2022-09-18T20:29:26Z,3792369165,178,,3790338075,213,4.3,3790338069,140,36.4,3790338071,141,25.2,3790338073,212,17.8,3790338067,56,Back,,,,,,,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908017,5,1,1,0,5,4raiad4l2j5lkfaz92pk4osb,1,35.9,31,2022-09-18T13:01:55.523Z,2022-09-18T20:29:30Z,3792369329,178,,3790338335,56,Back,3790338349,1,,3790338337,140,29.8,3790338347,213,1.7,3790338341,141,89.6,3790338345,212,40.4,,,,i4yzdkusjs6qn4v06oxj6qxh,L. Venuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908027,6,1,1,0,8,4raiad4l2j5lkfaz92pk4osb,0,29.9,88,2022-09-18T13:01:58.768Z,2022-09-18T20:29:36Z,3792369667,178,,3790338499,233,3,3790338407,140,33.0,3790338409,141,87.1,3790338497,236,,3790338403,155,,3790338503,286,,3790338405,56,Back,66at96kfhvigkny465lkmrnbp,C. Biraghi,3790338411,212,3.3,3790338413,213,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908033,3,74,1,0,8,ap6blbxhq9elm62vw6tutzlwg,1,57.3,17,2022-09-18T13:01:58.905Z,2022-09-18T20:29:40Z,3790338433,285,,3792369879,178,,3790338427,56,Right,3790338539,233,6,,,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908051,4,49,1,0,9,ap6blbxhq9elm62vw6tutzlwg,1,57.3,17,2022-09-18T13:01:59.964Z,2022-09-18T20:29:45Z,,,,,,,,,,,,,,,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462295407,854,67,1,0,10,ap6blbxhq9elm62vw6tutzlwg,1,62.6,20.3,2022-09-18T13:02:00.259Z,2022-09-19T00:13:42Z,3792454909,233,775,,,,,,,,,,,,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462295401,775,67,1,0,10,4raiad4l2j5lkfaz92pk4osb,0,37.4,79.7,2022-09-18T13:02:00.260Z,2022-09-18T20:54:28Z,3792454917,233,854,,,,,,,,,,,,,,,,,,,,,,dpnp9rguhhs04of6vmlw5spg5,R. Mandragora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461908073,5,1,1,0,10,ap6blbxhq9elm62vw6tutzlwg,1,57.3,17,2022-09-18T13:02:00.324Z,2022-09-19T00:13:43Z,3792370471,178,,3790338589,141,31.0,3790338593,213,0.9,3790338587,140,65.2,3790338591,212,12.6,3790338585,56,Center,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
