id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/13/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2518219905,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-03-11T13:14:02.859Z,2023-03-11T13:14:03Z,4087723309,59,"1, 30, 65, 18, 34, 33, 11, 35, 19, 9, 25, 3, 4, 5, 6, 8, 14, 20, 21, 22, 24, 26, 32, 40, 55, 87",4087723313,130,23,4087723323,197,11835,4087723319,194,1lota2za1imhl3oydwa89u5l,4087723303,30,"9jx56wcoj1htd69i749wfwkx5, dmza22ad3iars2svmghrwhfit, 8dgh4fzut8khpt32d6dsrljsa, 9cy6lgb0e0cq4a7ht389qaklx, 54mmovmx3osoxgbloe9rzmx9l, cnk07o3823zl5gd7qr2bdks7p, cxjuod6b1ro67656dxwhpqqc5, bk1gdyxtfp4drwb0yotwerbsa, mh8eevw5lj4i9c7ue5n9j845, c68syh6axbkqmcmvrpumqb8mi, 1lota2za1imhl3oydwa89u5l, an5eip4p2zmw49hh9eqksigo9, dnk24js88d4ie661mwo7jkq95, 1fdgli7rrzvlhcs1exckc0r11, 95r0jtkw03vjohzwc8os8ielm, 2l87vg4m0glbbdvnrg4zud51x, 2hbduprkyabq8g1nhe6b4g3bp, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, f0o0jfa9hp54otpnwe09d591, 6gf25ng7surglurqkroozlfit, d7xfjvw4kun7fx4j9ldr6cb11, 8git2dsc2u9h5ullcu50a6a22, d6vg86aml1ttoyks4vvvk0smh, 79naqsq6larc4nkiquenkuqne",4087723305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087723327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087723315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518221701,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-03-11T13:15:58.208Z,2023-03-11T14:17:56Z,4087930007,197,16667,4087732393,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087732399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087732403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087732401,194,b881arnahhahg0iaix4mx266t,4087732397,130,12,4087732391,30,"93237ztqyi3r4hu3rmgzrgudx, dfckk0xst90yjlep74tvups5x, c33x61zuxixolkkalsigc3q0a, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, b881arnahhahg0iaix4mx266t, 13o5eskqs8b88yerwltk0tivp, 6z3a27dxffwacyxof0imvcfvu, 5152de1kfmrihdzbdotpeo8ut, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 8zyg5zuzyr6t0idi5od2ypvbp, c4pxog9ntat2es7oz0cz5dgb9, 8e4wkgb71btkez592um5vts0k, al3t9fzj4ab55yux0zkd1jkr9, bl76cebhta912vfi9z7ky32p6, 8shwa0k28rt5duyrhuqza1hhx, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",4087732395,59,"1, 19, 13, 18, 29, 50, 37, 4, 9, 7, 11, 2, 5, 8, 14, 20, 24, 26, 80, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263071,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-03-11T14:01:15.850Z,2023-03-11T19:41:16Z,4087945999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263083,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-03-11T14:01:15.850Z,2023-03-11T14:01:17Z,4087946059,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263101,3,1,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,49.9,49.7,2023-03-11T14:01:15.937Z,2023-03-11T19:45:15Z,4090142651,178,,4087946137,141,49.0,4087946131,56,Back,4087946143,213,3.2,4087946135,140,33.8,4087946145,279,S,4087946141,212,16.9,,,,bk1gdyxtfp4drwb0yotwerbsa,T. Baldanzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263153,4,1,1,0,2,8le3orkfz6iix3jns6g9ojqjg,0,34.3,47.8,2023-03-11T14:01:18.774Z,2023-03-11T19:45:19Z,4090143021,178,,4087946363,1,,4087946355,140,66.8,4087946351,155,,4087946357,141,32.2,4087946359,212,35.7,4087946353,56,Center,4087946361,213,6.0,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263187,3,1,1,0,4,dxq76zcvnokq07cszdx0i6kve,1,32.6,72.5,2023-03-11T14:01:20.477Z,2023-03-11T19:45:29Z,4087946557,213,1.9,4087946549,56,Back,4087946551,140,27.1,4090143839,178,,4087946555,212,17.7,4087946553,141,97.1,4087946547,3,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263193,4,1,1,0,8,dxq76zcvnokq07cszdx0i6kve,0,27.1,97.1,2023-03-11T14:01:23.924Z,2023-03-11T19:45:41Z,4087946573,3,,4087946583,213,0.4,4087946579,141,100.0,4087946577,140,34.1,4087946581,212,7.9,4087946575,56,Back,4090144801,388,,,,,c33x61zuxixolkkalsigc3q0a,D. Udogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263197,5,5,1,0,9,dxq76zcvnokq07cszdx0i6kve,0,36.4,101.6,2023-03-11T14:01:24.865Z,2023-03-11T19:45:44Z,4087946601,56,Back,4087946603,347,,4087946711,233,5,,,,,,,,,,,,,,,,c33x61zuxixolkkalsigc3q0a,D. Udogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518263205,5,5,1,0,9,8le3orkfz6iix3jns6g9ojqjg,1,63.6,-1.6,2023-03-11T14:01:24.865Z,2023-03-11T19:45:44Z,4087946667,233,5,4087946625,56,Right,4087946627,347,,,,,,,,,,,,,,,,,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
