id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,assist
2484718705,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-11-12T15:56:21.355Z,2022-12-03T18:30:33Z,3911082325,194,4x1tm440b5cshi5gxkx5k9m95,3911082315,30,"3nfxhugbxid6o0r92txslivh1, bkz9b4cqf8f970myv8r49f561, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, 8j498fkairlyk82v1qprc13op, 8mlps3xgwbxa7svajxfk2exud, 6e4y15kfry8fzixh99zpala6t, dd7i0ps16hldpriliccyvxct0, 46yp8iqh0qm7i75d98tfrsbxm, 44f0q2ucrld1rwcwx63vgs7hl, 6gjr3yxp34gj52xx8xfm9nt91, 3iveuhunq47tg8lg0lm3d31sl, b3x2ne9udyi7aguwu5sw97rop, 5cjx2i2perp5vr62en4cyer1m, cnexf6pdh1piheuuqzrbb1t61, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, a9jc36ub52lh0jgq2ya56wyui, almqs7iwjgmimcpmegdkoh3o5, 9t753r5hnyq6qe5o7csuurw15, cntcffa67r95rbcf1154r92zu, 9ik51limpi4f3blp1r60hb27d, a6jwnrv86cly1ti085c9dnn6c, cv8wgka2bmkeqajg3eo9lb4k5, 40g1jre7l8d2efvx9961kyqga, 6dioxrahqm3l316lwtvqstnxm",3911082323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911082321,130,4,3911718695,197,5190,3911082319,59,"30, 6, 25, 42, 5, 93, 29, 16, 9, 27, 11, 1, 4, 7, 8, 13, 14, 17, 19, 21, 22, 28, 31, 77, 83, 99",3911082327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911082317,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484725441,2,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-11-12T16:04:20.428Z,2022-11-12T18:14:41Z,3911114109,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3911114107,30,"e2dn4s6p2f6xnbaje17wd3jyt, jk8n72zhngmdw2ek47zx7f11, 6u6mobmk6lpvwebo76ddxr3s9, e8c2o47zyuqa07lcrgzusn97u, 5sxy1z2pz5bhlp767lyjte76d, bf67gbxjr8fkha0e59fs6qok5, eqggzoepu1d4t13fw6ybebtn9, bh4a2zneilpvi1t7etuhkfl61, c87f30rukjnu7v3f3iqxpkxqt, 1wnzwoisg4ctvcxsh2xnrkj4l, bllfrubt6iz8m2rq7m1nbg8ic, 14vhrqvqomi57x5mtsawm44b9, bg7t6yere90otrlaxeu636q51, mh8eevw5lj4i9c7ue5n9j845, cxb8ue6jhyzcnacu7k4jy2ne1, dz33ybo9w22154xeaiteuca8l, bgpoqigjsb92lt6n5vrmshwwl, 151jcsoydef86be6b7rpt4bv8, 6l8t99gerta358od16upuhqz9, crqk7tlewkn3ayk042yo1bfv8, 888tdbsmzpau9eixoty8slpwq",3911114115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911114113,130,18,3911114111,59,"1, 24, 37, 2, 25, 21, 8, 4, 7, 23, 34, 3, 5, 10, 14, 22, 27, 28, 29, 31, 70",3911672717,197,587,3911114119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3911114117,194,jk8n72zhngmdw2ek47zx7f11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836873,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-11-12T17:00:25.743Z,2022-11-12T17:00:27Z,3911708713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836845,3,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-11-12T17:00:25.743Z,2022-11-12T19:20:06Z,3911708595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836889,4,1,1,0,0,4plikfte18rv8v4l89z803d4y,1,50,50,2022-11-12T17:00:26.033Z,2022-11-13T00:32:40Z,3911708785,212,16.5,3911708789,279,S,3911708779,56,Back,3911708787,213,3.4,3912777941,178,,3911708783,141,44.0,3911708781,140,34.8,,,,bh4a2zneilpvi1t7etuhkfl61,Gonzalo Villar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836919,5,1,1,0,1,4plikfte18rv8v4l89z803d4y,1,34.8,44,2022-11-12T17:00:27.191Z,2022-11-12T23:33:37Z,3911708971,213,1.7,3911708965,140,34.5,3911708961,56,Back,3911708967,141,47.0,3911708969,212,2.1,3912778235,178,,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836955,6,1,1,0,2,4plikfte18rv8v4l89z803d4y,0,34.5,47,2022-11-12T17:00:28.250Z,2022-11-12T23:33:43Z,3911709185,141,27.9,3911709181,56,Center,3911709183,140,64.9,3911709187,212,34.5,3911709179,155,,3912778511,178,,3911709189,213,5.9,3911709191,1,,e8c2o47zyuqa07lcrgzusn97u,B. Amione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836965,3,44,1,0,5,bi1fxjrncd0ram0oi7ja1jyuo,1,29.8,77.8,2022-11-12T17:00:31.058Z,2022-11-13T01:50:14Z,3911709313,233,7,3911709239,56,Back,3911709241,285,,,,,,,,,,,,,,,,,dd7i0ps16hldpriliccyvxct0,JoanGonzàlez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484836973,7,44,1,0,5,4plikfte18rv8v4l89z803d4y,0,70.2,22.2,2022-11-12T17:00:31.059Z,2022-11-12T23:33:47Z,3911709287,56,Center,3911709289,286,,3911709299,233,3,,,,,,,,,,,,,,,,bllfrubt6iz8m2rq7m1nbg8ic,D. Montevago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484837297,10,1,1,0,5,bi1fxjrncd0ram0oi7ja1jyuo,0,30.6,76.8,2022-11-12T17:00:31.076Z,2022-11-13T01:50:14Z,3911710979,141,75.8,3911710977,140,32.6,3911710983,213,6.0,3911710981,212,2.2,3911710971,3,,3912778723,388,,3911710975,56,Back,,,,dd7i0ps16hldpriliccyvxct0,JoanGonzàlez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
