id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2449471281,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-08-21T17:49:56.459Z,2022-08-21T18:56:41Z,3724154591,194,68etig279gs3btjb7fv6rvfth,3724154583,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3724154589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724154585,59,"1, 5, 8, 45, 21, 42, 61, 14, 11, 9, 18, 2, 3, 4, 19, 22, 23, 24, 28, 34, 72, 77",3724300807,197,16330,3724154587,130,12,3724154581,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, bo98qzo4gu0npm4pewc25ovyt, cu7dqkhlo7kms52cdes451bdh, acss55nkdwdtvt9zl6p1ry09h, 8o8o4rxbdhv002pj0q21l0f84, 9sjt5rv156hr2llfu241r6cph, 7hwj9pf9roe74jifvuhiu6n6x, e5ccnxgbz5jmqwy6fza3gdsl, 4mab6p97p5t3w0fipzp22nxsl, bsi12817nc1ul082qn48d4rft, e8c2o47zyuqa07lcrgzusn97u, 7uf7y7xa6hy3gieetcte3td2i, 9l2tdbf7p325xez7wz7wzxzh1, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, m7fe173js8on94ag3htziy8l, 20f5apcbciifqyln8hp3cziwa, ea4l6vjonhtvjmq1nyfec2fvt, c2ezyc2fftje7rcm5ybbuytp1, bp1q4oept06hp1xgq7flotyzu, 8kdamc6zz4bskby51c59uuntg",3724154593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449472281,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-08-21T17:51:47.854Z,2022-08-21T18:44:25Z,3724160319,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724160313,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3724160315,59,"28, 33, 50, 14, 17, 29, 8, 30, 21, 7, 9, 4, 1, 3, 10, 18, 20, 22, 23, 55, 66, 82, 92, 99",3724160321,194,8wh3u8b2hz7rcygnfng8khh3p,3724160323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724160317,130,18,3724300331,197,551,3724160311,30,"4hrmzpx1nt5ze55fpby71mcb9, b94d67jluhh4076wp2se5fqsq, 7ohgxs03szerp6mwiiv58ryay, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, 3cbwh4pfwae5xw072cy14gb85, 38de1wbyp2ruksgffna791n8p, 5lvdnoyknuoyr6kdruposgctl, 8wh3u8b2hz7rcygnfng8khh3p, 1cu7fg8sf90isf9gp21e5fqh, dccxma9p13p00n0gi1cxk1nf9, 6xt6fnmwrs7btha4d2t7wkktm, 46twjsjrm4ljb7bhobbpwx5h, 3i6ynmsdwm5r79cc8sdjczggk, 5j7hbe94ewys7hkd04ay5bpw5, ct2t62s5gte4o5hodlfz9hkb8, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, x8runqzjfkym8r7kdy3a8t0, d6vg86aml1ttoyks4vvvk0smh, 5tfh0jvfxlw1aqfaiiok4pwr8, efow9aip64uaszfwxh1j0l6y2, 3x5ba0vrky5ybpt04ofuv0c7p, a46kdc4sdf7e6520s8gm9glm2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496289,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-08-21T18:45:07.256Z,2022-08-21T18:45:07Z,3724302667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496305,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-08-21T18:45:07.256Z,2022-08-22T03:39:05Z,3724302717,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496337,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,50,50,2022-08-21T18:45:07.280Z,2022-08-22T03:43:33Z,3724302869,141,51.0,3724302871,212,18.6,3724302865,56,Back,3724302867,140,32.3,3724302873,213,3.1,3724302875,279,S,3725646057,178,,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496379,4,1,1,0,2,ap6blbxhq9elm62vw6tutzlwg,1,32,51.9,2022-08-21T18:45:10.041Z,2022-08-22T03:43:37Z,3724303081,140,36.4,3724303087,213,1.4,3724303085,212,25.6,3724303079,56,Back,3725646113,178,,3724303083,141,89.0,,,,,,,acss55nkdwdtvt9zl6p1ry09h,K. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496449,5,1,1,0,6,ap6blbxhq9elm62vw6tutzlwg,0,39.3,88.5,2022-08-21T18:45:13.404Z,2022-08-22T03:43:39Z,3724303435,56,Center,3724303445,1,,3725127617,157,,3724303443,213,5.7,3724303439,141,47.3,3725646139,178,,3724303441,212,52.0,3724303437,140,81.0,7hwj9pf9roe74jifvuhiu6n6x,I. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496471,3,12,1,0,8,ej5er0oyngdw138yuumwqbyqt,1,19.5,55.1,2022-08-21T18:45:16.212Z,2022-08-22T03:43:45Z,3725646249,388,,3724303563,212,19.1,3724303559,140,29.1,3724303565,213,1.0,3724303603,15,,3724303557,56,Back,3724303561,141,78.9,,,,7e11kdi7wh9tleor9w5o2fdn9,K. Bonifazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496533,6,1,1,0,14,ap6blbxhq9elm62vw6tutzlwg,1,80.8,13,2022-08-21T18:45:21.718Z,2022-08-22T03:43:49Z,3724303905,141,11.1,3724303909,213,3.3,3724303903,140,70.2,3725646325,178,,3724303901,56,Right,3724303907,212,11.2,,,,,,,bsi12817nc1ul082qn48d4rft,M. Hongla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496569,7,1,1,0,16,ap6blbxhq9elm62vw6tutzlwg,1,70.2,11.1,2022-08-21T18:45:23.845Z,2022-08-22T03:43:52Z,3724304061,56,Right,3724304067,212,17.1,3724304065,141,15.7,3725646357,178,,3724304069,213,0.2,3724304063,140,86.2,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
