id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value,qualifier/14/value
2533138179,1,34,16,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-14T17:40:17.329Z,2023-04-14T18:51:19Z,4187700071,130,4,4187700075,194,8lta4w1nytggiwnaqv4e5cc0l,4187700065,30,"4g0d51pqr4grzoe9cx7do6pxx, 2s9ko6yxyi95jybzguru8g3bp, 89z0ym1zvwp7rikmd0kvpcq8l, cbymienvjkbbvi1rbky74vj3e, e05kmeeuc7x55gwhjmxl9ry3u, f1ma05bi3t1hfbflylx5d9tyh, 6n7sw8r0fhcoa8hfuxrtm96tx, 6ehsdxl74v0qtlbjjjbu0r0t1, 8zltxvt0rcrcv96x1wmdhlrrp, e4cwx5r9hrvip371egldkc6ol, 8lta4w1nytggiwnaqv4e5cc0l, bmqg7owjivu1f3grdigkid0b9, 4ypa8ma678embtagi427eg4id, 545o5sllzb34kosvbw3fxhc5x, a21winmltx1h9oiwqtfditkut, azph2f84zhlvg4wd8tleydkdm, 9casrbyhvk5woencvp365fnmy, 2rdh9ggkr9iu50esnyv464dsl, 1s7qbrynbcv9uw9r5f29oyc5, 6sejjyqssbr3olctm9nkq2v9x, 1fsum47fkh62rer9xxe3smctm, 72sbeqsrvv64vwiec51r9g1k9, 1kafgt90durzi0trgasa35nqi",4187700069,59,"69, 27, 43, 25, 55, 4, 8, 6, 18, 10, 11, 1, 7, 13, 14, 19, 21, 22, 24, 29, 30, 33, 72",4187700073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187700077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187909841,197,14656,4187700067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533140499,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-04-14T17:44:24.149Z,2023-04-14T20:15:40Z,4187712423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187712409,30,"8n4rruxbnzvjgdomxslnmcno5, a22hb1s02edsj7t38out5r3rp, 62uaf4amxdyz6j2fuvadp0no5, 6hlutndh6zstrpi5i0u0mxyvp, 3l76cgequy3tjhhudqnrejglx, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 3v6az10hxcowqkewd809cri6t, 5o80hrbyw554cetm1rbbns0k5, bj2ymzuyq3zxbfjs3xrt3ss7p, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, d7xdtkzw3h749ngi4sobn6kmh, 5e13xwlorl1gjrnjjtfnzawa1, d02p1ldr57bkxcpmq12vtvhsl, ho87m362sey4msdjp4n180oa, 1x10v3yh4e3f1p2ndhtxcck4p, 6eb3jpi6t6z2ergmgzcpckdpm, bpzzhdpqxmp8bef77m7pr2r4l, 8w2rfa3vnu6t1a37510374nv9, b62gjcajugddud630e9b7ptjp, 5gond4ss348863bc1768s4q, 3a60l8v1wpr9qpapsjcu4bztg, 7y5qwgl0xu7btfd7yxgeb2gut, aaokzl1u7cev2dbn7p09cfx05",4187712411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187712415,130,4,4187712419,194,5o80hrbyw554cetm1rbbns0k5,4187712413,59,"94, 77, 23, 32, 4, 13, 21, 10, 17, 7, 20, 1, 3, 6, 9, 11, 15, 18, 26, 29, 31, 34, 50, 88, 96",4187712417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187712421,197,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178057,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2023-04-14T18:45:35.319Z,2023-04-14T18:45:35Z,4187916111,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178093,2,32,1,0,0,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-04-14T18:45:35.319Z,2023-04-15T01:19:22Z,4187916359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178115,3,1,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,50.1,50.1,2023-04-14T18:45:35.452Z,2023-04-15T03:31:22Z,4187916473,141,42.4,4187916477,213,3.5,4188848127,178,,4187916471,140,37.0,4187916475,212,14.7,4187916469,56,Back,4187916479,279,S,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178125,4,1,1,0,1,btcy9nra9ak4m22ovr2ia6m5v,1,37,42.4,2023-04-14T18:45:36.622Z,2023-04-15T03:31:32Z,4187916523,213,1.8,4187916519,141,48.0,4187916515,56,Back,4188848159,178,,4187916521,212,3.9,4187916517,140,36.2,,,,,,,3l76cgequy3tjhhudqnrejglx,Patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178227,5,1,1,0,3,btcy9nra9ak4m22ovr2ia6m5v,0,36.2,48,2023-04-14T18:45:38.531Z,2023-04-15T03:31:38Z,4187917051,1,,4187917037,56,Right,4188578051,157,,4187917041,141,14.7,4188848163,178,,4187917043,212,49.3,4187917047,213,5.8,4187917039,140,77.9,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178181,3,44,1,0,6,4klvxyeh3xcus4ongu7c00mgc,1,24.2,86.9,2023-04-14T18:45:41.930Z,2023-04-15T04:36:12Z,4187917171,233,6,4187916795,285,,4187916791,56,Back,,,,,,,,,,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178231,6,44,1,0,6,btcy9nra9ak4m22ovr2ia6m5v,0,75.8,13.1,2023-04-14T18:45:41.931Z,2023-04-15T03:31:44Z,4187917187,233,3,4187917067,286,,4187917065,56,Right,,,,,,,,,,,,,,,,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533178205,4,1,1,0,6,4klvxyeh3xcus4ongu7c00mgc,1,25.8,88.4,2023-04-14T18:45:42.023Z,2023-04-15T04:36:12Z,4187916921,56,Back,4188848203,388,,4187916925,141,87.1,4187916929,213,6.0,4187916923,140,28.5,4187916927,212,3.0,4187916919,3,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
