id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/18/value
2479735957,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-30T18:37:26.064Z,2022-10-30T19:43:29Z,3885088295,130,8,3885088293,59,"1, 20, 19, 32, 46, 23, 30, 8, 27, 10, 17, 4, 5, 7, 9, 12, 21, 24, 28, 33, 40, 83, 90, 96",3885088299,194,3tpmw6tlijytn0ahwztvedkut,3885088289,30,"7kph61hobc93t2c2tl8l5j105, b33rlpjo3kx4477alx82si5wq, 3tpmw6tlijytn0ahwztvedkut, ch5rw8dgb6wh99wyhd8o3t1pl, enqcaecpt5hy0qv9x5pzmkjc9, 3sezchmdtivxl4kusvgc6j7x1, 17au7v1ocl4zab872g59821yi, 9sxg58hszjq17avxgumftdu22, 1dwwsz1i6v8zwh802ujwf7emt, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, cknjube5flk1r5ppqthj82c5, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 5awkzgwwh48prwgvxwewuc5hx, eyra5urhrm92240e7qbll736d, b0me6l44boibnwpbtasxoy02x, ehztjmhg6fsddm1fqb00547o5, cfpaejad8i9p2r1fj0wx0g222, 3v1fnp5e9pxfzgou5ebrgprrp, 72vim7cq99zdjjwivwtr773vu, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be, 9rs7sa9181bsys17v0naoszfu",3885283489,197,579,3885088291,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3885088297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885088301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479736405,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-30T18:38:22.778Z,2022-10-30T19:42:30Z,3885090835,59,"32, 17, 19, 4, 3, 26, 10, 28, 11, 59, 16, 2, 6, 7, 13, 21, 23, 27, 36, 49, 73, 77, 89",3885090833,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3885090839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885090831,30,"5syage212151fcixahbq3k8ut, f065kc6qn2cpxjxcm6i08rz3e, 866f0f7taqhae91o3cjnnx0ph, 22x1ucwwak58wi6r5x1j6ohk9, 2j09251upkf2aid3lfyyos0dl, 8z1ukxgc8mxiyw9udbpwr4ct1, cdrzpuj49ploquvdolgh5c3bp, e2oeysariwd866ksilu3t4m7e, ds0ka65ypjubtgp60kupc7dnt, 5wdqva17qr5j2kqbmfi9o91x, ebgkv548xih19m8uza7bgrvmd, 21p37y6mra4u9kcg35z5dm4q2, 7oz324ar8tp6nkd934y096q22, ez8vzwaf7iuiv2ceetiwg6ymt, 9ak3zczupeken1itsmkherbh1, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, 16kv5p8we3pwqpt5ktwrb7mj9, cjff8fu812lennnunqljgddnu, 1tztnrv51q99ewl193qk526z9, dnqd5s61ssjofdtgrcfiii8lw, 6ol411t0mogw6m83heiqd0m39, 7p19t0mn8cq7xum09nv2u2lt5",3885090837,130,17,3885090843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3885280625,197,593,3885090841,194,22x1ucwwak58wi6r5x1j6ohk9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479772977,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-30T19:46:55.065Z,2022-10-30T19:46:55Z,3885293079,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479772985,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-10-30T19:46:55.065Z,2022-10-31T02:12:33Z,3885293125,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479772997,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,49.8,49.8,2022-10-30T19:46:55.208Z,2022-10-31T02:21:31Z,3885293205,212,16.3,3885293203,141,47.8,3885293209,279,S,3885293201,140,34.3,3885293207,213,3.2,3885293199,56,Back,3885902137,178,,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479773017,4,1,1,0,2,9dntj5dioj5ex52yrgwzxrq9l,1,34.3,47.8,2022-10-30T19:46:57.131Z,2022-10-31T02:21:35Z,3885293315,140,32.5,3885293313,56,Back,3885293319,212,19.9,3885902235,178,,3885293317,141,77.0,3885293321,213,1.7,,,,,,,enqcaecpt5hy0qv9x5pzmkjc9,M. Gabbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479773029,5,1,1,0,5,9dntj5dioj5ex52yrgwzxrq9l,0,32.9,78.9,2022-10-30T19:47:00.420Z,2022-10-31T02:21:42Z,3885293395,1,,3885293391,213,5.6,3885293383,141,44.1,3885902305,178,,3885293381,140,61.5,3885293377,56,Center,3885293387,212,38.2,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479773035,3,49,1,0,6,7gnly6999wao1xarwct4p8fe9,1,43.2,54.7,2022-10-30T19:47:01.802Z,2022-10-31T02:21:51Z,,,,,,,,,,,,,,,,,,,,,,,,,ebgkv548xih19m8uza7bgrvmd,N. Vlašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479773071,4,1,1,0,11,7gnly6999wao1xarwct4p8fe9,1,65.4,73.4,2022-10-30T19:47:06.640Z,2022-10-31T02:21:59Z,3885293589,56,Left,3885902513,178,,3885293595,212,11.3,3885293593,141,89.0,3885293591,140,69.2,3885293597,213,1.2,,,,,,,ebgkv548xih19m8uza7bgrvmd,N. Vlašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479773085,5,1,1,0,14,7gnly6999wao1xarwct4p8fe9,0,68.5,89.7,2022-10-30T19:47:09.275Z,2022-10-31T02:22:06Z,3885902625,178,,3885293685,140,63.1,3885293689,141,90.9,3885293697,213,3.0,3885293717,286,,3885293681,56,Left,3885293713,233,6,3885293693,212,5.7,ds0ka65ypjubtgp60kupc7dnt,P. Pellegri,3885293711,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
