id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/13/value,keyPass,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2476900027,1,34,16,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-10-24T15:28:36.633Z,2022-10-24T16:33:19Z,3869996947,59,"1, 24, 29, 8, 2, 15, 11, 5, 10, 18, 7, 3, 4, 13, 14, 21, 22, 23, 25, 27, 28, 37, 70",3869996951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3869996955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3869996945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3869996943,30,"e2dn4s6p2f6xnbaje17wd3jyt, jk8n72zhngmdw2ek47zx7f11, 6l8t99gerta358od16upuhqz9, eqggzoepu1d4t13fw6ybebtn9, e8c2o47zyuqa07lcrgzusn97u, 2bitk8s7gg2o7sjnjmolnw9ud, 3yl0m3n14kek9pwkp7catyh9l, bg7t6yere90otrlaxeu636q51, mh8eevw5lj4i9c7ue5n9j845, 4cwu3yf14da7zglzpthg28j4l, c87f30rukjnu7v3f3iqxpkxqt, 14vhrqvqomi57x5mtsawm44b9, bh4a2zneilpvi1t7etuhkfl61, bfjtj20rbx8bqszi5a3wayaqd, cxb8ue6jhyzcnacu7k4jy2ne1, bf67gbxjr8fkha0e59fs6qok5, dz33ybo9w22154xeaiteuca8l, 1wnzwoisg4ctvcxsh2xnrkj4l, 5sxy1z2pz5bhlp767lyjte76d, bgpoqigjsb92lt6n5vrmshwwl, 151jcsoydef86be6b7rpt4bv8, 6u6mobmk6lpvwebo76ddxr3s9, 888tdbsmzpau9eixoty8slpwq",3870076393,197,16458,3869996949,130,8,3869996953,194,jk8n72zhngmdw2ek47zx7f11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476901999,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-10-24T15:34:21.715Z,2022-10-24T16:39:30Z,3870008491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870075895,197,3464,3870008485,130,12,3870008479,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870008483,59,"12, 17, 3, 44, 15, 4, 6, 28, 77, 90, 8, 2, 5, 7, 9, 10, 13, 18, 19, 20, 23, 32, 33, 45, 62, 74",3870008489,194,ckzn72wo51pmw475t9tl6vr2t,3870008487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870008475,30,"eu9b86opw6n66vftu1r5alfqh, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 3jruai7zu28e8f0ooj4t16l05, ckzn72wo51pmw475t9tl6vr2t, ay6tmp6zkxtjzse2gel3rgnl6, a8ez7qv4n62b8s45pdo8u07o5, 9qrewt049r6yq88c715ymau39, 1gnc1tbpmomiqt1sty2lktt5, 86603cyr3osksy73el0ncy7yt, 5m5qyz18o5hmta6mh4zk57sh5, 9ajh8tm9rl0i2sa09c9dfu0h5, 7ojvhhfvbtbn60sc50y4l2ctm, 6ldly9c02sbh2ray6u6j6jro5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, g324scl7t7h6j05g973me82y, 86nwv5baekm00h4d3z0suwhyh, a7gi41760sk45wbkpbps3njdh, 74g3ef24ctcgw1kee77d3acr8, 33erk8bdhefx5xnkjad2fvy8k, bmmahw4ww36w4tokk3xhvvvmd, 1r35ds2obqkw03f7hfpfsqqui, a3o9x85aooe65w5r3ibs8ltk9, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913627,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-10-24T16:30:54.969Z,2022-10-24T22:58:41Z,3870078711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913631,2,32,1,0,0,4plikfte18rv8v4l89z803d4y,1,0,0,2022-10-24T16:30:54.969Z,2022-10-24T16:30:57Z,3870078723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913635,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,50,50,2022-10-24T16:30:55.075Z,2022-10-25T01:11:00Z,3870854309,178,,3870078759,212,13.8,3870078753,56,Back,3870078763,279,S,3870078755,140,36.9,3870078761,213,3.2,3870078757,141,49.5,,,,86603cyr3osksy73el0ncy7yt,C. Dessers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913643,4,1,1,0,2,af91jdcs6x0bqkmdb78rokod2,1,36.9,49.5,2022-10-24T16:30:56.990Z,2022-10-25T01:11:04Z,3870078809,141,28.9,3870078811,212,14.5,3870078807,140,33.4,3870078813,213,4.5,3870854361,178,,3870078805,56,Back,,,,,,,5m5qyz18o5hmta6mh4zk57sh5,S. Ascacíbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913647,5,1,1,0,4,af91jdcs6x0bqkmdb78rokod2,1,33.7,29.7,2022-10-24T16:30:59.417Z,2022-10-25T01:11:08Z,3870078875,56,Back,3870078883,213,2.3,3870078877,140,24.9,3870854395,178,,3870078881,212,14.1,3870078879,141,45.3,,,,,,,ay6tmp6zkxtjzse2gel3rgnl6,E. Aiwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913657,6,1,1,0,7,af91jdcs6x0bqkmdb78rokod2,1,26.7,46.1,2022-10-24T16:31:02.560Z,2022-10-25T01:11:12Z,3870078959,213,1.5,3870078953,140,28.8,3870078957,212,32.0,3870854413,178,,3870078961,1,,3870078951,56,Back,3870078955,141,93.1,,,,ckzn72wo51pmw475t9tl6vr2t,M. Bianchetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913663,7,1,1,0,12,af91jdcs6x0bqkmdb78rokod2,0,38.8,97,2022-10-24T16:31:07.368Z,2022-10-25T01:11:26Z,3870078981,213,6.0,3870078979,212,25.3,3870078973,56,Left,3870078977,141,88.4,3870078975,140,62.2,3870854535,178,,,,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477058087,807,67,1,0,13,4plikfte18rv8v4l89z803d4y,1,35.3,10.5,2022-10-24T16:31:08.497Z,2022-10-25T05:02:52Z,3870866833,233,855,,,,,,,,,,,,,,,,,,,,,,e8c2o47zyuqa07lcrgzusn97u,B. Amione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477058085,855,67,1,0,13,af91jdcs6x0bqkmdb78rokod2,0,64.7,89.5,2022-10-24T16:31:08.498Z,2022-10-25T01:43:37Z,3870866849,233,807,,,,,,,,,,,,,,,,,,,,,,d9bg5jjv8pz0f8u55x3hg0962,E. Valeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476913661,3,8,1,0,13,4plikfte18rv8v4l89z803d4y,1,34.9,10.1,2022-10-24T16:31:08.533Z,2022-10-25T05:02:52Z,3870078971,56,Back,3870542525,385,,3870854557,178,,,,,,,,,,,,,,,,,e8c2o47zyuqa07lcrgzusn97u,B. Amione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
