id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2533950711,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-15T17:55:33.810Z,2023-04-15T18:52:45Z,4191976727,194,by2gxuixij1eciu56k8mb3cgl,4191976717,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 9qow77e16pvlb3860yjpydryt, q6ns1fyw7w10xkkubh8etfc9, by2gxuixij1eciu56k8mb3cgl, asyzhp3qu95vmzdbau6nmoic5, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 6d7rip50yu2j7vyk76zokeehh, 8qgbxff7xlg0zjtyees7ljljp, can2l9ha4ufsxdjxdkb739fkk, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, aripnzu9yo2wlr8ud93ufdhih, ujb2hkujcnwnyrbsgk3ilmtx, botfgp0oq4wqlwtcs9m90kded, 84so0uovope0pkt6cz2iisbth, 19856wqwrmzmvfw9thf0tzrv9, 6zcok1vbaitp91a9nrac20t05, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 3ddsnnhxo0mem95lcph71ix1x",4191976723,130,12,4192207041,197,568,4191976721,59,"24, 2, 8, 95, 6, 36, 23, 22, 11, 90, 14, 1, 5, 9, 10, 12, 15, 20, 21, 32, 33, 45, 46, 77",4191976719,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191976725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191976729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533952473,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-04-15T17:58:49.748Z,2023-04-15T18:48:52Z,4191986509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191986505,59,"16, 84, 30, 5, 3, 55, 6, 32, 47, 28, 12, 2, 4, 7, 8, 9, 10, 11, 17, 19, 26, 37, 77, 80, 89, 91",4192148795,197,8477,4191986503,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191986511,194,2qdgfxqyh0bjn3alkz97py8k5,4191986513,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191986501,30,"b3hr4q25jvqr7565z5ydqylt5, bcqsti42fhzap385lnfe4auhh, 4d17grk2qflzake218uz76uei, av8588qp8e5wz3s7cg1n2qgnp, erdqr6vrr5tlfypbks3og0dlh, thnje2i2s96fcbuscj57053p, 79e6khfyg3rdauul0yjlixv8q, 2qdgfxqyh0bjn3alkz97py8k5, dq037w5t3ht5zgd75mue4p1pl, duqiler25n63ksi0fxreo50mi, 64z85woxiowxzod5e0g0x77x1, annamxplmbyakvo2akw63xxw5, ejgtltbsu0djglqw98gywgu6t, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, ejmdm3h3oxr0fqubd5sbozq0a, 6ck9f1ppvl65nui0x71q80jx1, 721e4tx2wrwb4kd9w80fcq19l, 1b8uwkohkevu6ltjex0liklpl, 91sgvwun5559mwe9bszj4xql1, 18yip8wsirmu6s0idhvapnaad, rblijalj0qnu455jtjoi3pjo, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4191986507,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533985835,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-15T18:45:16.002Z,2023-04-16T01:12:01Z,4192170829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533985827,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-04-15T18:45:16.002Z,2023-04-15T18:45:16Z,4192170785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533985885,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,50,50,2023-04-15T18:45:16.042Z,2023-04-16T01:16:07Z,4192171077,140,38.2,4192171085,279,S,4193430965,178,,4192171075,56,Back,4192171079,141,53.4,4192171083,213,3.0,4192171081,212,12.6,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533985963,4,1,1,0,2,67z1gqyiuzpmmb15q5fy7ntc4,1,37.8,53.7,2023-04-15T18:45:18.576Z,2023-04-16T01:16:14Z,4192171533,212,19.0,4193431425,178,,4192171531,141,79.7,4192171529,140,31.2,4192171535,213,1.9,4192171527,56,Back,,,,,,,2qdgfxqyh0bjn3alkz97py8k5,M. Pessina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533986041,5,1,1,0,8,67z1gqyiuzpmmb15q5fy7ntc4,1,30.3,75.1,2023-04-15T18:45:24.361Z,2023-04-16T01:16:19Z,4192171939,213,4.4,4192171935,141,45.8,4193431745,178,,4192171931,56,Back,4192171933,140,25.1,4192171937,212,20.7,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533986063,6,1,1,0,13,67z1gqyiuzpmmb15q5fy7ntc4,1,29.5,54.5,2023-04-15T18:45:29.664Z,2023-04-16T01:16:24Z,4192172045,56,Back,4192172049,141,88.0,4193432127,178,,4192172053,213,1.2,4192172051,212,25.0,4192172047,140,39.2,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533986079,7,1,1,0,15,67z1gqyiuzpmmb15q5fy7ntc4,1,38.6,87.5,2023-04-15T18:45:31.446Z,2023-04-16T01:16:29Z,4193432513,178,,4192172135,212,20.0,4192172137,213,3.7,4192172133,141,72.6,4192172129,56,Back,4192172131,140,22.2,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533986125,8,1,1,0,17,67z1gqyiuzpmmb15q5fy7ntc4,1,23.6,70.5,2023-04-15T18:45:33.695Z,2023-04-16T01:17:02Z,4192172335,56,Back,4192172339,141,40.6,4192172337,140,21.8,4192172341,212,20.4,4192172343,213,4.6,4193435203,178,,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
