id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/14/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2475641737,4,1,1,0,10,9dntj5dioj5ex52yrgwzxrq9l,0,31.1,7.4,2022-10-22T16:00:17.361Z,2022-10-22T21:13:04Z,3863332777,212,12.5,3863332779,213,5.8,3863332781,1,,3863332775,141,0.0,3863332773,140,41.5,3863332769,157,,3863332771,56,Back,3864679973,178,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641739,5,5,1,0,11,9dntj5dioj5ex52yrgwzxrq9l,0,39.8,-1.8,2022-10-22T16:00:18.921Z,2022-10-22T21:13:07Z,3863333225,233,8,3863332785,347,,3863332783,56,Back,,,,,,,,,,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641823,8,5,1,0,11,67z1gqyiuzpmmb15q5fy7ntc4,1,60.2,101.8,2022-10-22T16:00:18.921Z,2022-10-22T21:13:06Z,3863333197,56,Left,3863333199,347,,3863333219,233,5,,,,,,,,,,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641851,9,1,1,0,19,67z1gqyiuzpmmb15q5fy7ntc4,1,47.3,100,2022-10-22T16:00:26.736Z,2022-10-22T21:13:10Z,3863333349,107,,3863333359,213,3.5,3863333357,212,12.8,3863333353,140,36.1,3863333355,141,94.7,3863333351,56,Back,,,,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641861,10,1,1,0,21,67z1gqyiuzpmmb15q5fy7ntc4,0,37.1,94.2,2022-10-22T16:00:28.873Z,2022-10-22T21:13:13Z,3863333417,213,6.0,3863333413,141,82.0,3863333415,212,27.7,3863333407,155,,3863333409,56,Left,3864680399,178,,3863333411,140,62.3,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641873,6,1,1,0,23,9dntj5dioj5ex52yrgwzxrq9l,0,34.4,17.2,2022-10-22T16:00:30.691Z,2022-10-22T21:15:29Z,3863333479,56,Center,3863333481,140,53.7,3863333477,3,,3864686881,178,,3863333485,212,21.5,3863333483,141,27.8,3863333487,213,0.3,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641887,11,1,1,0,25,67z1gqyiuzpmmb15q5fy7ntc4,0,42.2,75.6,2022-10-22T16:00:32.838Z,2022-10-22T21:15:34Z,3863333539,141,59.9,3863333537,140,51.1,3864687163,178,,3863333541,212,14.2,3863333535,56,Center,3863333543,213,5.4,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641913,7,1,1,0,26,9dntj5dioj5ex52yrgwzxrq9l,0,48.3,34.7,2022-10-22T16:00:33.471Z,2022-10-22T21:15:39Z,3863333621,140,63.6,3864687383,178,,3863333617,3,,3863333627,213,0.3,3863333619,56,Center,3863333623,141,42.1,3863333625,212,16.8,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641923,12,44,1,0,28,67z1gqyiuzpmmb15q5fy7ntc4,1,34.8,59,2022-10-22T16:00:35.815Z,2022-10-22T22:52:55Z,3863333701,233,8,3863333671,285,,3863333669,56,Back,,,,,,,,,,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641917,8,44,1,0,28,9dntj5dioj5ex52yrgwzxrq9l,0,65.2,41,2022-10-22T16:00:35.816Z,2022-10-22T21:15:42Z,3863333649,56,Center,3863333725,233,12,3863333651,286,,,,,,,,,,,,,,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641947,13,1,1,0,28,67z1gqyiuzpmmb15q5fy7ntc4,0,33.1,60.1,2022-10-22T16:00:35.875Z,2022-10-22T22:52:55Z,3863333789,213,6.2,3863333787,212,16.7,3863333785,141,57.4,3863333783,140,48.9,3864687711,388,,3863333779,3,,3863333781,56,Back,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641933,9,49,1,0,30,9dntj5dioj5ex52yrgwzxrq9l,1,51.5,43.3,2022-10-22T16:00:37.647Z,2022-10-22T21:15:49Z,,,,,,,,,,,,,,,,,,,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475641991,10,1,1,0,30,9dntj5dioj5ex52yrgwzxrq9l,1,51.7,42.7,2022-10-22T16:00:37.668Z,2022-10-22T21:15:51Z,3863334043,212,22.9,3863334045,213,3.0,3863334039,140,30.3,3864687983,178,,3863334037,56,Back,3863334035,155,,3863334041,141,49.0,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642013,11,1,1,0,35,9dntj5dioj5ex52yrgwzxrq9l,1,19.1,51.3,2022-10-22T16:00:42.637Z,2022-10-22T21:18:29Z,3863334153,56,Back,3863334155,140,7.0,3864695809,178,,3863334161,213,3.4,3863334157,141,46.7,3863334159,212,13.1,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642071,12,1,1,0,37,9dntj5dioj5ex52yrgwzxrq9l,0,7,46.7,2022-10-22T16:00:44.641Z,2022-10-22T21:18:33Z,3863334389,1,,3863334387,213,0.0,3863334383,141,46.9,3863334385,212,39.9,3864696111,178,,3863334381,140,45.0,3863334379,56,Back,3863334377,157,,7kph61hobc93t2c2tl8l5j105,C. Tătărușanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642079,14,44,1,0,41,67z1gqyiuzpmmb15q5fy7ntc4,1,54,53.2,2022-10-22T16:00:48.252Z,2022-10-22T22:52:56Z,3863334425,56,Center,3863334451,233,13,3863334427,286,,,,,,,,,,,,,,,,,1muwnu7rq4feejspx7no203px,A. Barberis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642075,13,44,1,0,41,9dntj5dioj5ex52yrgwzxrq9l,0,46,46.8,2022-10-22T16:00:48.253Z,2022-10-22T21:18:38Z,3863334411,285,,3863334611,233,14,3863334409,56,Back,,,,,,,,,,,,,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642097,15,1,1,0,41,67z1gqyiuzpmmb15q5fy7ntc4,0,53.1,53.3,2022-10-22T16:00:48.373Z,2022-10-22T22:52:56Z,3863334499,213,6.1,3863334497,212,19.9,3863334495,141,48.2,3863334493,140,71.8,3863334489,3,,3864696671,388,,3863334491,56,Center,,,,1muwnu7rq4feejspx7no203px,A. Barberis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642141,14,1,1,0,43,9dntj5dioj5ex52yrgwzxrq9l,1,30.4,42.7,2022-10-22T16:00:50.584Z,2022-10-22T21:18:53Z,3863334719,56,Back,3863334727,213,1.3,3863334725,212,12.8,3863334723,141,60.8,3864697205,178,,3863334721,140,33.9,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475905393,982,43,1,0,43,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-10-22T16:00:50.610Z,2022-10-22T22:50:33Z,3864828799,144,67,3864755619,233,1002,,,,,,,,,,,,,,,,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475905391,1002,43,1,0,43,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2022-10-22T16:00:50.611Z,2022-10-22T22:50:33Z,3864828793,144,67,3864755627,233,982,,,,,,,,,,,,,,,,,,,6ck9f1ppvl65nui0x71q80jx1,G. Caprari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475905529,988,67,1,0,45,9dntj5dioj5ex52yrgwzxrq9l,1,32.6,62.2,2022-10-22T16:00:51.996Z,2022-10-22T22:52:56Z,3864756385,233,1011,,,,,,,,,,,,,,,,,,,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475905527,1011,67,1,0,45,67z1gqyiuzpmmb15q5fy7ntc4,0,67.4,37.8,2022-10-22T16:00:51.997Z,2022-10-22T21:59:44Z,3864756389,233,988,,,,,,,,,,,,,,,,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642153,15,1,1,0,45,9dntj5dioj5ex52yrgwzxrq9l,1,33.9,60.8,2022-10-22T16:00:52.086Z,2022-10-22T22:52:57Z,3864704911,178,,3863334773,56,Back,3863334775,140,29.0,3863334777,141,71.6,3863334781,213,2.2,3863334779,212,9.0,,,,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642181,16,1,1,0,47,9dntj5dioj5ex52yrgwzxrq9l,0,29,71.6,2022-10-22T16:00:54.143Z,2022-10-22T21:21:51Z,3863334927,213,0.6,3863334919,56,Left,3863334929,1,,3864704975,178,,3863334923,141,100.0,3863334925,212,37.5,3863334921,140,59.0,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642335,16,5,1,0,50,67z1gqyiuzpmmb15q5fy7ntc4,1,39.6,-1.7,2022-10-22T16:00:57.259Z,2022-10-22T21:21:55Z,3863335763,347,,3863335781,233,17,3863335761,56,Back,,,,,,,,,,,,,,,,1muwnu7rq4feejspx7no203px,A. Barberis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642187,17,5,1,0,50,9dntj5dioj5ex52yrgwzxrq9l,0,60.4,101.7,2022-10-22T16:00:57.259Z,2022-10-22T21:21:55Z,3863335825,233,16,3863334957,347,,3863334955,56,Left,,,,,,,,,,,,,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
