id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value
2455263929,3,61,1,0,5,btcy9nra9ak4m22ovr2ia6m5v,0,25.2,35.9,2022-09-03T18:45:25.087Z,2022-09-04T04:36:53Z,3755042637,56,Back,3756585789,178,,,,,,,,,,,,,,,,,,,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455263953,7,50,1,0,8,gi0l1habji5hpgar77dl5jqe,1,74.8,39.2,2022-09-03T18:45:27.597Z,2022-09-04T02:31:44Z,3755042745,286,,3755042743,56,Center,3755043301,233,6,,,,,,,,,,,,,,,,1wynwp4x95o9w5tt4cdog6i1,V. Osimhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264035,6,7,1,0,8,btcy9nra9ak4m22ovr2ia6m5v,1,25.2,60.8,2022-09-03T18:45:27.637Z,2022-09-04T02:31:49Z,3755043155,285,,3755915965,384,,3755043283,233,7,3756586471,178,,3755043153,56,Back,,,,,,,,,,cfzvplhlvlfvau521u6b86xud,M. Zaccagni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455263979,4,49,1,0,8,btcy9nra9ak4m22ovr2ia6m5v,1,29.4,60.6,2022-09-03T18:45:28.344Z,2022-09-04T02:31:52Z,,,,,,,,,,,,,,,,,,,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455263985,5,1,1,0,8,btcy9nra9ak4m22ovr2ia6m5v,1,18.1,67,2022-09-03T18:45:28.369Z,2022-09-04T02:31:59Z,3755042895,56,Back,3755042897,140,21.4,3755042899,141,66.6,3756586915,178,,3755042903,213,6.2,3755042901,212,3.5,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455309461,341,1,1,0,10,btcy9nra9ak4m22ovr2ia6m5v,0,24.3,66.3,2022-09-03T18:45:29.549Z,2022-09-04T02:32:03Z,3755295875,141,60.8,3755295877,212,4.3,3755295879,213,5.2,3756587207,178,,3755295873,140,26.4,3755295871,56,Back,,,,,,,cfzvplhlvlfvau521u6b86xud,M. Zaccagni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455263975,8,49,1,0,10,gi0l1habji5hpgar77dl5jqe,1,73.2,44.8,2022-09-03T18:45:29.999Z,2022-09-04T02:32:06Z,,,,,,,,,,,,,,,,,,,,,,,,,3bhy6x04rbwzk0nh1fm59dmnd,A. Zambo Anguissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455263987,9,1,1,0,11,gi0l1habji5hpgar77dl5jqe,1,73.2,44.8,2022-09-03T18:45:30.842Z,2022-09-04T02:32:13Z,3755042909,140,67.5,3755042915,213,2.4,3755042913,212,8.4,3755042907,56,Center,3755042911,141,53.4,3756587591,178,,,,,,,,3bhy6x04rbwzk0nh1fm59dmnd,A. Zambo Anguissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264011,10,1,1,0,12,gi0l1habji5hpgar77dl5jqe,1,68.4,55.3,2022-09-03T18:45:31.726Z,2022-09-04T02:32:16Z,3756587727,178,,3755043025,141,71.3,3755043027,212,11.0,3755043023,140,70.1,3755043021,56,Center,3755043029,213,1.4,,,,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264039,11,1,1,0,13,gi0l1habji5hpgar77dl5jqe,1,71.9,72.3,2022-09-03T18:45:33.068Z,2022-09-04T02:32:19Z,3755043175,140,79.2,3755043177,141,95.0,3756587857,178,,3755043181,213,1.1,3755043179,212,17.2,3755043173,56,Left,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
