id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/15/value,assist
2502466491,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-01-30T19:03:33.667Z,2023-01-30T19:43:51Z,4004617365,194,bo98qzo4gu0npm4pewc25ovyt,4004617363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4004617361,130,17,4004683775,197,17194,4004617355,30,"c7fky0h6gi7wmibnv2tzf6mz9, 2q0bx5wsc6b68vpps79hosnah, bo98qzo4gu0npm4pewc25ovyt, 9mldc318nq0tli73wjh6ueket, 130pg17ru5fzq4igokx0k73e1, m7fe173js8on94ag3htziy8l, 9sjt5rv156hr2llfu241r6cph, 8kdamc6zz4bskby51c59uuntg, dp1y9x5r6z1q120hj3sgyhxat, e5ccnxgbz5jmqwy6fza3gdsl, 6mybntbgl188coqd2dl6ulhm2, bkecjzwt25owatn87ejv9k6ei, a9z0jsjwfteq974bxwucvc4ix, 5uro3xukpb1lsnwepj06lgzit, g64b8x11ndowv2zj29r9i311, c39nv7jn5c3qzglosgzigif2t, 31b0dvddmki2b2zvumesyrx4a, co1vwppy1870xm5iymj3wmp5h, 20f5apcbciifqyln8hp3cziwa, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 8o8o4rxbdhv002pj0q21l0f84",4004617357,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4004617359,59,"1, 29, 8, 17, 6, 23, 61, 77, 19, 11, 25, 83, 26, 2, 33, 7, 20, 22, 24, 30, 32, 34, 42",4004617367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502467241,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-01-30T19:06:01.107Z,2023-01-30T19:46:03Z,4004620981,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4004620973,59,"1, 19, 13, 18, 29, 50, 24, 5, 7, 9, 11, 2, 3, 4, 14, 15, 20, 23, 37, 39, 80, 99",4004620971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4004620969,30,"93237ztqyi3r4hu3rmgzrgudx, dfckk0xst90yjlep74tvups5x, c33x61zuxixolkkalsigc3q0a, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, bl76cebhta912vfi9z7ky32p6, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 6z3a27dxffwacyxof0imvcfvu, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 6gzi8qf8szxn99dnwh3h6gkb9, 13o5eskqs8b88yerwltk0tivp, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, al3t9fzj4ab55yux0zkd1jkr9, e2xiayt8k5tv4dw5hjop71fqh, b881arnahhahg0iaix4mx266t, 3z0aknj901kdnvsp4sld6ejv8, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",4004620975,130,12,4004620979,194,dkx1rfzizskaplpex70i3q0o9,4004620977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4004687771,197,8396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480089,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-01-30T19:46:50.570Z,2023-01-30T19:46:52Z,4004689473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480081,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-01-30T19:46:50.570Z,2023-01-31T01:38:22Z,4004689427,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480093,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50.1,49.9,2023-01-30T19:46:50.758Z,2023-01-31T02:58:46Z,4004689497,279,S,4004689489,140,38.6,4004899521,189,,4004689487,56,Back,4004986897,178,,4004689495,213,3.0,4004689491,141,53.3,4004689493,212,12.3,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480097,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,38.6,53.3,2023-01-30T19:46:53.031Z,2023-01-31T02:58:50Z,4004689525,141,28.6,4004689521,56,Back,4004689523,140,35.0,4004986945,178,,4004689527,212,17.2,4004689529,213,4.5,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480105,5,1,1,0,4,dxq76zcvnokq07cszdx0i6kve,1,35,28.6,2023-01-30T19:46:54.990Z,2023-01-31T02:58:57Z,4004689571,212,16.4,4004689573,213,5.3,4004689567,140,43.4,4004689569,141,8.2,4004689565,56,Back,4004986975,178,,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480127,6,1,1,0,7,dxq76zcvnokq07cszdx0i6kve,0,43.8,12.8,2023-01-30T19:46:57.683Z,2023-01-31T02:58:59Z,4004689757,141,37.2,4004689759,212,32.3,4004689763,1,,4004689761,213,0.5,4004986983,178,,4004689755,140,70.2,4004689753,56,Center,4004689751,155,,bl76cebhta912vfi9z7ky32p6,L. Samardžić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480131,3,1,1,0,9,ap6blbxhq9elm62vw6tutzlwg,1,28.4,68.2,2023-01-30T19:46:59.975Z,2023-01-31T02:59:04Z,4004689785,3,,4004987031,388,,4004689795,213,4.3,4004689791,141,61.5,4004689793,212,5.1,4004689789,140,26.3,4004689787,56,Back,,,,m7fe173js8on94ag3htziy8l,G. Magnani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502480133,4,61,1,0,9,ap6blbxhq9elm62vw6tutzlwg,1,26.6,62.7,2023-01-30T19:47:00.317Z,2023-01-31T02:59:17Z,4004689807,56,Back,4004987141,21,,4004987143,178,,,,,,,,,,,,,,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
