id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,assist
2481355125,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-11-04T18:47:59.118Z,2022-11-04T19:49:56Z,3893747629,194,b881arnahhahg0iaix4mx266t,3893535585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893729643,197,8396,3893535579,59,"1, 19, 37, 23, 29, 18, 24, 5, 9, 10, 11, 2, 6, 7, 8, 14, 15, 17, 20, 30, 39, 67, 80, 99",3893535577,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893535583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893535575,30,"93237ztqyi3r4hu3rmgzrgudx, dfckk0xst90yjlep74tvups5x, b881arnahhahg0iaix4mx266t, e2xiayt8k5tv4dw5hjop71fqh, ah0f7tonnst92d8q91j1wll62, 4h1jj93i0v1pfemnjydnoc0dl, bl76cebhta912vfi9z7ky32p6, 8zyg5zuzyr6t0idi5od2ypvbp, 6z3a27dxffwacyxof0imvcfvu, cjm9hrspcnmjhqttuiz5fkgr9, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 60no437awq8i5th7nlffh3dn9, 5152de1kfmrihdzbdotpeo8ut, 22pxty2g6hhtifl32avf4mxud, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, 7wjzrrcy3fp8nq6dlanfxvqhh, al3t9fzj4ab55yux0zkd1jkr9, ewt8nxg2m27fj0n7dr9hbul05, 3z0aknj901kdnvsp4sld6ejv8, dn00381nbniepgi4qj7yjkv84, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",3893535581,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481356675,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-11-04T18:51:09.006Z,2022-11-04T19:43:51Z,3893543449,130,4,3893543451,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893543453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893543447,59,"30, 17, 25, 42, 6, 93, 16, 29, 9, 27, 22, 1, 3, 4, 5, 7, 8, 11, 14, 19, 21, 28, 31, 77, 97, 99",3893543445,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893732813,194,4x1tm440b5cshi5gxkx5k9m95,3893732817,197,5190,3893543443,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, bkz9b4cqf8f970myv8r49f561, 8mlps3xgwbxa7svajxfk2exud, dd7i0ps16hldpriliccyvxct0, 6e4y15kfry8fzixh99zpala6t, 46yp8iqh0qm7i75d98tfrsbxm, 44f0q2ucrld1rwcwx63vgs7hl, cntcffa67r95rbcf1154r92zu, 3iveuhunq47tg8lg0lm3d31sl, ec54xqrudky37k619x2anhrkl, b3x2ne9udyi7aguwu5sw97rop, 8j498fkairlyk82v1qprc13op, 5cjx2i2perp5vr62en4cyer1m, cnexf6pdh1piheuuqzrbb1t61, 6gjr3yxp34gj52xx8xfm9nt91, 3ail949zww61xhkymcg66bca1, almqs7iwjgmimcpmegdkoh3o5, 9t753r5hnyq6qe5o7csuurw15, 9ik51limpi4f3blp1r60hb27d, a6jwnrv86cly1ti085c9dnn6c, cv8wgka2bmkeqajg3eo9lb4k5, 90pjbz2aq8vz4qapqu1yt2ynd, 6dioxrahqm3l316lwtvqstnxm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481394161,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-11-04T19:46:03.721Z,2022-11-05T02:14:05Z,3893742677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481394171,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2022-11-04T19:46:03.721Z,2022-11-04T19:46:07Z,3893742741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481394219,3,1,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,50,50,2022-11-04T19:46:03.773Z,2022-11-05T04:27:06Z,3893742973,212,19.9,3893742971,141,47.9,3894244675,178,,3893742975,213,3.2,3893742967,56,Back,3893742977,279,S,3893742969,140,31.1,,,,dd7i0ps16hldpriliccyvxct0,JoanGonzàlez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481394225,4,1,1,0,3,bi1fxjrncd0ram0oi7ja1jyuo,1,30.2,47.2,2022-11-04T19:46:06.828Z,2022-11-05T04:27:10Z,3893746515,1,,3894244729,178,,3893743013,56,Center,3893743011,155,,3893743019,212,45.3,3893743015,140,68.4,3893743017,141,78.3,3893743021,213,0.5,bkz9b4cqf8f970myv8r49f561,F. Baschirotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481394293,5,1,1,0,5,bi1fxjrncd0ram0oi7ja1jyuo,1,64,70.3,2022-11-04T19:46:09.118Z,2022-11-05T04:27:17Z,3893743441,141,66.4,3893743443,212,6.2,3893743437,56,Center,3894244771,21,,3893743439,140,58.7,3893743445,213,3.6,3894244769,388,,,,,46yp8iqh0qm7i75d98tfrsbxm,L. Colombo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481401193,117,1,1,0,7,bi1fxjrncd0ram0oi7ja1jyuo,1,60.8,64.7,2022-11-04T19:46:11.120Z,2022-11-05T04:27:24Z,3893782091,212,5.4,3893782093,213,2.5,3894244803,178,,3893782089,141,69.5,3893782085,56,Center,3893782087,140,56.7,,,,,,,6e4y15kfry8fzixh99zpala6t,A. Blin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481401197,118,1,1,0,8,bi1fxjrncd0ram0oi7ja1jyuo,1,52.8,68.4,2022-11-04T19:46:12.657Z,2022-11-05T04:27:27Z,3893783123,140,37.3,3893783121,56,Back,3894244827,178,,3893783125,141,52.6,3893783127,212,19.5,3893783129,213,3.7,,,,,,,4x1tm440b5cshi5gxkx5k9m95,M. Hjulmand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481394331,6,1,1,0,12,bi1fxjrncd0ram0oi7ja1jyuo,0,42.5,50.6,2022-11-04T19:46:15.964Z,2022-11-05T04:27:30Z,3893743633,1,,3893743631,213,0.6,3893743623,56,Left,3893743621,155,,3894244839,178,,3893743625,140,69.9,3893743627,141,82.4,3893743629,212,36.0,bkz9b4cqf8f970myv8r49f561,F. Baschirotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
