id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/14/value,qualifier/18/value,qualifier/17/value
2451787697,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-08-27T17:46:00.033Z,2022-08-27T21:39:08Z,3736462189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736786219,197,16688,3736678713,194,e2vtm1318mm61db2wtj4m5p79,3736462193,130,8,3736462187,30,"3fpnfgoy4lbpapv2th6g60cet, e2vtm1318mm61db2wtj4m5p79, 3tpmw6tlijytn0ahwztvedkut, cknjube5flk1r5ppqthj82c5, b33rlpjo3kx4477alx82si5wq, 3sezchmdtivxl4kusvgc6j7x1, 17au7v1ocl4zab872g59821yi, 9sxg58hszjq17avxgumftdu22, 5awkzgwwh48prwgvxwewuc5hx, 7ox43isyywsnrfcd56nm65be, 11o903vztwpnmvgrinn208qnd, 7kph61hobc93t2c2tl8l5j105, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 3jln1gzc0859ymphvq83i0mp5, eyra5urhrm92240e7qbll736d, wr2f0yl1bf68r73hkjee2pqt, ehztjmhg6fsddm1fqb00547o5, ad1n9czqhmfe1saleourqmzth, 1dwwsz1i6v8zwh802ujwf7emt, ch5rw8dgb6wh99wyhd8o3t1pl, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, 68cu39v9m8pykapkh2b97ltqt",3736462191,59,"16, 2, 19, 4, 20, 23, 30, 8, 9, 90, 17, 1, 5, 7, 10, 12, 14, 24, 25, 27, 32, 46, 56, 83",3736462195,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736462197,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451789801,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-08-27T17:47:56.722Z,2022-08-27T21:09:28Z,3736473429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736473423,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736753985,194,4zn8zufrd17h9d5xl7qhahbyt,3736473421,30,"4hrmzpx1nt5ze55fpby71mcb9, b94d67jluhh4076wp2se5fqsq, 7ohgxs03szerp6mwiiv58ryay, 3l0mj1zzhytxvm9tryvqv8kix, 4zn8zufrd17h9d5xl7qhahbyt, 4gmki0xpn2e9o9p7wnm0k8p1x, d6vg86aml1ttoyks4vvvk0smh, 38de1wbyp2ruksgffna791n8p, a46kdc4sdf7e6520s8gm9glm2, dccxma9p13p00n0gi1cxk1nf9, 5lvdnoyknuoyr6kdruposgctl, 46twjsjrm4ljb7bhobbpwx5h, 3i6ynmsdwm5r79cc8sdjczggk, 6xt6fnmwrs7btha4d2t7wkktm, 5j7hbe94ewys7hkd04ay5bpw5, 7e11kdi7wh9tleor9w5o2fdn9, ct2t62s5gte4o5hodlfz9hkb8, bdb6j168crcrwje9k0titxv55, bpfg11qh1q0zj2x6sqd3srvmx, 8wh3u8b2hz7rcygnfng8khh3p, a2n9op95qyb3rkye5pxqjb7bp, x8runqzjfkym8r7kdy3a8t0, 3cbwh4pfwae5xw072cy14gb85, 5tfh0jvfxlw1aqfaiiok4pwr8, efow9aip64uaszfwxh1j0l6y2, 3x5ba0vrky5ybpt04ofuv0c7p",3736753987,197,551,3736473427,130,12,3736473431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736473425,59,"28, 33, 50, 26, 17, 5, 55, 8, 99, 9, 30, 1, 3, 4, 10, 14, 18, 19, 20, 21, 22, 23, 29, 66, 82, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844183,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-08-27T18:45:26.401Z,2022-08-27T18:45:29Z,3736772297,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844169,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-08-27T18:45:26.401Z,2022-08-28T02:03:09Z,3736772209,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844307,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,49.8,50,2022-08-27T18:45:26.462Z,2022-08-28T02:08:48Z,3736772925,140,33.6,3736772927,141,47.2,3736772931,212,17.1,3738458151,178,,3736772935,213,3.3,3736772923,56,Back,3736772937,279,S,,,,5awkzgwwh48prwgvxwewuc5hx,O. Giroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844407,4,1,1,0,5,9dntj5dioj5ex52yrgwzxrq9l,1,35.9,44,2022-08-27T18:45:32.341Z,2022-08-28T02:08:52Z,3736773439,212,36.9,3736773443,1,,3736773441,213,0.3,3736773437,141,62.0,3736773435,140,69.1,3736773433,56,Center,3736773431,155,,3738458371,178,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844423,5,1,1,0,8,9dntj5dioj5ex52yrgwzxrq9l,0,69.5,61.8,2022-08-27T18:45:35.140Z,2022-08-28T02:09:06Z,3736773535,3,,3738458945,388,,3736773537,168,,3736773547,213,5.9,3736773539,56,Center,3736773545,212,9.3,3736773543,141,56.3,3736773541,140,77.6,5awkzgwwh48prwgvxwewuc5hx,O. Giroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844471,3,1,1,0,9,ej5er0oyngdw138yuumwqbyqt,0,20.1,42.7,2022-08-27T18:45:36.356Z,2022-08-28T02:09:15Z,3736773883,3,,3736773891,212,13.0,3736773887,140,29.9,3736773893,213,0.7,3736773885,56,Back,3738459305,178,,3736773889,141,54.5,,,,4zn8zufrd17h9d5xl7qhahbyt,G. Medel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844547,6,1,1,0,12,9dntj5dioj5ex52yrgwzxrq9l,1,69.8,38.3,2022-08-27T18:45:38.951Z,2022-08-28T02:09:21Z,3736774305,212,12.0,3736774297,140,65.3,3736774295,56,Center,3736774293,155,,3736774301,141,54.5,3736774309,213,2.0,3738459541,178,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844569,7,44,1,0,13,9dntj5dioj5ex52yrgwzxrq9l,1,65.9,55.6,2022-08-27T18:45:40.107Z,2022-08-28T02:46:16Z,3736774445,233,4,3736774391,56,Center,3736774393,286,,,,,,,,,,,,,,,,,9sxg58hszjq17avxgumftdu22,S. Tonali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
