id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/16/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2530356923,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-08T15:38:24.833Z,2023-04-08T16:41:22Z,4172846371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172846369,130,12,4172846367,59,"1, 5, 3, 61, 6, 23, 24, 33, 7, 11, 4, 17, 19, 22, 25, 26, 27, 28, 30, 32, 34, 38, 42",4172846375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172846363,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, 7uf7y7xa6hy3gieetcte3td2i, 9sjt5rv156hr2llfu241r6cph, 130pg17ru5fzq4igokx0k73e1, m7fe173js8on94ag3htziy8l, 20f5apcbciifqyln8hp3cziwa, g64b8x11ndowv2zj29r9i311, c39nv7jn5c3qzglosgzigif2t, e5ccnxgbz5jmqwy6fza3gdsl, 9l2tdbf7p325xez7wz7wzxzh1, 9mldc318nq0tli73wjh6ueket, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, 6mybntbgl188coqd2dl6ulhm2, a9z0jsjwfteq974bxwucvc4ix, 3tuxipzf6pqvga0a12422gatx, kc4qkj63uqu3wnkydxtvmwh5, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 83kdacraf2mcnbg038ld68ne2, 8o8o4rxbdhv002pj0q21l0f84",4172846365,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172846373,194,9l2tdbf7p325xez7wz7wzxzh1,4173031923,197,16329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530358417,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-04-08T15:39:43.377Z,2023-04-08T16:30:52Z,4172854525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4173032369,197,17280,4172854531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172854523,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 4vis4wltntxil2m9z16mi6j8p, ef4thhub6bsd2gtmltknkz8b9, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, 74o97lnqpku6m9svks66qbend, 153ljvbov0n176vm9fdaizoix, m030tubgf3zpgf0axzm7z26t, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, bqer8ajqm2vibthgumtuycbu1, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 9k1ytj3z42ggp14vkn39hiymt, 4xnll2f9tb69wrezm04ayg76y, 61c395xuimpxo2439p8mt3y6t, 3sehm4zmy7141wm4ecfqqoxd5, 42m78ny1ggvmzmjtka7exyzqi, 6k790p49tjwkhlwf9afll9jo5, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6, f2p5457ilcfrtzhe343whhkut",4172854529,130,4,4172854527,59,"47, 22, 6, 27, 28, 44, 16, 8, 9, 10, 45, 3, 7, 11, 13, 14, 15, 19, 20, 21, 25, 42, 64, 92",4172854533,194,1r5gn4osgwz2b2b4sefncbhed,4172854535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392263,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-08T16:31:25.975Z,2023-04-09T00:20:23Z,4173033991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392245,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-04-08T16:31:25.975Z,2023-04-08T16:31:26Z,4173033923,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392277,3,1,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,50,50.4,2023-04-08T16:31:26.025Z,2023-04-09T00:47:42Z,4173034067,212,12.2,4173034061,56,Back,4173034069,213,2.9,4173034071,279,S,4173034065,141,54.7,4174627259,178,,4173034063,140,38.7,,,,153ljvbov0n176vm9fdaizoix,A. Pinamonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392323,4,1,1,0,2,6tuibxq39fdryu8ou06wcm0q3,1,38.7,54.7,2023-04-08T16:31:28.654Z,2023-04-09T00:47:45Z,4173034295,141,10.1,4173034293,140,38.8,4173034291,56,Back,4173034297,212,30.3,4173034299,213,4.7,4174629331,178,,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392409,5,1,1,0,6,6tuibxq39fdryu8ou06wcm0q3,0,39.6,6.6,2023-04-08T16:31:32.187Z,2023-04-09T00:47:48Z,4173034733,1,,4173034727,141,5.6,4173034721,155,,4173034729,212,64.3,4174629501,178,,4173034725,140,100.0,4173034723,56,Right,4173034731,213,6.3,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392401,3,56,1,0,11,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-08T16:31:37.349Z,2023-04-09T00:47:51Z,4173034687,56,Back,,,,,,,,,,,,,,,,,,,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392415,4,5,1,0,11,ap6blbxhq9elm62vw6tutzlwg,1,-0.8,94.2,2023-04-08T16:31:37.849Z,2023-04-09T00:47:53Z,4173034751,346,,4173034749,56,Back,4173034807,233,6,,,,,,,,,,,,,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530392419,6,5,1,0,11,6tuibxq39fdryu8ou06wcm0q3,0,100.8,5.8,2023-04-08T16:31:37.849Z,2023-04-09T00:47:53Z,4173034765,56,Right,4173034767,346,,4173034825,233,4,,,,,,,,,,,,,,,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
