id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2501880921,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-01-29T10:26:17.071Z,2023-01-29T11:28:00Z,4001564855,59,"1, 2, 19, 8, 20, 46, 56, 33, 9, 90, 12, 5, 7, 10, 17, 24, 27, 28, 30, 32, 40, 77, 83",4001564861,194,e2vtm1318mm61db2wtj4m5p79,4001564857,130,8,4001564853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001684761,197,578,4001564863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001564851,30,"7kph61hobc93t2c2tl8l5j105, e2vtm1318mm61db2wtj4m5p79, 3tpmw6tlijytn0ahwztvedkut, 9sxg58hszjq17avxgumftdu22, b33rlpjo3kx4477alx82si5wq, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, 3v1fnp5e9pxfzgou5ebrgprrp, 5awkzgwwh48prwgvxwewuc5hx, 7ox43isyywsnrfcd56nm65be, eyra5urhrm92240e7qbll736d, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, ehztjmhg6fsddm1fqb00547o5, 1dwwsz1i6v8zwh802ujwf7emt, cfpaejad8i9p2r1fj0wx0g222, 17au7v1ocl4zab872g59821yi, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, fb1s5est3fuw1flrjl9isusp, 68cu39v9m8pykapkh2b97ltqt",4001564859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501881723,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-01-29T10:28:47.700Z,2023-01-29T11:32:44Z,4001568525,194,1r5gn4osgwz2b2b4sefncbhed,4001568527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001568515,30,"1r5gn4osgwz2b2b4sefncbhed, 4vis4wltntxil2m9z16mi6j8p, 37kr5th62ugmy4j55i3n45k2d, 9k1ytj3z42ggp14vkn39hiymt, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, m030tubgf3zpgf0axzm7z26t, 4qejyummzkrfllds8ord642qx, f2p5457ilcfrtzhe343whhkut, ctq9si3nbc6n8cznhlcvtixd6, 27xj7me8icr5ptta7kwx0kfs9, bqer8ajqm2vibthgumtuycbu1, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 4xnll2f9tb69wrezm04ayg76y, 6k790p49tjwkhlwf9afll9jo5, ef4thhub6bsd2gtmltknkz8b9, 9tah9hvep4bqppokmuw720qvo, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6, 83hpavqn7r5bzcgxvjbcso3px",4001568523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4001568517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4001568519,59,"47, 6, 3, 14, 28, 44, 10, 16, 92, 23, 45, 7, 8, 11, 13, 15, 25, 27, 35, 42, 64, 77",4001683305,197,11941,4001568521,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905781,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-01-29T11:31:23.157Z,2023-01-29T11:31:24Z,4001691567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905763,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-01-29T11:31:23.157Z,2023-01-29T20:58:54Z,4001691493,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905801,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,50.2,49.9,2023-01-29T11:31:23.247Z,2023-01-29T21:07:54Z,4001691691,213,3.7,4001691683,56,Back,4001691685,140,31.4,4001691687,141,30.9,4001691689,212,23.6,4001691693,279,S,4003621239,178,,,,,5awkzgwwh48prwgvxwewuc5hx,O. Giroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905809,4,1,1,0,3,9dntj5dioj5ex52yrgwzxrq9l,0,31.7,32.4,2023-01-29T11:31:26.495Z,2023-01-29T21:07:57Z,4001691735,141,74.4,4001695821,155,,4001691737,212,45.6,4001691733,140,65.6,4001691731,56,Center,4001691739,213,0.7,4003621321,178,,4001691741,1,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905845,3,61,1,0,5,6tuibxq39fdryu8ou06wcm0q3,1,37.3,18,2023-01-29T11:31:28.353Z,2023-01-29T21:08:04Z,4001691925,56,Back,4003621549,178,,,,,,,,,,,,,,,,,,,,m030tubgf3zpgf0axzm7z26t,D. Berardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905877,5,49,1,0,6,6tuibxq39fdryu8ou06wcm0q3,1,45.9,27.9,2023-01-29T11:31:29.830Z,2023-01-29T21:08:10Z,,,,,,,,,,,,,,,,,,,,,,,,,ctq9si3nbc6n8cznhlcvtixd6,H. Traorè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905849,4,43,1,0,8,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-01-29T11:31:31.284Z,2023-01-29T11:31:42Z,4001692421,144,49,,,,,,,,,,,,,,,,,,,,,,m030tubgf3zpgf0axzm7z26t,D. Berardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501905903,6,1,1,0,12,6tuibxq39fdryu8ou06wcm0q3,1,82.1,60.6,2023-01-29T11:31:35.700Z,2023-01-29T21:08:18Z,4001692231,141,66.9,4001693571,154,,4003621801,178,,4001692227,56,Center,4001693569,210,15,4001692233,212,6.5,4001692235,213,0.7,4001692229,140,86.7,ctq9si3nbc6n8cznhlcvtixd6,H. Traorè,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
