id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/18/value
2476942791,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-24T17:52:09.884Z,2022-10-24T19:24:47Z,3870401939,194,1r5gn4osgwz2b2b4sefncbhed,3870245315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870245307,30,"1r5gn4osgwz2b2b4sefncbhed, 5oge5fhmna0oduqvjisoa1djp, 83hpavqn7r5bzcgxvjbcso3px, 9k1ytj3z42ggp14vkn39hiymt, e5fnoxb8f2hycjx4gnmce2wvd, 7km4xkzmx7pytxxzcu7ugm0np, 4qejyummzkrfllds8ord642qx, cc04mat3snly9oe4bt7xaeooa, 153ljvbov0n176vm9fdaizoix, 9tah9hvep4bqppokmuw720qvo, 27xj7me8icr5ptta7kwx0kfs9, 37kr5th62ugmy4j55i3n45k2d, 4vis4wltntxil2m9z16mi6j8p, bqer8ajqm2vibthgumtuycbu1, 74o97lnqpku6m9svks66qbend, 14xoy6tg51xbydm69d5ybyfis, 4xnll2f9tb69wrezm04ayg76y, elnhkklafq2cwl0hit66b5vmy, ctq9si3nbc6n8cznhlcvtixd6, 6k790p49tjwkhlwf9afll9jo5, ef4thhub6bsd2gtmltknkz8b9, cxxxfvmrslyjyi9wz9m8kwne2, bpt2fdnjjpb6a5ehdepyedxt6",3870245313,130,4,3870245311,59,"47, 22, 77, 14, 28, 5, 16, 42, 9, 35, 45, 3, 6, 7, 8, 11, 15, 18, 23, 25, 27, 44, 64",3870245309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870245317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870401941,197,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943609,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-24T17:58:24.348Z,2022-10-24T19:49:12Z,3870250779,130,18,3870402335,197,16330,3870250775,59,"1, 5, 29, 17, 21, 6, 61, 4, 7, 9, 20, 11, 16, 18, 19, 22, 23, 24, 27, 28, 30, 32, 34, 77",3870250773,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870250789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870250771,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, 2q0bx5wsc6b68vpps79hosnah, 9mldc318nq0tli73wjh6ueket, acss55nkdwdtvt9zl6p1ry09h, 130pg17ru5fzq4igokx0k73e1, 9sjt5rv156hr2llfu241r6cph, 9l2tdbf7p325xez7wz7wzxzh1, c39nv7jn5c3qzglosgzigif2t, 4mab6p97p5t3w0fipzp22nxsl, 31b0dvddmki2b2zvumesyrx4a, e5ccnxgbz5jmqwy6fza3gdsl, 1fd1lcymbfebccx0vhgez4oyy, bsi12817nc1ul082qn48d4rft, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, m7fe173js8on94ag3htziy8l, 20f5apcbciifqyln8hp3cziwa, 3tuxipzf6pqvga0a12422gatx, ea4l6vjonhtvjmq1nyfec2fvt, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 8kdamc6zz4bskby51c59uuntg",3870250785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870336675,194,9l2tdbf7p325xez7wz7wzxzh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972317,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-24T18:46:04.770Z,2022-10-24T23:15:23Z,3870409759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972301,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-24T18:46:04.770Z,2022-10-24T18:46:04Z,3870409651,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972331,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,50.2,50,2022-10-24T18:46:04.773Z,2022-10-25T04:03:51Z,3870409827,140,42.3,3870409831,212,11.2,3870879949,178,,3870409835,279,S,3870409825,56,Back,3870409833,213,2.4,3870409829,141,61.1,,,,c39nv7jn5c3qzglosgzigif2t,S. Verdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972351,4,1,1,0,2,ap6blbxhq9elm62vw6tutzlwg,1,42.3,61.1,2022-10-24T18:46:07.199Z,2022-10-25T04:03:54Z,3870879971,178,,3870409941,212,12.7,3870409937,140,54.0,3870409939,141,56.4,3870409943,213,6.0,3870409935,56,Center,,,,,,,9l2tdbf7p325xez7wz7wzxzh1,Miguel Veloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972385,5,1,1,0,4,ap6blbxhq9elm62vw6tutzlwg,1,54.2,61.8,2022-10-24T18:46:09.677Z,2022-10-25T04:03:56Z,3870879989,178,,3870410113,56,Left,3870410125,212,25.2,3870410131,213,1.1,3870410121,141,95.6,3870410117,140,64.1,,,,,,,c39nv7jn5c3qzglosgzigif2t,S. Verdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972427,6,1,1,0,8,ap6blbxhq9elm62vw6tutzlwg,1,64.1,95.6,2022-10-24T18:46:13.117Z,2022-10-25T04:04:05Z,3870410341,56,Back,3870410347,212,19.1,3870880047,178,,3870410349,213,3.1,3870410343,140,45.9,3870410345,141,95.9,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972479,7,1,1,0,11,ap6blbxhq9elm62vw6tutzlwg,1,45.8,93.2,2022-10-24T18:46:16.419Z,2022-10-25T04:04:10Z,3870880079,178,,3870410619,212,27.2,3870410615,140,33.0,3870410613,56,Back,3870410621,213,4.2,3870410617,141,58.5,,,,,,,9mldc318nq0tli73wjh6ueket,F. Ceccherini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476972493,8,1,1,0,14,ap6blbxhq9elm62vw6tutzlwg,1,34.2,58.1,2022-10-24T18:46:19.595Z,2022-10-25T04:04:12Z,3870410717,213,1.2,3870410709,56,Back,3870410711,140,39.2,3870410713,141,81.3,3870410715,212,16.6,3870880091,178,,,,,,,,acss55nkdwdtvt9zl6p1ry09h,K. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
