id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2472424663,8,1,1,0,17,e75syeuawg3ql8nwpi3vr2btz,1,30.1,46.7,2022-10-15T18:45:20.892Z,2022-10-16T01:59:42Z,3846366587,56,Back,3846366599,213,1.2,3846366591,141,58.7,3847480469,178,,3846366589,140,32.9,3846366595,212,8.7,,,,,,,n62gu1fztuvojijr41hyetw5,M. Demiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424691,9,1,1,0,20,e75syeuawg3ql8nwpi3vr2btz,1,28.9,75.4,2022-10-15T18:45:23.996Z,2022-10-16T01:59:46Z,3846366807,56,Back,3847480503,178,,3846366817,213,1.0,3846366811,140,37.8,3846366815,212,16.6,3846366813,141,95.6,,,,,,,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424735,10,1,1,0,23,e75syeuawg3ql8nwpi3vr2btz,1,36,93.2,2022-10-15T18:45:27.067Z,2022-10-16T01:59:49Z,3846367067,140,20.7,3847480555,178,,3846367069,141,88.7,3846367073,213,3.3,3846367065,56,Back,3846367071,212,16.4,,,,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424785,11,1,1,0,26,e75syeuawg3ql8nwpi3vr2btz,0,22.6,95.4,2022-10-15T18:45:30.086Z,2022-10-16T01:59:52Z,3846367297,140,78.3,3846367301,212,58.5,3846367305,1,,3846367303,213,6.3,3847480589,178,,3846367293,155,,3846367295,56,Left,3846367299,141,95.3,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424779,4,49,1,0,32,6tuibxq39fdryu8ou06wcm0q3,1,18.7,4.6,2022-10-15T18:45:35.706Z,2022-10-16T01:59:58Z,,,,,,,,,,,,,,,,,,,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424809,5,1,1,0,32,6tuibxq39fdryu8ou06wcm0q3,0,17.6,2.8,2022-10-15T18:45:35.747Z,2022-10-16T02:00:02Z,3846367445,212,15.1,3846367443,141,0.0,3846367441,140,31.8,3846367437,157,,3846367449,1,,3846367439,56,Back,3846367447,213,6.1,3847480763,178,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424813,6,5,1,0,33,6tuibxq39fdryu8ou06wcm0q3,0,36.6,-1.2,2022-10-15T18:45:37.204Z,2022-10-16T02:00:06Z,3846367813,233,12,3846367467,347,,3846367465,56,Back,,,,,,,,,,,,,,,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424855,12,5,1,0,33,e75syeuawg3ql8nwpi3vr2btz,1,63.4,101.2,2022-10-15T18:45:37.204Z,2022-10-16T02:00:06Z,3846367725,347,,3846367797,233,6,3846367723,56,Left,,,,,,,,,,,,,,,,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424903,13,1,1,0,39,e75syeuawg3ql8nwpi3vr2btz,1,59,100,2022-10-15T18:45:43.378Z,2022-10-16T02:00:12Z,3846368043,140,45.4,3846368045,141,92.7,3846368037,107,,3846368041,56,Back,3846368047,212,15.4,3846368051,213,3.5,,,,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424959,14,1,1,0,43,e75syeuawg3ql8nwpi3vr2btz,1,44.6,91.7,2022-10-15T18:45:46.501Z,2022-10-16T02:00:15Z,3846368463,212,19.6,3846368465,213,3.9,3846368461,141,72.9,3846368459,140,30.4,3846368457,56,Back,3847481003,178,,,,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472424981,15,1,1,0,48,e75syeuawg3ql8nwpi3vr2btz,1,31,58.4,2022-10-15T18:45:51.459Z,2022-10-16T02:00:18Z,3846368575,212,12.9,3846368569,56,Back,3846368577,213,1.6,3846368573,141,77.3,3847481087,178,,3846368571,140,30.8,,,,,,,n62gu1fztuvojijr41hyetw5,M. Demiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425015,16,1,1,0,50,e75syeuawg3ql8nwpi3vr2btz,1,31.2,82.1,2022-10-15T18:45:53.484Z,2022-10-16T02:00:22Z,3846368755,213,0.7,3846368743,56,Back,3846368753,212,10.9,3846368747,140,38.8,3846368749,141,93.0,3847481175,178,,,,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425023,17,50,1,0,50,e75syeuawg3ql8nwpi3vr2btz,1,41.2,92.6,2022-10-15T18:45:54.098Z,2022-10-16T02:00:33Z,3846368853,233,7,3846368799,56,Back,3846368801,286,,,,,,,,,,,,,,,,,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425005,7,7,1,0,51,6tuibxq39fdryu8ou06wcm0q3,0,58.8,7.4,2022-10-15T18:45:54.770Z,2022-10-16T02:00:37Z,3846368719,56,Right,3846965663,383,,3847481505,178,,3846368841,233,17,3846368721,285,,,,,,,,,,,9tah9hvep4bqppokmuw720qvo,L. D'Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425027,18,61,1,0,51,e75syeuawg3ql8nwpi3vr2btz,1,39.1,92.6,2022-10-15T18:45:54.855Z,2022-10-16T02:00:42Z,3846368827,56,Back,3847481651,178,,,,,,,,,,,,,,,,,,,,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425029,8,49,1,0,52,6tuibxq39fdryu8ou06wcm0q3,1,57.9,9.2,2022-10-15T18:45:56.329Z,2022-10-16T02:00:48Z,,,,,,,,,,,,,,,,,,,,,,,,,9tah9hvep4bqppokmuw720qvo,L. D'Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425081,9,1,1,0,54,6tuibxq39fdryu8ou06wcm0q3,1,71.2,12.6,2022-10-15T18:45:57.667Z,2022-10-16T02:00:52Z,3846369123,56,Right,3846369125,140,89.3,3846369129,212,19.2,3847481859,178,,3846369127,141,16.5,3846369131,213,0.1,,,,,,,9tah9hvep4bqppokmuw720qvo,L. D'Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
