id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/15/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2469780465,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-10-09T15:13:44.538Z,2022-10-09T16:14:57Z,3832269411,194,ckzn72wo51pmw475t9tl6vr2t,3832267081,59,"97, 17, 33, 28, 15, 44, 98, 8, 90, 20, 3, 4, 5, 6, 7, 9, 10, 12, 13, 23, 32, 60, 62, 77",3832267083,130,8,3832267085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832267079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832267077,30,"6wplm29z7qxxmujyc2ml19gix, 913rgsi93o890wc2cbuwlbqp5, 1r35ds2obqkw03f7hfpfsqqui, 9qrewt049r6yq88c715ymau39, ckzn72wo51pmw475t9tl6vr2t, 3jruai7zu28e8f0ooj4t16l05, 82bv9aeqvp712ut0n0kwkpskp, 5m5qyz18o5hmta6mh4zk57sh5, 86603cyr3osksy73el0ncy7yt, 74g3ef24ctcgw1kee77d3acr8, d9bg5jjv8pz0f8u55x3hg0962, ay6tmp6zkxtjzse2gel3rgnl6, 7ojvhhfvbtbn60sc50y4l2ctm, a8ez7qv4n62b8s45pdo8u07o5, 6ldly9c02sbh2ray6u6j6jro5, 1t1kgb0r5ca32f54emsscfob9, 319knuftqo071luold2fqluqd, eu9b86opw6n66vftu1r5alfqh, g324scl7t7h6j05g973me82y, 33erk8bdhefx5xnkjad2fvy8k, bmmahw4ww36w4tokk3xhvvvmd, eu2govzm2jf93sfns50ik3e38, euv7d22ahrbpa8cs1gemtc178, 1gnc1tbpmomiqt1sty2lktt5",3832267087,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832468983,197,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469782845,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-09T15:16:23.471Z,2022-10-09T15:55:44Z,3832279897,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, 3bhy6x04rbwzk0nh1fm59dmnd, bcqutyzafpahp2ni41u2xt4gl, abq67eup8kd31w8da2i0eftgp, 9bba1hgnx5mzpkzeazsoikn9x, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, cen5nxf8sb8binjr7apt9nb2t, copo8qsmvy2fhpi1aev6f46i1, 896uaqjrz22q6fqjfzuwf77jd, cp13vthbds3tl1wtfelfx2evp, dpcws493fepch23sk26m1a8yd, 7knk2xsg4690hgq9us9us8ull, 8ud1kq9mdgukhlbda5vcn0s0l, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, 1ct0gujao4wvj1ff3aebqgqnd",3832279913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832279899,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832279903,59,"1, 22, 6, 68, 13, 3, 99, 91, 81, 21, 77, 4, 5, 7, 11, 12, 17, 18, 20, 23, 30, 31, 55, 59, 70",3832468065,197,13284,3832279909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832279911,194,5d9i8ubibyiecxecr9jjvxexh,3832279907,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469821915,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-10-09T16:00:03.883Z,2022-10-09T16:00:04Z,3832490373,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469821927,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-10-09T16:00:03.883Z,2023-02-07T15:20:31Z,3832490431,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469821975,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,49.8,50.3,2022-10-09T16:00:04.095Z,2022-10-10T00:41:47Z,3832490653,279,S,3832490647,141,52.1,3832490651,213,0.2,3832490645,140,55.0,3834248801,178,,3832490643,56,Center,3832490649,212,5.6,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469821981,4,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,55,45.1,2022-10-09T16:00:05.871Z,2022-10-10T00:41:54Z,3834249205,178,,3832490691,213,4.9,3832490689,212,25.7,3832490683,56,Right,3832490685,140,60.4,3832490687,141,8.3,,,,,,,abq67eup8kd31w8da2i0eftgp,G. Raspadori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469821997,5,1,1,0,3,gi0l1habji5hpgar77dl5jqe,0,61,11.6,2022-10-09T16:00:07.673Z,2022-10-10T00:41:59Z,3832490781,155,,3832490791,213,0.9,3834249371,178,,3832490787,141,47.6,3832490785,140,81.0,3832490793,1,,3832490783,56,Center,3832490789,212,32.3,9bba1hgnx5mzpkzeazsoikn9x,M. Politano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469822047,3,1,1,0,5,af91jdcs6x0bqkmdb78rokod2,1,22.1,39.1,2022-10-09T16:00:09.756Z,2022-10-10T00:42:03Z,3832491069,141,65.4,3832491071,212,18.9,3832491065,56,Back,3832491067,140,28.0,3832491073,213,1.2,3832491061,3,,3834249497,388,,,,,ckzn72wo51pmw475t9tl6vr2t,M. Bianchetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469822051,4,49,1,0,8,af91jdcs6x0bqkmdb78rokod2,1,27.7,65.4,2022-10-09T16:00:12.173Z,2022-10-10T00:42:08Z,,,,,,,,,,,,,,,,,,,,,,,,,1r35ds2obqkw03f7hfpfsqqui,G. Quagliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469822061,5,1,1,0,8,af91jdcs6x0bqkmdb78rokod2,1,27.7,65.4,2022-10-09T16:00:12.553Z,2022-10-10T00:42:14Z,3832491141,141,90.9,3832491137,56,Back,3832491145,213,1.2,3832491139,140,33.6,3832491143,212,18.4,3834249887,178,,3832491135,155,,,,,1r35ds2obqkw03f7hfpfsqqui,G. Quagliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
