id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2455984853,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-09-04T17:57:37.741Z,2022-09-04T18:50:32Z,3758873759,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758873761,59,"1, 2, 37, 3, 6, 23, 4, 8, 9, 21, 7, 17, 11, 14, 19, 20, 52, 59, 63, 65, 99, 60, 62",3758873757,30,"7gu0t0g8nej405k918fwsf8id, 8lgsqmwavspz4fv7t11rb6j9, 9ka7y81b5kst146mhq7mom5ed, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, c5a7z6vphv9tp9ddid5jnrnx1, 363nsa82dww242zeo09wpcslx, 93i0gcndi2m8giqqcm4knduxh, 57bin6he6kbdo2bs4i78z2k0l, 8u46wgn2upd99tmmchxuw1gbt, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, 1pkymw7biivk760rxhubin1ed, z0nxnl93yjtz8mty3qi5542x, 4cu8rbv55v6f6jiq50c4xatqs, du4ciqofpkn3nei5q3huwlnje, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, el58uxf7oaqu95yx1vbgmr7it, cfdkix38vfxiwso180akwv76c, bh9jia8qgkhpm5xn82bx0hhck",3759005671,197,8380,3758873769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758873765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758873763,130,17,3758873767,194,57bin6he6kbdo2bs4i78z2k0l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455984897,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-09-04T17:57:44.939Z,2022-09-04T19:00:41Z,3758874019,194,b881arnahhahg0iaix4mx266t,3758874015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758874013,130,12,3758874021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758874007,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, bl76cebhta912vfi9z7ky32p6, 8zyg5zuzyr6t0idi5od2ypvbp, cjm9hrspcnmjhqttuiz5fkgr9, 5152de1kfmrihdzbdotpeo8ut, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 13o5eskqs8b88yerwltk0tivp, 60no437awq8i5th7nlffh3dn9, 22pxty2g6hhtifl32avf4mxud, 6z3a27dxffwacyxof0imvcfvu, 8e4wkgb71btkez592um5vts0k, 7wjzrrcy3fp8nq6dlanfxvqhh, dfckk0xst90yjlep74tvups5x, al3t9fzj4ab55yux0zkd1jkr9, e2xiayt8k5tv4dw5hjop71fqh, ewt8nxg2m27fj0n7dr9hbul05, 3z0aknj901kdnvsp4sld6ejv8, hhv3h90gifzevkeqh97cb504",3758977823,197,8396,3758874011,59,"1, 37, 13, 18, 29, 50, 24, 5, 10, 7, 11, 2, 4, 6, 8, 9, 14, 17, 19, 20, 23, 30, 39, 99",3758874009,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004075,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-09-04T18:45:09.576Z,2022-09-05T03:11:39Z,3758987517,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004081,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-09-04T18:45:09.576Z,2022-09-04T18:45:14Z,3758987555,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004125,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,49.8,50,2022-09-04T18:45:09.648Z,2022-09-05T03:18:00Z,3760061791,178,,3758987787,213,2.9,3758987783,141,57.2,3758987785,212,22.5,3758987779,56,Back,3758987789,279,S,3758987781,140,28.9,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004133,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,29.5,55.1,2022-09-04T18:45:12.377Z,2022-09-05T03:18:04Z,3758987835,141,22.5,3758987833,140,65.7,3758987829,155,,3758987837,212,44.0,3758987839,213,5.8,3758987841,1,,3760061869,178,,3758987831,56,Center,ah0f7tonnst92d8q91j1wll62,J. Bijol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004135,5,44,1,0,5,dxq76zcvnokq07cszdx0i6kve,1,62.7,25.2,2022-09-04T18:45:15.339Z,2022-09-05T05:04:11Z,3758987933,233,3,3758987847,286,,3758987845,56,Center,,,,,,,,,,,,,,,,5152de1kfmrihdzbdotpeo8ut,I. Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004149,3,44,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,0,37.3,74.8,2022-09-04T18:45:15.340Z,2022-09-05T03:18:11Z,3758987947,233,5,3758987923,285,,3758987919,56,Back,,,,,,,,,,,,,,,,c5a7z6vphv9tp9ddid5jnrnx1,N. Matić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004177,6,1,1,0,5,dxq76zcvnokq07cszdx0i6kve,0,65.7,22.5,2022-09-04T18:45:15.387Z,2022-09-05T05:04:11Z,3758988049,140,80.1,3758988053,212,22.3,3758988045,168,,3758988055,213,5.5,3758988043,3,,3758988047,56,Right,3760062049,388,,3758988051,141,0.0,5152de1kfmrihdzbdotpeo8ut,I. Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004225,4,5,1,0,9,2tk2l9sgktwc9jhzqdd4mpdtb,1,17.6,101.5,2022-09-04T18:45:19.575Z,2022-09-05T03:18:26Z,3758988305,56,Back,3758988307,347,,3758988309,233,7,,,,,,,,,,,,,,,,c5a7z6vphv9tp9ddid5jnrnx1,N. Matić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
