id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2472852989,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-10-16T12:22:43.846Z,2022-10-16T12:58:05Z,3848644913,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, bl76cebhta912vfi9z7ky32p6, 60no437awq8i5th7nlffh3dn9, cjm9hrspcnmjhqttuiz5fkgr9, 6z3a27dxffwacyxof0imvcfvu, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 13o5eskqs8b88yerwltk0tivp, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 22pxty2g6hhtifl32avf4mxud, 8e4wkgb71btkez592um5vts0k, 7wjzrrcy3fp8nq6dlanfxvqhh, dfckk0xst90yjlep74tvups5x, al3t9fzj4ab55yux0zkd1jkr9, e2xiayt8k5tv4dw5hjop71fqh, ewt8nxg2m27fj0n7dr9hbul05, hhv3h90gifzevkeqh97cb504",3848644925,130,12,3848644929,194,b881arnahhahg0iaix4mx266t,3848644917,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848644927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848644921,59,"1, 37, 13, 18, 29, 50, 24, 6, 10, 9, 11, 2, 4, 5, 7, 8, 14, 17, 19, 20, 23, 30, 99",3848820023,197,8396,3848644931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472855967,1,34,16,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-10-16T12:26:07.716Z,2022-10-16T12:56:06Z,3848814349,197,572,3848660691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848660683,30,"8n4rruxbnzvjgdomxslnmcno5, 8w2rfa3vnu6t1a37510374nv9, a22hb1s02edsj7t38out5r3rp, 6hlutndh6zstrpi5i0u0mxyvp, 1x10v3yh4e3f1p2ndhtxcck4p, 7nwh5uoczypmuiigzi8ylsd1, dkifo6kxxxsv1hr0rzk1q8afp, 9462218yklkts6mod3cbfryz9, 5o80hrbyw554cetm1rbbns0k5, bj2ymzuyq3zxbfjs3xrt3ss7p, cfzvplhlvlfvau521u6b86xud, 71p9z7bqvgzb5t115fmos6fop, 3l76cgequy3tjhhudqnrejglx, 5e13xwlorl1gjrnjjtfnzawa1, d02p1ldr57bkxcpmq12vtvhsl, 3v6az10hxcowqkewd809cri6t, ho87m362sey4msdjp4n180oa, dteca2exact4dfn48iwxwjk6h, 6eb3jpi6t6z2ergmgzcpckdpm, 62uaf4amxdyz6j2fuvadp0no5, bpzzhdpqxmp8bef77m7pr2r4l, b62gjcajugddud630e9b7ptjp, 5gond4ss348863bc1768s4q, 7y5qwgl0xu7btfd7yxgeb2gut",3848660685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848660689,130,4,3848660687,59,"94, 29, 77, 32, 15, 13, 21, 5, 17, 7, 20, 1, 4, 6, 9, 10, 11, 16, 18, 23, 26, 31, 34, 88",3848660693,194,5o80hrbyw554cetm1rbbns0k5,3848660695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889193,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-10-16T13:00:32.897Z,2022-10-16T13:00:33Z,3848828421,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889221,2,32,1,0,0,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-10-16T13:00:32.897Z,2022-10-16T18:31:05Z,3848828539,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889253,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50,50,2022-10-16T13:00:32.946Z,2022-10-16T18:58:03Z,3848828741,56,Back,3848828751,279,S,3848828747,212,17.7,3848828749,213,3.3,3850548545,178,,3848828745,141,45.1,3848828743,140,33.4,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889317,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,33,44.3,2022-10-16T13:00:34.962Z,2022-10-16T18:58:08Z,3848829081,141,12.2,3850548739,178,,3848829077,140,36.8,3848829073,56,Back,3848829085,213,4.9,3848829083,212,22.2,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889409,5,1,1,0,5,dxq76zcvnokq07cszdx0i6kve,1,34.9,19.4,2022-10-16T13:00:37.947Z,2022-10-16T18:58:10Z,3848829631,155,,3848829645,1,,3848829643,213,1.0,3848829641,212,49.2,3848829635,56,Center,3850548879,178,,3848829637,140,62.1,3848829639,141,78.3,bl76cebhta912vfi9z7ky32p6,L. Samardžić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473237859,879,43,1,0,10,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-10-16T13:00:43.102Z,2022-10-16T21:45:35Z,3851043731,144,83,3850683177,399,486385,,,,,,,,,,,,,,,,,,,6hlutndh6zstrpi5i0u0mxyvp,D. Cataldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889447,7,3,1,0,10,dxq76zcvnokq07cszdx0i6kve,0,66.2,74.8,2022-10-16T13:00:43.861Z,2022-10-16T18:59:19Z,3848829845,286,,3848829843,56,Center,3850549409,178,,3849878761,465,,3848830159,233,4,,,,,,,,,,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889419,6,43,1,0,12,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-10-16T13:00:44.949Z,2022-10-16T13:05:24Z,3848856921,144,50,3848829795,233,3,3848829691,56,Left,3848829693,286,0,,,,,,,,,,,,,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889423,3,43,1,0,12,btcy9nra9ak4m22ovr2ia6m5v,1,0,0,2022-10-16T13:00:44.950Z,2022-10-16T13:05:25Z,3848829703,285,0,3848857019,144,7,3848856969,233,7,3848829699,56,Back,,,,,,,,,,,,,bj2ymzuyq3zxbfjs3xrt3ss7p,Felipe Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889499,4,7,1,0,12,btcy9nra9ak4m22ovr2ia6m5v,0,33.8,25.2,2022-10-16T13:00:45.342Z,2022-10-16T18:59:25Z,3850549589,389,,3848830073,285,,3849879119,383,,3848830101,233,7,3848830071,56,Back,,,,,,,,,,6hlutndh6zstrpi5i0u0mxyvp,D. Cataldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473238307,882,83,1,0,15,btcy9nra9ak4m22ovr2ia6m5v,1,37.7,25.6,2022-10-16T13:00:47.971Z,2022-10-16T19:28:45Z,3850685541,399,184289,,,,,,,,,,,,,,,,,,,,,,bj2ymzuyq3zxbfjs3xrt3ss7p,Felipe Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889511,8,1,1,0,15,dxq76zcvnokq07cszdx0i6kve,1,60.2,75.3,2022-10-16T13:00:48.020Z,2022-10-16T18:59:55Z,3848830111,212,7.5,3848830105,56,Left,3848830109,141,81.4,3848830107,140,54.3,3850550355,178,,3848830113,213,2.6,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889549,9,1,1,0,16,dxq76zcvnokq07cszdx0i6kve,1,54.3,81.4,2022-10-16T13:00:49.185Z,2022-10-16T19:00:03Z,3848830361,56,Left,3848830363,140,60.4,3848830365,141,93.9,3848830367,212,10.6,3850553963,178,,3848830369,213,0.9,,,,,,,60no437awq8i5th7nlffh3dn9,J. Makengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889583,10,1,1,0,18,dxq76zcvnokq07cszdx0i6kve,1,60.4,93.9,2022-10-16T13:00:51.844Z,2022-10-16T19:00:12Z,3848830523,213,4.8,3848830515,56,Left,3848830519,141,81.8,3848830517,140,61.1,3850554429,178,,3848830521,212,8.3,,,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889671,11,1,1,0,19,dxq76zcvnokq07cszdx0i6kve,1,61.1,81.8,2022-10-16T13:00:52.702Z,2022-10-16T19:00:20Z,3848830961,212,10.0,3848830953,56,Left,3848830959,141,91.7,3848830957,140,54.1,3848830963,213,2.4,3850555125,178,,,,,,,,60no437awq8i5th7nlffh3dn9,J. Makengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889721,12,1,1,0,25,dxq76zcvnokq07cszdx0i6kve,1,53.7,68.7,2022-10-16T13:00:58.202Z,2022-10-16T19:00:24Z,3848831277,141,36.7,3848831279,212,21.8,3848831281,213,4.8,3848831275,140,55.4,3848831273,56,Center,3850555401,178,,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889733,13,1,1,0,27,dxq76zcvnokq07cszdx0i6kve,0,58.3,43.6,2022-10-16T13:01:00.748Z,2022-10-16T19:00:28Z,3848831329,155,,3848831333,140,76.5,3848831335,141,51.2,3848831339,213,0.3,3848831337,212,19.8,3848831331,56,Center,3849882459,4,,3850555657,178,,bl76cebhta912vfi9z7ky32p6,L. Samardžić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889781,5,1,1,0,28,btcy9nra9ak4m22ovr2ia6m5v,1,24,52.6,2022-10-16T13:01:01.835Z,2022-10-16T19:00:32Z,3848831621,140,32.0,3848831631,213,5.3,3848831625,141,33.6,3850555961,388,,3848831619,56,Back,3848831617,3,,3848831629,212,15.4,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889787,6,49,1,0,31,btcy9nra9ak4m22ovr2ia6m5v,1,32,33.6,2022-10-16T13:01:04.593Z,2022-10-16T19:00:37Z,,,,,,,,,,,,,,,,,,,,,,,,,bj2ymzuyq3zxbfjs3xrt3ss7p,Felipe Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889867,7,1,1,0,34,btcy9nra9ak4m22ovr2ia6m5v,1,29.4,20.1,2022-10-16T13:01:07.513Z,2022-10-16T19:00:40Z,3848832093,213,3.5,3848832085,56,Back,3848832091,212,15.1,3848832087,140,16.1,3850556677,178,,3848832089,141,11.7,,,,,,,bj2ymzuyq3zxbfjs3xrt3ss7p,Felipe Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472889885,8,1,1,0,37,btcy9nra9ak4m22ovr2ia6m5v,1,20,8.3,2022-10-16T13:01:10.745Z,2022-10-16T19:00:44Z,3850556935,178,,3848832183,212,9.1,3848832185,213,0.8,3848832177,56,Back,3848832181,141,18.2,3848832179,140,25.9,,,,,,,8w2rfa3vnu6t1a37510374nv9,M. Lazzari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
