id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/15/value
2452616877,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-08-28T17:47:32.448Z,2022-08-28T18:43:33Z,3740936455,194,5d9i8ubibyiecxecr9jjvxexh,3740936457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740936447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740936449,59,"1, 22, 6, 99, 13, 3, 11, 68, 9, 20, 77, 70, 5, 7, 12, 17, 18, 21, 23, 30, 55, 59, 81, 91",3740936445,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 3bhy6x04rbwzk0nh1fm59dmnd, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, cen5nxf8sb8binjr7apt9nb2t, 9y8fnvazj02vy31ljx3du0d79, 1wynwp4x95o9w5tt4cdog6i1, dpcws493fepch23sk26m1a8yd, 4zy4d60v2qmaplm9xbe51y1gp, 1ct0gujao4wvj1ff3aebqgqnd, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, copo8qsmvy2fhpi1aev6f46i1, 896uaqjrz22q6fqjfzuwf77jd, cp13vthbds3tl1wtfelfx2evp, 9bba1hgnx5mzpkzeazsoikn9x, 7knk2xsg4690hgq9us9us8ull, 8ud1kq9mdgukhlbda5vcn0s0l, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, abq67eup8kd31w8da2i0eftgp, bcqutyzafpahp2ni41u2xt4gl",3740936451,130,8,3741102757,197,14196,3740936453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452619527,1,34,16,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-08-28T17:51:30.917Z,2022-08-28T18:43:48Z,3740951121,59,"95, 2, 3, 34, 4, 28, 5, 72, 7, 11, 33, 1, 8, 9, 14, 15, 16, 23, 24, 31, 38, 42, 55, 98, 99",3740951135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740951117,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740951133,194,66at96kfhvigkny465lkmrnbp,3740951125,130,4,3740951127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3741103635,197,563,3740951113,30,"u60zu48a4zqnupyxp2d0mqqd, 9e3t2wyjqzxsn690aysao8cfd, 66at96kfhvigkny465lkmrnbp, 4kfx8fzf54bli2a2o0i3fvhed, bhi4ivjgojkot4d7za72gu2nd, eq7q971ebxu7ipqbyvj5n4c15, euibd75fsyggns1w3xerzzrh1, 963czsr3yecwk4s3p1wby5x3p, 21pztrby95djexvw3m9hhzgt1, b5cqy1xamdj38bh87gvz4iac5, b7vmywgydbcs4m9pcjcoabt62, 2udciji4n7tr07ft7twe2r9w5, 6gab9bfl0kj0hy1z0u75pl42d, 4mk6bbc9a8rhtmk8f4jj6onvt, d9sakxlp96siw0z1jltszdlgp, 3jtsqwoi9w0dxxneld0mt5rs9, 476nfumr6aadvufrqk72tq5be, i4yzdkusjs6qn4v06oxj6qxh, 7358y8d8v19qn6s8h0kx7tn11, f8kcf2l4h2qzdww1vof5x9t5, dpnp9rguhhs04of6vmlw5spg5, 5bi4t2dob5mo0okdbv6sna6fo, dtuwn06lnvxugaj637i553r2t, acg898oezqn7590ue8x8aik89, 6gjn7pt0i34q45g4porckuj8p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648471,2,32,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-08-28T18:46:00.678Z,2022-08-28T23:06:49Z,3741111311,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648497,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-08-28T18:46:00.678Z,2022-08-28T18:46:02Z,3741111459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648499,3,1,1,0,0,4raiad4l2j5lkfaz92pk4osb,1,50,50,2022-08-28T18:46:00.696Z,2022-08-29T02:11:42Z,3741111503,56,Back,3742392867,178,,3741111511,213,3.3,3741111509,212,9.2,3741111505,140,41.4,3741111507,141,47.8,3741111513,279,S,,,,21pztrby95djexvw3m9hhzgt1,L. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648547,4,1,1,0,2,4raiad4l2j5lkfaz92pk4osb,1,41.8,41.8,2022-08-28T18:46:03.659Z,2022-08-29T02:23:37Z,3741111799,140,37.2,3741111805,213,4.4,3741111797,56,Back,3741111801,141,16.4,3742403899,178,,3741111803,212,17.9,,,,,,,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648621,5,1,1,0,5,4raiad4l2j5lkfaz92pk4osb,1,35.9,27.4,2022-08-28T18:46:06.337Z,2022-08-29T02:23:42Z,3741112293,141,59.6,3741112291,140,26.7,3741112295,212,23.9,3741112297,213,2.0,3741112289,56,Back,3742403973,178,,,,,,,,9e3t2wyjqzxsn690aysao8cfd,Dodô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648657,6,1,1,0,10,4raiad4l2j5lkfaz92pk4osb,1,26.2,60.2,2022-08-28T18:46:11.505Z,2022-08-29T02:23:44Z,3742404005,178,,3741112501,56,Back,3741112503,140,27.4,3741112505,141,39.2,3741112507,212,14.3,3741112511,213,4.8,,,,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648719,7,1,1,0,13,4raiad4l2j5lkfaz92pk4osb,1,27.4,41,2022-08-28T18:46:14.098Z,2022-08-29T02:23:48Z,3741112929,213,1.6,3741112925,141,68.2,3741112927,212,18.5,3742404083,178,,3741112923,140,27.2,3741112921,56,Back,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648783,8,1,1,0,17,4raiad4l2j5lkfaz92pk4osb,1,26.2,74.8,2022-08-28T18:46:17.682Z,2022-08-29T02:23:49Z,3742404121,178,,3741113381,56,Back,3741113383,140,7.4,3741113389,213,3.8,3741113385,141,54.3,3741113387,212,24.2,,,,,,,eq7q971ebxu7ipqbyvj5n4c15,L. Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648803,9,1,1,0,21,4raiad4l2j5lkfaz92pk4osb,1,9.9,50.6,2022-08-28T18:46:21.880Z,2022-08-29T02:23:52Z,3741113537,213,0.0,3741113535,212,12.5,3741113529,56,Back,3741113531,140,21.8,3741113533,141,51.3,3742404141,178,,,,,,,,u60zu48a4zqnupyxp2d0mqqd,P. Gollini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648867,10,1,1,0,23,4raiad4l2j5lkfaz92pk4osb,1,20.1,50.6,2022-08-28T18:46:24.177Z,2022-08-29T02:23:56Z,3742404217,178,,3741113941,56,Back,3741113943,140,12.4,3741113949,213,4.3,3741113947,212,20.4,3741113945,141,23.1,,,,,,,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648909,11,1,1,0,26,4raiad4l2j5lkfaz92pk4osb,1,12,23.7,2022-08-28T18:46:26.920Z,2022-08-29T02:24:02Z,3741114151,212,17.4,3742404271,178,,3741114149,141,46.7,3741114145,140,4.8,3741114155,213,2.0,3741114143,56,Back,,,,,,,bhi4ivjgojkot4d7za72gu2nd,N. Milenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648941,12,1,1,0,28,4raiad4l2j5lkfaz92pk4osb,1,5,46.7,2022-08-28T18:46:29.566Z,2022-08-29T02:24:07Z,3741114333,140,45.1,3741114341,1,,3741114329,157,,3741114331,56,Back,3742404345,178,,3741114337,212,42.1,3741114339,213,0.0,3741114335,141,46.7,u60zu48a4zqnupyxp2d0mqqd,P. Gollini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648957,13,1,1,0,31,4raiad4l2j5lkfaz92pk4osb,1,44.7,46.3,2022-08-28T18:46:31.921Z,2022-08-29T02:24:12Z,3741114461,213,3.6,3742404425,178,,3741114457,141,38.8,3741114459,212,12.6,3741114455,140,33.7,3741114453,56,Back,,,,,,,21pztrby95djexvw3m9hhzgt1,L. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648977,14,1,1,0,33,4raiad4l2j5lkfaz92pk4osb,1,33.6,38.3,2022-08-28T18:46:33.882Z,2022-08-29T02:24:15Z,3741114585,56,Back,3741114589,141,24.3,3741114587,140,35.2,3741114591,212,9.7,3742404471,178,,3741114593,213,4.9,,,,,,,963czsr3yecwk4s3p1wby5x3p,A. Barák,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452649021,15,1,1,0,34,4raiad4l2j5lkfaz92pk4osb,1,35,23.9,2022-08-28T18:46:35.433Z,2022-08-29T02:24:20Z,3741114877,213,4.9,3741114875,212,9.1,3741114867,56,Back,3741114873,141,10.7,3741114871,140,36.4,3742404511,178,,,,,,,,euibd75fsyggns1w3xerzzrh1,G. Bonaventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452902131,879,43,1,0,34,4raiad4l2j5lkfaz92pk4osb,1,0,0,2022-08-28T18:46:35.504Z,2022-08-29T04:19:56Z,3742492557,178,0,3742492567,144,82,,,,,,,,,,,,,,,,,,,9e3t2wyjqzxsn690aysao8cfd,Dodô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452649069,16,1,1,0,38,4raiad4l2j5lkfaz92pk4osb,1,41.3,9.4,2022-08-28T18:46:38.701Z,2022-08-29T02:24:22Z,3741115125,213,2.1,3742404565,178,,3741115121,141,19.1,3741115123,212,7.8,3741115119,140,37.3,3741115117,56,Back,,,,,,,9e3t2wyjqzxsn690aysao8cfd,Dodô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452649145,17,1,1,0,40,4raiad4l2j5lkfaz92pk4osb,1,37.3,24.1,2022-08-28T18:46:41.260Z,2022-08-29T02:24:26Z,3741115493,212,9.6,3741115491,141,37.4,3741115495,213,1.9,3742404623,178,,3741115487,56,Back,3741115489,140,34.3,,,,,,,euibd75fsyggns1w3xerzzrh1,G. Bonaventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452649183,18,1,1,0,44,4raiad4l2j5lkfaz92pk4osb,1,39.8,43.3,2022-08-28T18:46:44.987Z,2022-08-29T02:24:29Z,3741115725,212,19.7,3741115727,213,1.8,3741115719,56,Back,3741115723,141,71.8,3741115721,140,36.2,3742404665,178,,,,,,,,4kfx8fzf54bli2a2o0i3fvhed,S. Amrabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
