id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,keyPass
2497439169,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-01-14T18:42:25.721Z,2023-01-14T19:44:48Z,3978259349,194,4j1oq24pfi728zyl2zkpptpsl,3978259329,30,"8kttsnok9bbh7kpy3zz3j2xg5, asyzhp3qu95vmzdbau6nmoic5, 19856wqwrmzmvfw9thf0tzrv9, q6ns1fyw7w10xkkubh8etfc9, ujb2hkujcnwnyrbsgk3ilmtx, 4j1oq24pfi728zyl2zkpptpsl, ci37qg2uu0z3nppxvn0z9034l, 1xscywgyfqisqexmpfvbf9g45, a5eki9p236y4zxmp9qz202pcl, 7r2tgpdrr4v6n9d2gkzwmlazt, botfgp0oq4wqlwtcs9m90kded, 2r6hs8npijvt4wekd059t6tx, by2gxuixij1eciu56k8mb3cgl, 9qow77e16pvlb3860yjpydryt, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, ahgd3on22t4h7gg9ipnj1itw5, 1xby8xmlvh1g5j4sw2eorcl49, 6zcok1vbaitp91a9nrac20t05, 5tbrcvo8oo264o7iksi3t0opg, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a",3978410343,197,568,3978259345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978259351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978259337,59,"24, 36, 32, 95, 15, 37, 5, 22, 9, 10, 20, 2, 6, 8, 11, 12, 14, 21, 23, 31, 33, 42, 45, 46",3978259333,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978259341,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497440623,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-01-14T18:45:28.335Z,2023-01-14T19:45:03Z,3978407839,197,16329,3978267669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978267659,59,"1, 29, 3, 17, 6, 27, 14, 61, 19, 30, 8, 4, 9, 11, 20, 21, 22, 23, 24, 32, 34, 42, 70, 77",3978267663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978267665,194,bo98qzo4gu0npm4pewc25ovyt,3978267655,30,"c7fky0h6gi7wmibnv2tzf6mz9, 2q0bx5wsc6b68vpps79hosnah, 7uf7y7xa6hy3gieetcte3td2i, 9mldc318nq0tli73wjh6ueket, 130pg17ru5fzq4igokx0k73e1, 3tuxipzf6pqvga0a12422gatx, 7hwj9pf9roe74jifvuhiu6n6x, 9sjt5rv156hr2llfu241r6cph, dp1y9x5r6z1q120hj3sgyhxat, 448dubo3a0ty03v6ajxpw2k2c, bo98qzo4gu0npm4pewc25ovyt, 9l2tdbf7p325xez7wz7wzxzh1, 4mab6p97p5t3w0fipzp22nxsl, e5ccnxgbz5jmqwy6fza3gdsl, 31b0dvddmki2b2zvumesyrx4a, acss55nkdwdtvt9zl6p1ry09h, co1vwppy1870xm5iymj3wmp5h, m7fe173js8on94ag3htziy8l, 20f5apcbciifqyln8hp3cziwa, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 8o8o4rxbdhv002pj0q21l0f84, c63wujl41lbmakyxqgiahq238, 8kdamc6zz4bskby51c59uuntg",3978267657,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978267661,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465599,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-01-14T19:45:12.350Z,2023-02-10T08:24:23Z,3978410867,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465609,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-01-14T19:45:12.350Z,2023-01-14T19:45:13Z,3978410935,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465617,3,1,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,50,50,2023-01-14T19:45:12.445Z,2023-01-15T03:32:29Z,3978410945,141,46.9,3978410951,279,S,3978410943,140,48.0,3978410947,212,3.0,3978410941,56,Back,3978871593,178,,3978410949,213,3.9,,,,a5eki9p236y4zxmp9qz202pcl,E. Džeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465633,4,1,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,48,46.9,2023-01-14T19:45:13.069Z,2023-01-15T03:32:35Z,3978871731,178,,3978411005,141,51.3,3978411003,140,31.8,3978411007,212,17.3,3978411001,56,Back,3978411009,213,3.0,,,,,,,7r2tgpdrr4v6n9d2gkzwmlazt,Lautaro Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465649,5,1,1,0,4,3vo5mpj7catp66nrwwqiuhuup,1,32.1,55.2,2023-01-14T19:45:16.670Z,2023-01-15T03:32:39Z,3978411077,56,Back,3978411081,141,92.0,3978871763,178,,3978411083,212,25.0,3978411085,213,1.5,3978411079,140,32.6,,,,,,,botfgp0oq4wqlwtcs9m90kded,H. Çalhanoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465669,6,1,1,0,7,3vo5mpj7catp66nrwwqiuhuup,1,32.4,95,2023-01-14T19:45:19.495Z,2023-01-15T03:32:42Z,3978411169,140,61.1,3978411175,212,31.7,3978411173,141,80.6,3978411177,213,6.0,3978871785,178,,3978411163,155,,3978411165,56,Left,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465685,7,1,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,60.1,80,2023-01-14T19:45:22.340Z,2023-01-15T03:32:46Z,3978411231,141,34.5,3978871827,178,,3978411237,1,,3978411225,155,,3978411235,213,4.2,3978411227,56,Back,3978411233,212,34.9,3978411229,140,44.7,a5eki9p236y4zxmp9qz202pcl,E. Džeko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497465699,8,1,1,0,12,3vo5mpj7catp66nrwwqiuhuup,1,44.7,34.5,2023-01-14T19:45:25.270Z,2023-01-15T03:32:53Z,3978411311,141,33.6,3978871867,178,,3978411313,212,17.7,3978411315,213,3.2,3978411307,56,Back,3978411309,140,27.9,,,,,,,ci37qg2uu0z3nppxvn0z9034l,R. Gagliardini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
