id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2484299687,1,34,16,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-11-11T18:45:13.488Z,2022-11-11T19:47:54Z,3908904599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3909075027,197,16721,3908904601,59,"12, 17, 3, 44, 2, 4, 6, 28, 10, 77, 8, 5, 7, 9, 13, 15, 18, 19, 20, 32, 33, 45, 62, 74, 90, 98",3908904603,130,12,3908904609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908904605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908904607,194,319knuftqo071luold2fqluqd,3908904597,30,"eu9b86opw6n66vftu1r5alfqh, 913rgsi93o890wc2cbuwlbqp5, d9bg5jjv8pz0f8u55x3hg0962, 3jruai7zu28e8f0ooj4t16l05, 9ajh8tm9rl0i2sa09c9dfu0h5, ay6tmp6zkxtjzse2gel3rgnl6, a8ez7qv4n62b8s45pdo8u07o5, 9qrewt049r6yq88c715ymau39, 319knuftqo071luold2fqluqd, 1gnc1tbpmomiqt1sty2lktt5, 5m5qyz18o5hmta6mh4zk57sh5, 7ojvhhfvbtbn60sc50y4l2ctm, 6ldly9c02sbh2ray6u6j6jro5, 1t1kgb0r5ca32f54emsscfob9, g324scl7t7h6j05g973me82y, ckzn72wo51pmw475t9tl6vr2t, 86nwv5baekm00h4d3z0suwhyh, a7gi41760sk45wbkpbps3njdh, 74g3ef24ctcgw1kee77d3acr8, bmmahw4ww36w4tokk3xhvvvmd, 1r35ds2obqkw03f7hfpfsqqui, a3o9x85aooe65w5r3ibs8ltk9, euv7d22ahrbpa8cs1gemtc178, enopqyya6qq64lvliw7lw0s4q, 86603cyr3osksy73el0ncy7yt, 82bv9aeqvp712ut0n0kwkpskp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484302741,1,34,16,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-11-11T18:54:01.789Z,2022-11-11T19:40:42Z,3908920027,130,3,3909051693,197,11835,3908920025,59,"13, 24, 65, 5, 34, 4, 11, 10, 7, 9, 25, 1, 3, 6, 8, 14, 17, 18, 20, 21, 22, 28, 30, 32, 36",3908920029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908920023,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908920021,30,"h12c7ocq35slzrop3ltnrsnp, f0o0jfa9hp54otpnwe09d591, 8dgh4fzut8khpt32d6dsrljsa, 1fdgli7rrzvlhcs1exckc0r11, 54mmovmx3osoxgbloe9rzmx9l, dnk24js88d4ie661mwo7jkq95, cxjuod6b1ro67656dxwhpqqc5, 3sehm4zmy7141wm4ecfqqoxd5, ewwo2c7kw1b1okrngjl4j4dm1, c68syh6axbkqmcmvrpumqb8mi, 1lota2za1imhl3oydwa89u5l, 9jx56wcoj1htd69i749wfwkx5, an5eip4p2zmw49hh9eqksigo9, 95r0jtkw03vjohzwc8os8ielm, 2l87vg4m0glbbdvnrg4zud51x, 2hbduprkyabq8g1nhe6b4g3bp, 4az5n8aekw6ipzu7fagqhkys4, 9cy6lgb0e0cq4a7ht389qaklx, 39504a9fwi439uhqbwc809ene, 6e9fu9o226zn6jzx02jutvi3u, 4494989zl7g13nw17wan5adp1, d5m5q6dlc7vnbs634dinbsuwa, dmza22ad3iars2svmghrwhfit, d7xfjvw4kun7fx4j9ldr6cb11, 5vyszdd8h7l79tlwy40lgimfo",3908920033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908920031,194,1lota2za1imhl3oydwa89u5l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331189,2,32,1,0,0,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2022-11-11T19:46:18.406Z,2022-11-12T01:15:53Z,3909069659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331177,2,32,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-11-11T19:46:18.406Z,2022-11-11T19:46:18Z,3909069619,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331213,3,1,1,0,0,af91jdcs6x0bqkmdb78rokod2,1,49.7,49.9,2022-11-11T19:46:18.442Z,2022-11-12T01:27:40Z,3909360599,178,,3909069767,141,56.5,3909069761,56,Back,3909069769,212,12.0,3909069765,140,39.1,3909069771,213,2.8,3909069773,279,S,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331235,4,1,1,0,3,af91jdcs6x0bqkmdb78rokod2,1,41.6,59.6,2022-11-11T19:46:21.811Z,2022-11-12T01:27:53Z,3909069851,56,Back,3909069855,141,66.5,3909069853,140,37.5,3909069859,213,2.3,3909069857,212,6.4,3909360603,178,,,,,,,,5m5qyz18o5hmta6mh4zk57sh5,S. Ascacíbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331267,5,1,1,0,4,af91jdcs6x0bqkmdb78rokod2,1,38,66.3,2022-11-11T19:46:22.652Z,2022-11-12T01:27:58Z,3909070039,56,Back,3909070047,212,11.6,3909070045,141,52.8,3909070049,213,4.1,3909070043,140,31.3,3909360675,178,,,,,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331307,6,1,1,0,7,af91jdcs6x0bqkmdb78rokod2,1,30.2,52,2022-11-11T19:46:25.641Z,2022-11-12T01:28:02Z,3909070239,56,Back,3909070247,213,4.9,3909070245,212,11.8,3909070243,141,34.9,3909070241,140,32.2,3909360687,178,,,,,,,,9ajh8tm9rl0i2sa09c9dfu0h5,J. Hendry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331331,7,1,1,0,9,af91jdcs6x0bqkmdb78rokod2,1,34.6,28.4,2022-11-11T19:46:28.262Z,2022-11-12T01:28:07Z,3909070381,56,Back,3909360705,178,,3909070389,213,2.3,3909070383,140,26.8,3909070385,141,43.2,3909070387,212,13.0,,,,,,,ay6tmp6zkxtjzse2gel3rgnl6,E. Aiwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331349,8,1,1,0,12,af91jdcs6x0bqkmdb78rokod2,1,29,46.6,2022-11-11T19:46:30.849Z,2022-11-12T01:28:11Z,3909070485,56,Back,3909070489,141,76.2,3909070487,140,29.1,3909070491,212,20.1,3909070493,213,1.6,3909360719,178,,,,,,,,9ajh8tm9rl0i2sa09c9dfu0h5,J. Hendry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331377,9,1,1,0,15,af91jdcs6x0bqkmdb78rokod2,1,29.8,78.5,2022-11-11T19:46:34.006Z,2022-11-12T01:28:15Z,3909070639,56,Back,3909070647,213,4.2,3909070641,140,23.8,3909070643,141,60.7,3909070645,212,13.6,3909360745,178,,,,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331437,10,1,1,0,18,af91jdcs6x0bqkmdb78rokod2,1,25.5,57.8,2022-11-11T19:46:36.768Z,2022-11-12T01:28:19Z,3909070977,212,12.0,3909360757,178,,3909070975,141,46.1,3909070979,213,5.6,3909070973,140,34.0,3909070971,56,Back,,,,,,,9ajh8tm9rl0i2sa09c9dfu0h5,J. Hendry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331439,11,3,1,0,20,af91jdcs6x0bqkmdb78rokod2,0,41.3,30.2,2022-11-11T19:46:39.174Z,2022-11-12T01:28:33Z,3909360761,178,,3909071097,233,3,3909070985,286,,3909070983,56,Back,3909356417,464,,,,,,,,,,,5m5qyz18o5hmta6mh4zk57sh5,S. Ascacíbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331449,3,7,1,0,20,8le3orkfz6iix3jns6g9ojqjg,0,58.7,69.8,2022-11-11T19:46:39.404Z,2022-11-12T01:28:39Z,3909360811,178,,3909071037,233,11,3909071009,56,Center,3909356419,385,,3909071013,285,,,,,,,,,,,ewwo2c7kw1b1okrngjl4j4dm1,S. Lammers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484331493,12,1,1,0,23,af91jdcs6x0bqkmdb78rokod2,1,61.8,16.7,2022-11-11T19:46:41.977Z,2022-11-12T01:28:44Z,3909071271,141,10.3,3909071273,212,5.9,3909071275,213,5.5,3909071269,140,65.6,3909360861,178,,3909071267,56,Right,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
