id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/12/value,qualifier/15/value,qualifier/16/value
2469590911,1,34,16,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-10-09T12:12:58.451Z,2022-10-09T12:53:48Z,3831294649,194,rnahabpvj34tsl9q53gt2rit,3831294645,130,12,3831294641,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831294651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831294643,59,"33, 87, 30, 98, 5, 23, 18, 25, 9, 99, 16, 1, 2, 3, 6, 10, 11, 14, 20, 28, 29, 35, 39, 66, 71",3831478009,197,3166,3831294639,30,"d1e3dsz9lf7g69g2l6zfurpp1, c9shobonlrg7guoyb3iwnwdsl, etryzuxz65dmn5ewmocse66l1, 3coml6cxqa86px9up8yy3oz1m, 4u281v53ges3kimtgac0tidm2, 2mloh2yrhs60s1uwrfycc2i8l, 7pg1pu4ptby6hi0rp29hv4jxl, q281ehu1acmc9v96sv9g8bmx, 19gglji6ai70jiu7iqpkaxbyt, 240qnsj5nj6l6s3cc618691at, rnahabpvj34tsl9q53gt2rit, 68jk3onf54kl1mdfz8zuicvkl, blo3zmhar2mujyp9z7kjnsut, b0e6d3zgwzbzysmt9b2ycvf56, ezpkmoz1z08da3o3g45m12lzp, 7j0c36u6kk97eur4virjoka8l, 53dvtfms2uxd500y87x5jf2eh, bhu3hiq2ln2cso48ndqe17bvt, drljavudmjvyj9mvyzq7gz2s5, 6lev0lne8w9snmho4a6hjiifp, 3mqhkh4iz4kesvmqui3hupgmi, 91dt2qi4j797auqtkydbdlel0, 488q58xm2ahxuvpeyfpgwfklw, 4b7yhrh526hzn4vj8bh395v8q, 635lkjxjnrk1ytgjmz5qcr4a2",3831294647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469597889,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-09T12:19:30.668Z,2022-10-09T13:10:37Z,3831325967,130,17,3831325973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831325971,194,9l2tdbf7p325xez7wz7wzxzh1,3831495941,197,17194,3831325963,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831325961,30,"c7fky0h6gi7wmibnv2tzf6mz9, 2q0bx5wsc6b68vpps79hosnah, 7uf7y7xa6hy3gieetcte3td2i, 9mldc318nq0tli73wjh6ueket, acss55nkdwdtvt9zl6p1ry09h, 130pg17ru5fzq4igokx0k73e1, 9sjt5rv156hr2llfu241r6cph, 9l2tdbf7p325xez7wz7wzxzh1, 4mab6p97p5t3w0fipzp22nxsl, 2zwe056wfzof0v5jv01dv9uc5, c39nv7jn5c3qzglosgzigif2t, 68etig279gs3btjb7fv6rvfth, 1fd1lcymbfebccx0vhgez4oyy, bsi12817nc1ul082qn48d4rft, dp1y9x5r6z1q120hj3sgyhxat, 31b0dvddmki2b2zvumesyrx4a, co1vwppy1870xm5iymj3wmp5h, 20f5apcbciifqyln8hp3cziwa, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, bp1q4oept06hp1xgq7flotyzu, 8kdamc6zz4bskby51c59uuntg",3831325965,59,"1, 29, 3, 17, 21, 6, 61, 4, 9, 10, 7, 5, 16, 18, 19, 20, 22, 24, 30, 32, 34, 72, 77",3831325969,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635525,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-09T13:00:05.805Z,2022-10-09T13:00:05Z,3831502907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635541,2,32,1,0,0,49rkyo4do8uwj06geomw0xr4i,1,0,0,2022-10-09T13:00:05.805Z,2022-10-09T21:12:22Z,3831502955,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635571,3,1,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,50.1,50.3,2022-10-09T13:00:05.820Z,2022-10-09T23:57:29Z,3831503107,56,Back,3831503117,279,S,3831503115,213,3.2,3831503113,212,18.8,3834205975,178,,3831503109,140,32.2,3831503111,141,49.7,,,,9l2tdbf7p325xez7wz7wzxzh1,Miguel Veloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635597,4,1,1,0,2,ap6blbxhq9elm62vw6tutzlwg,1,32.4,46.9,2022-10-09T13:00:08.464Z,2022-10-09T23:57:33Z,3831503237,140,31.0,3834206073,178,,3831503239,141,18.5,3831503235,56,Back,3831503241,212,19.4,3831503243,213,4.6,,,,,,,acss55nkdwdtvt9zl6p1ry09h,K. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635631,5,1,1,0,5,ap6blbxhq9elm62vw6tutzlwg,1,31,18.2,2022-10-09T13:00:11.710Z,2022-10-09T23:57:36Z,3831503389,140,43.9,3831503387,56,Back,3831503395,213,6.2,3831503391,141,15.8,3834206149,178,,3831503393,212,13.6,,,,,,,130pg17ru5fzq4igokx0k73e1,I. Hien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635697,6,1,1,0,9,ap6blbxhq9elm62vw6tutzlwg,1,42.5,20.8,2022-10-09T13:00:14.941Z,2022-10-09T23:57:40Z,3831503721,212,23.6,3834206247,178,,3831503717,141,52.4,3831503715,140,33.3,3831503727,213,2.0,3831503709,56,Back,,,,,,,2zwe056wfzof0v5jv01dv9uc5,A. Hrustić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635763,7,1,1,0,13,ap6blbxhq9elm62vw6tutzlwg,1,34.5,47.9,2022-10-09T13:00:18.846Z,2022-10-09T23:57:44Z,3831503987,56,Right,3831503995,213,5.5,3831503993,212,40.0,3831503991,141,7.0,3831503997,1,,3831503989,140,61.9,3834206309,178,,,,,acss55nkdwdtvt9zl6p1ry09h,K. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635805,8,1,1,0,17,ap6blbxhq9elm62vw6tutzlwg,1,61.9,6.8,2022-10-09T13:00:23.292Z,2022-10-09T23:57:47Z,3834206375,178,,3831504185,141,17.0,3831504189,213,2.7,3831504181,56,Back,3831504183,140,48.5,3831504187,212,15.7,,,,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
