id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2506947343,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-02-12T12:55:03.919Z,2023-02-12T14:11:09Z,4028130581,59,"28, 50, 22, 30, 3, 4, 7, 20, 19, 8, 77, 1, 6, 9, 17, 21, 25, 29, 34, 99",4028130589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028130597,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028130575,30,"4hrmzpx1nt5ze55fpby71mcb9, 7ohgxs03szerp6mwiiv58ryay, a2n9op95qyb3rkye5pxqjb7bp, 5lvdnoyknuoyr6kdruposgctl, 1po7tmdv73zfjentt0p20wdlh, 6xt6fnmwrs7btha4d2t7wkktm, 1cu7fg8sf90isf9gp21e5fqh, bpfg11qh1q0zj2x6sqd3srvmx, bdb6j168crcrwje9k0titxv55, 38de1wbyp2ruksgffna791n8p, 83hpavqn7r5bzcgxvjbcso3px, 46twjsjrm4ljb7bhobbpwx5h, 6eqqtmbg35rg2stk10ic7q8k5, dccxma9p13p00n0gi1cxk1nf9, 4zn8zufrd17h9d5xl7qhahbyt, 8wh3u8b2hz7rcygnfng8khh3p, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund, a46kdc4sdf7e6520s8gm9glm2",4028344079,197,551,4028130577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028130593,194,1cu7fg8sf90isf9gp21e5fqh,4028130585,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506949657,1,34,16,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-02-12T12:58:54.267Z,2023-02-12T13:55:47Z,4028140923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028140925,194,2qdgfxqyh0bjn3alkz97py8k5,4028140915,30,"b3hr4q25jvqr7565z5ydqylt5, annamxplmbyakvo2akw63xxw5, bcqsti42fhzap385lnfe4auhh, thnje2i2s96fcbuscj57053p, erdqr6vrr5tlfypbks3og0dlh, ejgtltbsu0djglqw98gywgu6t, 79e6khfyg3rdauul0yjlixv8q, 64z85woxiowxzod5e0g0x77x1, 91sgvwun5559mwe9bszj4xql1, 2qdgfxqyh0bjn3alkz97py8k5, 6ck9f1ppvl65nui0x71q80jx1, ejmdm3h3oxr0fqubd5sbozq0a, av8588qp8e5wz3s7cg1n2qgnp, 4vonqsqrzoyye4vs6n7dud2p5, 1muwnu7rq4feejspx7no203px, 61phh511ju65h6coren0pbkd1, 9noq0ogmqc2cwj3nowoadcdlh, 721e4tx2wrwb4kd9w80fcq19l, 2zk88fh1e5js1g2jmfkrjmxka, 1b8uwkohkevu6ltjex0liklpl, duqiler25n63ksi0fxreo50mi, dq037w5t3ht5zgd75mue4p1pl, 18yip8wsirmu6s0idhvapnaad, 6jwy293owzzhldv4i9wxntjv9, ahrgnlsku8ghrj2qc0s6p1rhm",4028140919,59,"16, 2, 84, 55, 3, 4, 6, 12, 37, 32, 17, 11, 5, 7, 8, 9, 10, 19, 22, 26, 28, 47, 77, 89, 91",4028140921,130,17,4028360487,197,11814,4028140917,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028140927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001595,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-02-12T14:02:40.459Z,2023-02-12T21:37:31Z,4028384079,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001589,2,32,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,0,0,2023-02-12T14:02:40.459Z,2023-02-12T14:42:09Z,4028384053,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001645,3,1,1,0,0,67z1gqyiuzpmmb15q5fy7ntc4,1,49.9,50.3,2023-02-12T14:02:40.549Z,2023-02-12T21:42:55Z,4028384289,141,49.4,4028384291,212,15.0,4028384287,140,35.6,4028384295,279,S,4028384293,213,3.2,4029962873,178,,4028384283,56,Back,,,,2qdgfxqyh0bjn3alkz97py8k5,M. Pessina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001685,4,1,1,0,3,67z1gqyiuzpmmb15q5fy7ntc4,0,32.6,47.4,2023-02-12T14:02:43.515Z,2023-02-12T21:43:01Z,4029963189,178,,4028384481,141,73.8,4028384475,157,,4028384487,1,,4028384483,212,46.8,4028384485,213,0.4,4028384477,56,Center,4028384479,140,73.8,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001703,3,44,1,0,5,ej5er0oyngdw138yuumwqbyqt,1,28.6,27.2,2023-02-12T14:02:46.412Z,2023-02-13T00:52:32Z,4028384577,285,,4028384605,233,5,4028384575,56,Back,,,,,,,,,,,,,,,,1po7tmdv73zfjentt0p20wdlh,S. Posch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001693,5,44,1,0,5,67z1gqyiuzpmmb15q5fy7ntc4,0,71.4,72.8,2023-02-12T14:02:46.413Z,2023-02-12T21:43:10Z,4028384521,56,Center,4028384655,233,3,4028384523,286,,,,,,,,,,,,,,,,,6ck9f1ppvl65nui0x71q80jx1,G. Caprari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001731,4,1,1,0,6,ej5er0oyngdw138yuumwqbyqt,0,25.8,27.9,2023-02-12T14:02:46.468Z,2023-02-13T00:52:33Z,4028384733,213,0.2,4028384723,3,,4028384725,56,Back,4029963589,388,,4028384731,212,14.8,4028384729,141,32.8,4028384727,140,39.5,,,,1po7tmdv73zfjentt0p20wdlh,S. Posch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507001737,6,1,1,0,7,67z1gqyiuzpmmb15q5fy7ntc4,0,59.3,66.6,2023-02-12T14:02:48.168Z,2023-02-12T21:43:16Z,4028384781,212,10.8,4028384775,56,Center,4029963777,178,,4028384777,140,69.1,4028384783,213,0.3,4028384779,141,71.5,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
