id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2462162287,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-09-18T17:24:26.343Z,2022-09-18T18:46:33Z,3791704107,130,8,3791704113,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791704101,30,"3fpnfgoy4lbpapv2th6g60cet, e2vtm1318mm61db2wtj4m5p79, 3tpmw6tlijytn0ahwztvedkut, 9sxg58hszjq17avxgumftdu22, ehztjmhg6fsddm1fqb00547o5, 3sezchmdtivxl4kusvgc6j7x1, 9vnr9uog5fmggich2i4vjxwbt, cknjube5flk1r5ppqthj82c5, 5awkzgwwh48prwgvxwewuc5hx, 7ox43isyywsnrfcd56nm65be, 3v1fnp5e9pxfzgou5ebrgprrp, 7kph61hobc93t2c2tl8l5j105, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 3jln1gzc0859ymphvq83i0mp5, wr2f0yl1bf68r73hkjee2pqt, b33rlpjo3kx4477alx82si5wq, b0me6l44boibnwpbtasxoy02x, b0vrtr2ie4fyllp34g9zq1qi2, cfpaejad8i9p2r1fj0wx0g222, 17au7v1ocl4zab872g59821yi, ch5rw8dgb6wh99wyhd8o3t1pl, 72vim7cq99zdjjwivwtr773vu, enqcaecpt5hy0qv9x5pzmkjc9, 68cu39v9m8pykapkh2b97ltqt",3792003843,197,578,3791704109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791704111,194,e2vtm1318mm61db2wtj4m5p79,3791704105,59,"16, 2, 19, 8, 24, 23, 56, 4, 9, 90, 33, 1, 5, 7, 10, 14, 20, 21, 22, 28, 30, 32, 40, 46, 83",3791704103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462163665,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-09-18T17:26:12.596Z,2022-09-18T18:58:36Z,3791711731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791711719,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, 3bhy6x04rbwzk0nh1fm59dmnd, dpcws493fepch23sk26m1a8yd, abq67eup8kd31w8da2i0eftgp, 9bba1hgnx5mzpkzeazsoikn9x, 4zy4d60v2qmaplm9xbe51y1gp, 8n0c5t5wzfkoauryyzy8be0gl, 72im0m7d8rqpsclo4f5crqmsp, cen5nxf8sb8binjr7apt9nb2t, copo8qsmvy2fhpi1aev6f46i1, 896uaqjrz22q6fqjfzuwf77jd, cp13vthbds3tl1wtfelfx2evp, 7knk2xsg4690hgq9us9us8ull, 8ud1kq9mdgukhlbda5vcn0s0l, 40msbo4o5bwx0oeuz4743w161, 7kbn6vt37rfgd9yszzvx9idm2, 1ct0gujao4wvj1ff3aebqgqnd, bcqutyzafpahp2ni41u2xt4gl",3791711727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791981761,197,545,3791711723,59,"1, 22, 6, 68, 13, 3, 99, 20, 81, 21, 77, 5, 7, 11, 12, 17, 18, 23, 30, 55, 59, 70, 91",3791711725,130,4,3791711721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791711729,194,5d9i8ubibyiecxecr9jjvxexh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215671,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-09-18T18:46:55.242Z,2022-09-19T00:50:14Z,3792005007,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215665,3,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-09-18T18:46:55.242Z,2022-09-18T18:46:55Z,3792004963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215695,3,1,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,50.2,50,2022-09-18T18:46:55.252Z,2022-09-19T01:00:52Z,3792005167,212,18.0,3792974707,178,,3792005171,279,S,3792005165,141,46.6,3792005163,140,33.2,3792005169,213,3.3,3792005161,56,Back,,,,5awkzgwwh48prwgvxwewuc5hx,O. Giroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462395901,942,43,1,0,1,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-09-18T18:46:56.492Z,2022-09-19T01:27:22Z,3793023693,144,82,3793023437,178,0,,,,,,,,,,,,,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215699,4,1,1,0,1,9dntj5dioj5ex52yrgwzxrq9l,1,33.2,46.6,2022-09-18T18:46:56.607Z,2022-09-19T01:01:02Z,3792005187,213,1.5,3792005179,56,Back,3792975039,178,,3792005185,212,4.0,3792005183,141,52.5,3792005181,140,33.3,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215715,5,1,1,0,2,9dntj5dioj5ex52yrgwzxrq9l,0,33.3,52.5,2022-09-18T18:46:58.089Z,2022-09-19T01:01:05Z,3792975151,178,,3792005263,56,Center,3792005271,213,5.9,3792005265,140,77.6,3792005269,212,49.3,3792005275,1,,3792005261,155,,3792005267,141,28.3,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215725,4,1,1,0,6,gi0l1habji5hpgar77dl5jqe,0,22.9,71.4,2022-09-18T18:47:01.559Z,2022-09-19T01:01:09Z,3792975231,388,,3792005333,213,0.2,3792005327,141,75.3,3792005321,3,,3792005329,212,16.3,3792005323,56,Back,3792005325,140,38.2,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462215743,6,1,1,0,8,9dntj5dioj5ex52yrgwzxrq9l,1,64.7,24.7,2022-09-18T18:47:03.652Z,2022-09-19T01:01:17Z,3792005429,56,Right,3792005437,213,4.6,3792005435,212,11.9,3792975433,178,,3792005433,141,7.3,3792005431,140,63.5,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
