id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/13/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2461774569,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-09-18T09:49:23.541Z,2022-09-18T10:32:05Z,3789667829,194,b881arnahhahg0iaix4mx266t,3789667823,59,"1, 37, 13, 18, 29, 50, 4, 6, 10, 9, 11, 2, 5, 7, 8, 14, 17, 19, 20, 23, 24, 30, 67, 80, 99",3789667821,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789667825,130,12,3789667819,30,"93237ztqyi3r4hu3rmgzrgudx, b881arnahhahg0iaix4mx266t, c33x61zuxixolkkalsigc3q0a, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, 13o5eskqs8b88yerwltk0tivp, 60no437awq8i5th7nlffh3dn9, cjm9hrspcnmjhqttuiz5fkgr9, 6z3a27dxffwacyxof0imvcfvu, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 22pxty2g6hhtifl32avf4mxud, 8e4wkgb71btkez592um5vts0k, 7wjzrrcy3fp8nq6dlanfxvqhh, dfckk0xst90yjlep74tvups5x, al3t9fzj4ab55yux0zkd1jkr9, e2xiayt8k5tv4dw5hjop71fqh, bl76cebhta912vfi9z7ky32p6, ewt8nxg2m27fj0n7dr9hbul05, dn00381nbniepgi4qj7yjkv84, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",3789759871,197,8396,3789667827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789667831,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461774919,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-09-18T09:50:27.333Z,2022-09-18T10:28:58Z,3789669901,30,"c9lu69xk59a75bnpzgalh1kut, 2r6hs8npijvt4wekd059t6tx, asyzhp3qu95vmzdbau6nmoic5, q6ns1fyw7w10xkkubh8etfc9, ujb2hkujcnwnyrbsgk3ilmtx, 4j1oq24pfi728zyl2zkpptpsl, ahgd3on22t4h7gg9ipnj1itw5, 1xscywgyfqisqexmpfvbf9g45, 7r2tgpdrr4v6n9d2gkzwmlazt, a5eki9p236y4zxmp9qz202pcl, 3ddsnnhxo0mem95lcph71ix1x, ci37qg2uu0z3nppxvn0z9034l, by2gxuixij1eciu56k8mb3cgl, 9qow77e16pvlb3860yjpydryt, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, 8kttsnok9bbh7kpy3zz3j2xg5, 19856wqwrmzmvfw9thf0tzrv9, 6zcok1vbaitp91a9nrac20t05, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a",3789751925,197,568,3789669905,59,"1, 2, 36, 95, 15, 37, 23, 22, 10, 9, 77, 5, 6, 8, 11, 12, 14, 21, 24, 32, 33, 45, 46",3789669903,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3789669913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789669911,194,c9lu69xk59a75bnpzgalh1kut,3789669907,130,12,3789669909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792795,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2022-09-18T10:31:01.968Z,2022-09-18T17:46:37Z,3789757081,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792801,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2022-09-18T10:31:01.968Z,2022-09-18T10:31:03Z,3789757097,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792841,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,50,50,2022-09-18T10:31:01.975Z,2022-09-18T17:55:59Z,3789757273,213,3.3,3789757271,212,20.1,3789757275,279,S,3789757263,56,Back,3789757267,140,31.0,3789757269,141,46.3,3791848107,178,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792867,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,29.5,46.6,2022-09-18T10:31:04.460Z,2022-09-18T17:56:06Z,3789757401,212,18.9,3789757403,213,4.8,3789757399,141,18.9,3789757395,56,Back,3789757397,140,30.5,3791848339,178,,,,,,,,ah0f7tonnst92d8q91j1wll62,J. Bijol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792901,5,1,1,0,5,dxq76zcvnokq07cszdx0i6kve,1,34.2,13.7,2022-09-18T10:31:07.507Z,2022-09-18T17:56:10Z,3789757577,141,18.5,3789757575,140,69.6,3789757571,155,,3789757573,56,Right,3791848443,178,,3789757579,212,37.3,3789757583,1,,3789757581,213,0.1,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792923,6,1,1,0,8,dxq76zcvnokq07cszdx0i6kve,0,71.4,23.9,2022-09-18T10:31:10.356Z,2022-09-18T17:56:14Z,3791848507,388,,3789757695,213,0.1,3789757691,212,10.6,3789757689,141,24.8,3789757685,56,Center,3789757681,3,,3789757683,168,,3789757687,140,81.5,6z3a27dxffwacyxof0imvcfvu,Beto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792957,3,1,1,0,9,3vo5mpj7catp66nrwwqiuhuup,1,20.2,73.3,2022-09-18T10:31:11.897Z,2022-09-18T17:56:20Z,3791848707,178,,3789757887,3,,3789757897,213,3.9,3789757889,56,Back,3789757893,141,50.1,3789757891,140,3.8,3789757895,212,23.4,,,,q6ns1fyw7w10xkkubh8etfc9,A. Bastoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461792961,4,52,1,0,12,3vo5mpj7catp66nrwwqiuhuup,1,3.7,49.9,2022-09-18T10:31:14.744Z,2022-09-18T17:56:24Z,3790392163,377,,3791848905,178,,,,,,,,,,,,,,,,,,,,c9lu69xk59a75bnpzgalh1kut,S. Handanovič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
