id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/14/value
2533742743,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-15T15:01:38.899Z,2023-04-15T16:01:34Z,4190870767,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, 896uaqjrz22q6fqjfzuwf77jd, cv0p6dzx3res3affivdwcpolx, 2p1pns6j6id4nx3nbi7fv0wrt, 8n0c5t5wzfkoauryyzy8be0gl, 3bhy6x04rbwzk0nh1fm59dmnd, 72im0m7d8rqpsclo4f5crqmsp, abq67eup8kd31w8da2i0eftgp, 9bba1hgnx5mzpkzeazsoikn9x, cen5nxf8sb8binjr7apt9nb2t, ypfascbq81vkjbe57108cpn9, 1wynwp4x95o9w5tt4cdog6i1, copo8qsmvy2fhpi1aev6f46i1, 2kfkjjqh7vrfcfbgr4aa85dqt, jk8n72zhngmdw2ek47zx7f11, dpcws493fepch23sk26m1a8yd, 7knk2xsg4690hgq9us9us8ull, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 9y8fnvazj02vy31ljx3du0d79, 4zy4d60v2qmaplm9xbe51y1gp, u60zu48a4zqnupyxp2d0mqqd",4190870769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190870773,130,4,4191430689,197,545,4190870771,59,"1, 22, 17, 4, 3, 5, 99, 7, 81, 21, 11, 6, 9, 12, 13, 19, 20, 23, 31, 55, 68, 77, 95",4190870779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190870775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190870777,194,5d9i8ubibyiecxecr9jjvxexh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533747323,1,34,16,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-15T15:05:17.848Z,2023-04-15T15:56:37Z,4190892615,30,"c7fky0h6gi7wmibnv2tzf6mz9, 68etig279gs3btjb7fv6rvfth, 2q0bx5wsc6b68vpps79hosnah, 9mldc318nq0tli73wjh6ueket, 130pg17ru5fzq4igokx0k73e1, 3tuxipzf6pqvga0a12422gatx, 9sjt5rv156hr2llfu241r6cph, kc4qkj63uqu3wnkydxtvmwh5, g64b8x11ndowv2zj29r9i311, e5ccnxgbz5jmqwy6fza3gdsl, 83kdacraf2mcnbg038ld68ne2, c39nv7jn5c3qzglosgzigif2t, dp1y9x5r6z1q120hj3sgyhxat, co1vwppy1870xm5iymj3wmp5h, 20f5apcbciifqyln8hp3cziwa, 6mybntbgl188coqd2dl6ulhm2, a9z0jsjwfteq974bxwucvc4ix, 448dubo3a0ty03v6ajxpw2k2c, 5054kfjkrimomrhilbe5j3xbe, c2ezyc2fftje7rcm5ybbuytp1, 8o8o4rxbdhv002pj0q21l0f84, 8kdamc6zz4bskby51c59uuntg",4191408931,194,68etig279gs3btjb7fv6rvfth,4190892619,59,"1, 5, 29, 17, 6, 27, 61, 28, 33, 11, 38, 7, 19, 22, 24, 25, 26, 30, 32, 34, 42, 77",4190892617,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190892621,130,18,4191357509,197,16330,4190892625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190892623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533846995,3,43,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-15T16:00:18.455Z,2023-04-15T16:00:24Z,4191425529,56,Center,4191425531,140,50.0,4191425537,213,0,4191425535,212,0,4191425539,279,S,4191425533,141,50.0,4191425775,144,1,,,,72im0m7d8rqpsclo4f5crqmsp,E. Elmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533846965,2,32,1,0,0,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2023-04-15T16:00:33.239Z,2023-04-15T16:00:33Z,4191425367,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533846971,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-15T16:00:33.239Z,2023-04-16T00:00:45Z,4191425391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533847143,4,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,49.6,50,2023-04-15T16:00:33.276Z,2023-04-16T00:32:34Z,4191426315,212,13.7,4191426309,56,Back,4191426317,213,3.1,4191426311,140,36.6,4191426313,141,51.5,4193230585,178,,4191433019,279,S,,,,72im0m7d8rqpsclo4f5crqmsp,E. Elmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533847155,5,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,36.3,51.6,2023-04-15T16:00:34.221Z,2023-04-16T00:32:39Z,4191426403,141,51.6,4193230811,178,,4191426407,213,0,4191426399,140,37.7,4191426397,56,Back,4191426405,212,1.5,,,,,,,8n0c5t5wzfkoauryyzy8be0gl,Juan Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533847161,6,1,1,0,1,gi0l1habji5hpgar77dl5jqe,1,37.1,51.6,2023-04-15T16:00:35.232Z,2023-04-16T00:32:43Z,4191426433,56,Center,4191426441,213,6.2,4191426437,141,49.7,4193230993,178,,4191426435,140,52.7,4191426439,212,16.4,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533847179,7,1,1,0,2,gi0l1habji5hpgar77dl5jqe,1,52.7,49.7,2023-04-15T16:00:36.102Z,2023-04-16T00:32:50Z,4191426557,141,53.3,4191426559,212,3.6,4191426561,213,2.4,4191426555,140,50.2,4193231279,178,,4191426553,56,Center,,,,,,,72im0m7d8rqpsclo4f5crqmsp,E. Elmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533847183,8,1,1,0,3,gi0l1habji5hpgar77dl5jqe,0,50.6,53.1,2023-04-15T16:00:37.118Z,2023-04-16T00:32:53Z,4191426577,140,79.3,4191426575,56,Center,4191426579,141,37.3,4191426583,213,5.9,4193231383,178,,4191426581,212,32.0,4191426573,155,,,,,cv0p6dzx3res3affivdwcpolx,D. Demme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
