id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2538285941,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-23T17:49:13.587Z,2023-04-23T17:49:13Z,4214998321,194,5d9i8ubibyiecxecr9jjvxexh,4214998311,130,4,4214998315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4214998289,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, 896uaqjrz22q6fqjfzuwf77jd, 9y8fnvazj02vy31ljx3du0d79, 2p1pns6j6id4nx3nbi7fv0wrt, 8n0c5t5wzfkoauryyzy8be0gl, 3bhy6x04rbwzk0nh1fm59dmnd, bcqutyzafpahp2ni41u2xt4gl, 1wynwp4x95o9w5tt4cdog6i1, cen5nxf8sb8binjr7apt9nb2t, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 72im0m7d8rqpsclo4f5crqmsp, copo8qsmvy2fhpi1aev6f46i1, 2kfkjjqh7vrfcfbgr4aa85dqt, jk8n72zhngmdw2ek47zx7f11, dpcws493fepch23sk26m1a8yd, 7knk2xsg4690hgq9us9us8ull, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 1ct0gujao4wvj1ff3aebqgqnd, abq67eup8kd31w8da2i0eftgp, u60zu48a4zqnupyxp2d0mqqd",4214998299,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4214998305,59,"1, 22, 17, 68, 3, 5, 99, 91, 9, 11, 77, 4, 7, 12, 13, 19, 20, 23, 31, 55, 70, 81, 95",4214998327,197,545,4214998331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538288219,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-04-23T17:51:37.262Z,2023-04-23T18:47:03Z,4215010659,130,6,4215010653,30,"6ofu6yc2qwp5ii9cerdq1tk9h, pconfrmsdy9aikioqz9s9lg5, 8yv9xuzriaecvvssfm8dlmz85, ahz2npxe4geixkaz25f2pc82d, cv46mxj5i98p4hgtbomxlxs7o, bh3b7e2qzh41dltd6h2obpln9, erwh25hbq259kqdirfufnbcb8, 2nddcty9qris2mmeldon0ogd1, 35r56n0i4sbdh7n5arbt7db6d, bjob8tftnxojnytcj7juo0ga2, 555z9bynvux7oruirg67r8i51, 9pe3yqjsmcjtxdx7bdne3d4ut, d196vatyvq6ycn1q7d477d2i1, c6nl81c1q4unq5js94s6s942x, 3ua8gs8tzx1dkdi9z88kjk9nt, f482w50k80zbyb2ykh84yijf9, 2raf0uw5y2kajde0v60l4g1qt, 3nnjep6bxxb6xwhanvqvjt39x, 7glxasv2ed6ey82dknto1y66t, 8rlf5vjyddkcid5ysa3yo7hlh, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 9p621hq50jdkujzy4309sagkq, 418gw0hpjoy8dt0ywaxjgm5pm",4215010655,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4215010657,59,"1, 11, 6, 5, 15, 24, 30, 25, 14, 20, 17, 2, 3, 7, 9, 10, 12, 19, 22, 23, 32, 36, 43, 44",4215010669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4215010663,194,8yv9xuzriaecvvssfm8dlmz85,4215010665,197,71,4215010661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330643,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-04-23T18:45:26.279Z,2023-04-24T00:32:22Z,4215247057,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330647,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-23T18:45:26.279Z,2023-04-23T18:45:29Z,4215247069,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330671,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,50,50,2023-04-23T18:45:26.313Z,2023-04-24T00:44:00Z,4215247175,56,Back,4216297215,178,,4215247179,141,55.1,4215247183,213,2.9,4215247177,140,37.7,4215247185,279,S,4215247181,212,13.4,,,,35r56n0i4sbdh7n5arbt7db6d,A. Milik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330683,4,1,1,0,1,bqbbqm98ud8obe45ds9ohgyrd,1,37.4,56.1,2023-04-23T18:45:28.229Z,2023-04-24T00:44:06Z,4215247275,212,12.0,4215247271,140,35.6,4216297503,178,,4215247273,141,73.6,4215247277,213,1.7,4215247269,56,Back,,,,,,,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330711,5,1,1,0,4,bqbbqm98ud8obe45ds9ohgyrd,1,35.6,73.6,2023-04-23T18:45:30.333Z,2023-04-24T00:44:10Z,4215247447,141,97.2,4216297827,178,,4215247451,213,1.0,4215247443,56,Back,4215247449,212,18.7,4215247445,140,44.8,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330759,6,1,1,0,7,bqbbqm98ud8obe45ds9ohgyrd,1,44.2,93.9,2023-04-23T18:45:33.630Z,2023-04-24T00:44:15Z,4215247673,213,3.7,4216298079,178,,4215247665,141,83.6,4215247661,56,Back,4215247669,212,12.5,4215247663,140,34.3,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330793,7,1,1,0,11,bqbbqm98ud8obe45ds9ohgyrd,1,33,83.3,2023-04-23T18:45:37.951Z,2023-04-24T00:44:19Z,4215247783,56,Back,4215247789,212,10.6,4215247785,140,40.7,4215247791,213,5.6,4215247787,141,73.3,4216298273,178,,,,,,,,8yv9xuzriaecvvssfm8dlmz85,Danilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330815,8,1,1,0,12,bqbbqm98ud8obe45ds9ohgyrd,1,40.7,73.3,2023-04-23T18:45:38.656Z,2023-04-24T00:44:23Z,4215247935,141,49.6,4215247931,56,Back,4215247939,213,4.0,4215247933,140,28.6,4215247937,212,20.5,4216298407,178,,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330851,9,1,1,0,15,bqbbqm98ud8obe45ds9ohgyrd,1,28.6,49.6,2023-04-23T18:45:41.656Z,2023-04-24T00:44:26Z,4215248135,56,Back,4215248141,212,20.7,4215248139,141,19.2,4215248143,213,4.7,4216298587,178,,4215248137,140,28.4,,,,,,,bh3b7e2qzh41dltd6h2obpln9,D. Rugani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330881,10,1,1,0,18,bqbbqm98ud8obe45ds9ohgyrd,1,28.6,18.8,2023-04-23T18:45:45.208Z,2023-04-24T00:44:28Z,4216298729,178,,4215248283,213,4.9,4215248277,140,30.4,4215248281,212,10.2,4215248275,56,Back,4215248279,141,4.1,,,,,,,cv46mxj5i98p4hgtbomxlxs7o,F. Gatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330913,11,1,1,0,22,bqbbqm98ud8obe45ds9ohgyrd,1,26.3,5.8,2023-04-23T18:45:48.291Z,2023-04-24T00:44:32Z,4215248503,213,2.7,4215248497,140,19.9,4215248501,212,7.6,4216298841,178,,4215248495,56,Back,4215248499,141,10.9,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330931,12,1,1,0,23,bqbbqm98ud8obe45ds9ohgyrd,0,19.9,10.9,2023-04-23T18:45:49.558Z,2023-04-24T00:44:36Z,4215248587,56,Back,4215248595,213,0.4,4215248591,141,31.5,4216298983,178,,4215248593,212,33.1,4215248589,140,48.5,4215248597,1,,4215248585,155,,cv46mxj5i98p4hgtbomxlxs7o,F. Gatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330947,3,1,1,0,25,gi0l1habji5hpgar77dl5jqe,0,57.2,74.1,2023-04-23T18:45:51.618Z,2023-04-24T00:44:48Z,4215248697,212,5.3,4216299463,388,,4215248699,213,0.6,4215248693,140,61.4,4216299465,21,,4215248695,141,78.4,4215248691,56,Center,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330955,13,50,1,0,26,bqbbqm98ud8obe45ds9ohgyrd,1,38.7,19,2023-04-23T18:45:52.865Z,2023-04-24T00:44:56Z,4215248743,56,Back,4215248745,286,,4215249077,233,4,,,,,,,,,,,,,,,,erwh25hbq259kqdirfufnbcb8,M. Soulé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538331003,4,7,1,0,27,gi0l1habji5hpgar77dl5jqe,1,61.3,81,2023-04-23T18:45:53.496Z,2023-04-24T00:44:57Z,4216299843,178,,4215804265,383,,4215249005,56,Left,4215249071,233,13,4215249007,285,,,,,,,,,,,896uaqjrz22q6fqjfzuwf77jd,M. Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538331007,5,4,1,0,28,gi0l1habji5hpgar77dl5jqe,1,63.7,75.4,2023-04-23T18:45:54.403Z,2023-04-24T00:45:06Z,4215249011,56,Center,4215249013,241,,4215249081,233,14,4215249017,286,,4215249009,12,,,,,,,,,,,896uaqjrz22q6fqjfzuwf77jd,M. Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538330973,14,4,1,0,28,bqbbqm98ud8obe45ds9ohgyrd,0,36.3,24.6,2023-04-23T18:45:54.404Z,2023-04-24T00:45:06Z,4215249183,233,5,4215249043,12,,4215249045,241,,4215248841,56,Back,4215249047,285,,4216300265,178,,,,,,,,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538331125,6,1,1,0,46,gi0l1habji5hpgar77dl5jqe,1,63,70.5,2023-04-23T18:46:12.538Z,2023-04-24T00:45:09Z,4216300557,178,,4215249765,241,,4215249783,213,1.5,4215249763,5,,4215249771,140,64.0,4215249775,141,88.1,4215249779,212,12.0,4215249767,56,Left,bcqutyzafpahp2ni41u2xt4gl,T. Ndombélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538331153,7,1,1,0,48,gi0l1habji5hpgar77dl5jqe,1,63,88,2023-04-23T18:46:14.446Z,2023-04-24T00:45:12Z,4215249945,56,Back,4215249949,141,79.6,4216300671,178,,4215249951,212,19.0,4215249947,140,45.7,4215249953,213,3.4,,,,,,,896uaqjrz22q6fqjfzuwf77jd,M. Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538331213,8,1,1,0,51,gi0l1habji5hpgar77dl5jqe,1,45.3,79,2023-04-23T18:46:17.502Z,2023-04-24T00:45:14Z,4215250325,140,36.7,4215250323,56,Back,4215250329,212,21.5,4215250331,213,4.3,4216300807,178,,4215250327,141,50.3,,,,,,,8n0c5t5wzfkoauryyzy8be0gl,Juan Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
