id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,assist
2482297781,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-11-06T10:31:16.311Z,2022-11-06T11:29:57Z,3898493801,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898493807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898493799,30,"4hrmzpx1nt5ze55fpby71mcb9, bpfg11qh1q0zj2x6sqd3srvmx, 7ohgxs03szerp6mwiiv58ryay, 3l0mj1zzhytxvm9tryvqv8kix, 4gmki0xpn2e9o9p7wnm0k8p1x, 1po7tmdv73zfjentt0p20wdlh, 4zn8zufrd17h9d5xl7qhahbyt, 38de1wbyp2ruksgffna791n8p, dccxma9p13p00n0gi1cxk1nf9, bdb6j168crcrwje9k0titxv55, a46kdc4sdf7e6520s8gm9glm2, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 6eqqtmbg35rg2stk10ic7q8k5, 1cu7fg8sf90isf9gp21e5fqh, 5j7hbe94ewys7hkd04ay5bpw5, 56bidwsegakrtx3z1qbbpnc6i, 8wh3u8b2hz7rcygnfng8khh3p, a2n9op95qyb3rkye5pxqjb7bp, x8runqzjfkym8r7kdy3a8t0, 3cbwh4pfwae5xw072cy14gb85, 5lvdnoyknuoyr6kdruposgctl, d6vg86aml1ttoyks4vvvk0smh",3898493809,194,4zn8zufrd17h9d5xl7qhahbyt,3898597339,197,551,3898493805,130,17,3898493811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898493803,59,"28, 20, 50, 26, 5, 3, 17, 8, 9, 19, 99, 1, 4, 6, 7, 10, 11, 21, 22, 23, 29, 30, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482298299,1,34,16,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-11-06T10:32:20.332Z,2022-11-06T11:30:31Z,3898495603,130,17,3898598337,197,594,3898495605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898495609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898495597,30,"5syage212151fcixahbq3k8ut, f065kc6qn2cpxjxcm6i08rz3e, 866f0f7taqhae91o3cjnnx0ph, 22x1ucwwak58wi6r5x1j6ohk9, 2j09251upkf2aid3lfyyos0dl, 8z1ukxgc8mxiyw9udbpwr4ct1, cdrzpuj49ploquvdolgh5c3bp, e2oeysariwd866ksilu3t4m7e, ds0ka65ypjubtgp60kupc7dnt, 5wdqva17qr5j2kqbmfi9o91x, ebgkv548xih19m8uza7bgrvmd, 42p4op3tm9umpwxyxde5xjefp, 21p37y6mra4u9kcg35z5dm4q2, 7oz324ar8tp6nkd934y096q22, ez8vzwaf7iuiv2ceetiwg6ymt, 9ak3zczupeken1itsmkherbh1, 8vom3bt6es2kp5sdl98az6gwk, 43rid94d7jz7u5ba4xzb8bbe2, a2rjxibqk9d2yatzz2dx04nx0, 16kv5p8we3pwqpt5ktwrb7mj9, cjff8fu812lennnunqljgddnu, 1tztnrv51q99ewl193qk526z9, dnqd5s61ssjofdtgrcfiii8lw",3898495607,194,22x1ucwwak58wi6r5x1j6ohk9,3898495599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898495601,59,"32, 17, 19, 4, 3, 26, 10, 28, 11, 59, 16, 1, 2, 6, 7, 13, 14, 21, 23, 27, 36, 49, 73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321739,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2022-11-06T11:31:12.441Z,2022-11-06T19:16:43Z,3898599669,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321751,2,32,1,0,0,7gnly6999wao1xarwct4p8fe9,1,0,0,2022-11-06T11:31:12.441Z,2022-11-06T11:31:14Z,3898599709,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321757,3,1,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,50,50,2022-11-06T11:31:12.597Z,2022-11-06T19:21:17Z,3900778065,178,,3898599741,213,3.1,3898599735,140,35.2,3898599733,56,Back,3898599737,141,50.9,3898599739,212,15.6,3898599743,279,S,,,,38de1wbyp2ruksgffna791n8p,N. Domínguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321805,4,1,1,0,1,ej5er0oyngdw138yuumwqbyqt,1,35.2,50.9,2022-11-06T11:31:14.415Z,2022-11-06T19:21:20Z,3898599937,140,34.5,3898599945,212,17.1,3898599935,56,Back,3900778359,178,,3898599941,141,25.8,3898599951,213,4.7,,,,,,,4zn8zufrd17h9d5xl7qhahbyt,G. Medel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321831,5,1,1,0,8,ej5er0oyngdw138yuumwqbyqt,1,53.4,16.1,2022-11-06T11:31:20.991Z,2022-11-06T19:21:23Z,3898600061,56,Center,3898600071,213,0.5,3900778695,178,,3898600059,155,,3898600067,141,35.8,3898600069,212,26.8,3898600065,140,75.5,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321853,6,1,1,0,10,ej5er0oyngdw138yuumwqbyqt,1,75.5,35.1,2022-11-06T11:31:23.342Z,2022-11-06T19:21:26Z,3898600179,56,Center,3898600187,213,2.9,3898600181,140,63.4,3898600185,212,13.0,3898600183,141,38.9,3900778947,178,,,,,,,,dccxma9p13p00n0gi1cxk1nf9,M. Arnautović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321875,7,1,1,0,12,ej5er0oyngdw138yuumwqbyqt,1,63.4,38.9,2022-11-06T11:31:25.223Z,2022-11-06T19:21:28Z,3898600299,212,27.1,3898600297,141,74.5,3898600303,213,1.1,3898600291,56,Center,3900779081,178,,3898600293,140,75.1,,,,,,,4zn8zufrd17h9d5xl7qhahbyt,G. Medel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482321897,8,1,1,0,16,ej5er0oyngdw138yuumwqbyqt,1,75.1,74.4,2022-11-06T11:31:28.756Z,2022-11-06T19:21:42Z,3900779295,178,,3898600411,212,29.0,3898600409,141,48.5,3899627281,223,,3898601183,154,,3898600401,2,,3898600403,155,,3898601181,210,15,a46kdc4sdf7e6520s8gm9glm2,M. Barrow,1,3899627283,20,3898600405,56,Center,3898600407,140,97.0,3898600413,213,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
