id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2530213903,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-04-08T13:28:45.284Z,2023-04-08T14:34:21Z,4172132349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172427721,197,548,4172132347,194,9q01y4w4dwpaqf8lmpv9wnmc5,4172132343,130,18,4172132337,30,"7drgir9lcwfst8vxz07jboe6t, 6lfje6glfgycun47flgmc9jvt, a69r2pf2w8da4dl0zl4k5vil1, 4cejhrr3ji36591xf54jue3ca, 45ubqc5i6yn2l5kdtlt8tbw7p, 2idy9ngk2rojseoxxw9n98c7p, 9q01y4w4dwpaqf8lmpv9wnmc5, 4aqkgskbra4wsoo7a8uw7xl9l, 2fsgc0b4mvwpenawmit0q0bmd, d364lpc0km51psy3zwc4a6zca, 8d04q3yp2kouwog0lj0s7ew2x, e5nv028chtw0955vhnh74ukbu, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, n62gu1fztuvojijr41hyetw5, 9sdrd6flk2jene11v193nm1n9, 3ww5879aay1xf2a20nl9ihwid, 30gsjr0xlmjulnz227zfxga8l, 30oup47g0i12cvub12r7kmxd6",4172132345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4172132339,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4172132341,59,"1, 3, 77, 42, 6, 19, 15, 13, 88, 17, 11, 5, 9, 10, 28, 31, 57, 91, 93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214655,1,34,16,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-04-08T13:30:08.888Z,2023-04-08T14:44:49Z,4172136487,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172439485,197,17289,4172136495,194,8wh3u8b2hz7rcygnfng8khh3p,4172136491,130,7,4172136493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172136489,59,"28, 3, 77, 30, 5, 26, 21, 19, 10, 6, 99, 1, 4, 7, 8, 11, 14, 17, 20, 22, 25, 29, 34",4172136497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172136485,30,"4hrmzpx1nt5ze55fpby71mcb9, 1po7tmdv73zfjentt0p20wdlh, 83hpavqn7r5bzcgxvjbcso3px, 5lvdnoyknuoyr6kdruposgctl, 4gmki0xpn2e9o9p7wnm0k8p1x, 3l0mj1zzhytxvm9tryvqv8kix, 8wh3u8b2hz7rcygnfng8khh3p, bdb6j168crcrwje9k0titxv55, 5j7hbe94ewys7hkd04ay5bpw5, 6eqqtmbg35rg2stk10ic7q8k5, a46kdc4sdf7e6520s8gm9glm2, 46twjsjrm4ljb7bhobbpwx5h, 6xt6fnmwrs7btha4d2t7wkktm, 1cu7fg8sf90isf9gp21e5fqh, 38de1wbyp2ruksgffna791n8p, 56bidwsegakrtx3z1qbbpnc6i, 7e11kdi7wh9tleor9w5o2fdn9, 4zn8zufrd17h9d5xl7qhahbyt, bpfg11qh1q0zj2x6sqd3srvmx, a2n9op95qyb3rkye5pxqjb7bp, 2yijk5l991mdyjprmuudq7qzu, 3cbwh4pfwae5xw072cy14gb85, 9m6yva52cmdq7uu31qrwdrund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277089,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2023-04-08T14:31:31.484Z,2023-04-08T20:49:49Z,4172445107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277121,2,32,1,0,0,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-04-08T14:31:31.484Z,2023-04-08T14:31:32Z,4172445281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277161,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50,50,2023-04-08T14:31:31.535Z,2023-04-08T20:56:05Z,4172445533,56,Back,4172445535,140,37.4,4172445541,213,2.9,4172445545,279,S,4172445539,212,13.5,4172445537,141,54.2,4174124243,178,,,,,8d04q3yp2kouwog0lj0s7ew2x,A. Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277191,4,1,1,0,2,e75syeuawg3ql8nwpi3vr2btz,0,35.7,51.9,2023-04-08T14:31:34.013Z,2023-04-08T20:56:11Z,4172445727,56,Right,4172445737,1,,4172445729,140,67.9,4172445725,155,,4172445733,212,40.2,4172445731,141,19.8,4174124517,178,,4172445735,213,5.7,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277199,3,1,1,0,5,ej5er0oyngdw138yuumwqbyqt,0,29.3,90.8,2023-04-08T14:31:36.812Z,2023-04-08T20:56:18Z,4172445763,56,Back,4172445765,140,38.6,4174124765,178,,4172445761,3,,4172445769,212,9.8,4172445767,141,89.0,4172445771,213,6.2,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277219,5,1,1,0,6,e75syeuawg3ql8nwpi3vr2btz,0,63.5,17,2023-04-08T14:31:37.751Z,2023-04-08T20:56:22Z,4172445883,56,Center,4172445881,3,,4174124937,388,,4172445885,140,73.1,4172445889,212,14.8,4172445891,213,0.8,4172445887,141,33.0,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277237,4,1,1,0,7,ej5er0oyngdw138yuumwqbyqt,0,32.9,73.8,2023-04-08T14:31:39.015Z,2023-04-08T20:56:26Z,4172445991,56,Back,4172445995,141,79.5,4172445989,3,,4172445993,140,38.1,4172445997,212,6.7,4174125071,388,,4172445999,213,0.6,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530277283,6,1,1,0,9,e75syeuawg3ql8nwpi3vr2btz,1,63.7,27.1,2023-04-08T14:31:40.878Z,2023-04-08T20:56:34Z,4172446217,3,,4172446223,141,35.1,4172446225,212,5.5,4172446221,140,64.3,4172446219,56,Center,4174125263,178,,4172446227,213,1.5,,,,6lfje6glfgycun47flgmc9jvt,J. Mæhle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530609281,1174,67,1,0,10,e75syeuawg3ql8nwpi3vr2btz,1,58.9,31,2023-04-08T14:31:41.882Z,2023-04-08T21:46:26Z,4174192309,233,1180,,,,,,,,,,,,,,,,,,,,,,4aqkgskbra4wsoo7a8uw7xl9l,Éderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530609277,1180,67,1,0,10,ej5er0oyngdw138yuumwqbyqt,0,41.1,69,2023-04-08T14:31:41.883Z,2023-04-08T21:39:28Z,4174192335,233,1174,,,,,,,,,,,,,,,,,,,,,,bdb6j168crcrwje9k0titxv55,L. Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
