id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2469637231,4,1,1,0,15,67z1gqyiuzpmmb15q5fy7ntc4,1,3.8,54,2022-10-09T13:01:34.736Z,2022-10-09T23:07:24Z,3831511261,237,,3831511255,212,18.2,3831511253,141,28.7,3831511247,124,,3831511251,140,9.5,3831511257,213,5.0,3831511249,56,Back,,,,b3hr4q25jvqr7565z5ydqylt5,M. Di Gregorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637315,5,1,1,0,19,67z1gqyiuzpmmb15q5fy7ntc4,1,10.1,28.1,2022-10-09T13:01:39.433Z,2022-10-09T23:07:27Z,3834129537,178,,3831511655,141,51.0,3831511659,213,1.9,3831511651,56,Back,3831511653,140,5.0,3831511657,212,16.5,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637347,6,1,1,0,21,67z1gqyiuzpmmb15q5fy7ntc4,1,5.1,51,2022-10-09T13:01:41.617Z,2022-10-09T23:07:31Z,3831511793,141,88.1,3831511791,140,11.6,3831511795,212,26.1,3831511789,56,Back,3831511797,213,1.3,3834129771,178,,,,,,,,b3hr4q25jvqr7565z5ydqylt5,M. Di Gregorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637377,7,1,1,0,24,67z1gqyiuzpmmb15q5fy7ntc4,1,11.6,88.1,2022-10-09T13:01:43.875Z,2022-10-09T23:07:35Z,3834129909,178,,3831511969,56,Back,3831511979,212,13.9,3831511975,141,92.7,3831511981,213,0.2,3831511971,140,24.5,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637479,8,1,1,0,25,67z1gqyiuzpmmb15q5fy7ntc4,1,24.1,92.6,2022-10-09T13:01:44.777Z,2022-10-09T23:07:39Z,3831512451,213,5.6,3831512447,212,20.8,3831512445,141,72.2,3834130089,178,,3831512441,56,Back,3831512443,140,38.9,,,,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637507,9,1,1,0,29,67z1gqyiuzpmmb15q5fy7ntc4,1,35.8,75.4,2022-10-09T13:01:49.256Z,2022-10-09T23:07:57Z,3834130863,178,,3831512577,141,64.8,3831512573,56,Back,3831512581,213,5.3,3831512579,212,8.5,3831512575,140,40.0,,,,,,,61phh511ju65h6coren0pbkd1,C. Gytkjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637619,10,1,1,0,31,67z1gqyiuzpmmb15q5fy7ntc4,1,40,64.8,2022-10-09T13:01:50.763Z,2022-10-09T23:08:02Z,3831513069,56,Back,3831513077,213,1.1,3831513071,140,42.1,3834131051,178,,3831513073,141,71.6,3831513075,212,5.1,,,,,,,2qdgfxqyh0bjn3alkz97py8k5,M. Pessina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637625,11,4,1,0,33,67z1gqyiuzpmmb15q5fy7ntc4,1,43.4,77,2022-10-09T13:01:52.956Z,2022-10-09T23:08:05Z,3831513097,13,,3831513099,56,Back,3831513271,233,7,3831513101,152,,3831513103,265,,3831513105,286,,,,,,,,61phh511ju65h6coren0pbkd1,C. Gytkjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637653,7,4,1,0,33,4klvxyeh3xcus4ongu7c00mgc,0,56.6,23,2022-10-09T13:01:52.957Z,2022-10-09T23:08:05Z,3831513307,233,11,3831513245,285,,3831513239,56,Center,3831513241,152,,3831513243,265,,3834131229,178,,3831513237,13,,,,,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637885,12,1,1,0,43,67z1gqyiuzpmmb15q5fy7ntc4,1,42.4,67.4,2022-10-09T13:02:03.084Z,2022-10-09T23:08:12Z,3831514319,140,48.3,3831514313,152,,3831514317,56,Back,3831514309,5,,3831514323,212,10.4,3831514321,141,79.6,3831514325,213,0.9,3834131463,178,,79e6khfyg3rdauul0yjlixv8q,N. Rovella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637909,13,1,1,0,44,67z1gqyiuzpmmb15q5fy7ntc4,1,48.8,81.2,2022-10-09T13:02:03.937Z,2022-10-09T23:08:14Z,3834131583,178,,3831514387,212,10.2,3831514383,140,39.1,3831514385,141,80.1,3831514389,213,3.2,3831514379,56,Back,,,,,,,64z85woxiowxzod5e0g0x77x1,S. Sensi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637967,14,1,1,0,46,67z1gqyiuzpmmb15q5fy7ntc4,1,39.3,80.1,2022-10-09T13:02:06.600Z,2022-10-09T23:08:18Z,3831514671,140,42.4,3831514681,213,5.4,3831514679,212,5.4,3831514675,141,73.8,3834131759,178,,3831514667,56,Back,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638023,15,1,1,0,51,67z1gqyiuzpmmb15q5fy7ntc4,1,41.3,72.6,2022-10-09T13:02:10.777Z,2022-10-09T23:08:21Z,3831514953,56,Back,3831514963,212,19.4,3834131871,178,,3831514955,140,29.3,3831514959,141,51.0,3831514967,213,4.0,,,,,,,79e6khfyg3rdauul0yjlixv8q,N. Rovella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638145,16,1,1,0,58,67z1gqyiuzpmmb15q5fy7ntc4,1,29.6,42.8,2022-10-09T13:02:17.808Z,2022-10-09T23:08:25Z,3831515537,212,11.5,3834131993,178,,3831515535,141,32.3,3831515539,213,5.6,3831515533,140,38.2,3831515531,56,Back,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470121773,863,83,1,0,59,4klvxyeh3xcus4ongu7c00mgc,1,62.9,65.9,2022-10-09T13:02:19.284Z,2022-10-09T23:38:56Z,3834175527,399,450024,,,,,,,,,,,,,,,,,,,,,,1s7qbrynbcv9uw9r5f29oyc5,V. Kovalenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638205,17,1,1,1,0,67z1gqyiuzpmmb15q5fy7ntc4,1,38.2,32.3,2022-10-09T13:02:20.382Z,2022-10-09T23:08:30Z,3831515879,56,Back,3831515889,212,15.9,3831515883,140,32.9,3831515887,141,10.4,3831515891,213,4.4,3834132203,178,,,,,,,,79e6khfyg3rdauul0yjlixv8q,N. Rovella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638269,18,1,1,1,3,67z1gqyiuzpmmb15q5fy7ntc4,1,33.6,12.1,2022-10-09T13:02:23.606Z,2022-10-09T23:08:33Z,3831516327,140,27.3,3834132381,178,,3831516323,56,Back,3831516331,141,35.0,3831516339,213,2.0,3831516335,212,16.9,,,,,,,thnje2i2s96fcbuscj57053p,A. Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638303,19,1,1,1,8,67z1gqyiuzpmmb15q5fy7ntc4,1,27.3,43.9,2022-10-09T13:02:28.480Z,2022-10-09T23:08:37Z,3831516503,1,,3831516501,213,1.3,3831516493,56,Back,3831516499,212,35.2,3831516495,140,35.6,3834132537,178,,3831516497,141,94.1,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638355,20,1,1,1,12,67z1gqyiuzpmmb15q5fy7ntc4,1,36.7,92.1,2022-10-09T13:02:31.767Z,2022-10-09T23:08:39Z,3831516801,140,52.8,3831516803,141,95.7,3834132637,178,,3831516805,212,17.1,3831516799,56,Left,3831516807,213,0.1,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638489,21,1,1,1,13,67z1gqyiuzpmmb15q5fy7ntc4,1,52.6,95.7,2022-10-09T13:02:33.560Z,2022-10-09T23:08:42Z,3831517389,140,64.9,3831517395,213,5.3,3831517391,141,65.4,3834132797,178,,3831517387,56,Center,3831517393,212,24.3,,,,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638503,22,50,1,1,16,67z1gqyiuzpmmb15q5fy7ntc4,1,62.4,67.2,2022-10-09T13:02:36.303Z,2022-10-09T23:40:33Z,3831517623,233,8,3831517449,56,Center,3831517451,286,,,,,,,,,,,,,,,,,61phh511ju65h6coren0pbkd1,C. Gytkjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638431,8,7,1,1,16,4klvxyeh3xcus4ongu7c00mgc,0,37.6,32.8,2022-10-09T13:02:36.720Z,2022-10-09T23:40:44Z,3834133197,178,,3831517133,285,,3832973015,384,,3831517565,233,22,3831517129,56,Back,,,,,,,,,,1s7qbrynbcv9uw9r5f29oyc5,V. Kovalenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638517,23,61,1,1,17,67z1gqyiuzpmmb15q5fy7ntc4,1,64.7,63.3,2022-10-09T13:02:36.977Z,2022-10-09T23:40:50Z,3831517523,56,Center,3834133387,178,,,,,,,,,,,,,,,,,,,,61phh511ju65h6coren0pbkd1,C. Gytkjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638495,9,1,1,1,18,4klvxyeh3xcus4ongu7c00mgc,1,37.9,33.2,2022-10-09T13:02:38.010Z,2022-10-09T23:09:22Z,3831517417,56,Back,3831518717,140,32.5,3831518727,212,6.9,3831518729,213,3.7,3834133795,178,,3831518721,141,27.4,,,,,,,1s7qbrynbcv9uw9r5f29oyc5,V. Kovalenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638515,10,49,1,1,19,4klvxyeh3xcus4ongu7c00mgc,1,32.2,26.7,2022-10-09T13:02:38.758Z,2022-10-09T23:09:25Z,,,,,,,,,,,,,,,,,,,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
