id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2522676219,1,34,16,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-03-19T18:51:03.740Z,2023-03-19T19:58:39Z,4111303817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111303805,30,"8kttsnok9bbh7kpy3zz3j2xg5, 2r6hs8npijvt4wekd059t6tx, 19856wqwrmzmvfw9thf0tzrv9, ujb2hkujcnwnyrbsgk3ilmtx, by2gxuixij1eciu56k8mb3cgl, asyzhp3qu95vmzdbau6nmoic5, ahgd3on22t4h7gg9ipnj1itw5, botfgp0oq4wqlwtcs9m90kded, 8qgbxff7xlg0zjtyees7ljljp, 7r2tgpdrr4v6n9d2gkzwmlazt, 3ddsnnhxo0mem95lcph71ix1x, c9lu69xk59a75bnpzgalh1kut, ci37qg2uu0z3nppxvn0z9034l, a5eki9p236y4zxmp9qz202pcl, 6d7rip50yu2j7vyk76zokeehh, aripnzu9yo2wlr8ud93ufdhih, can2l9ha4ufsxdjxdkb739fkk, 84so0uovope0pkt6cz2iisbth, 1xscywgyfqisqexmpfvbf9g45, 6zcok1vbaitp91a9nrac20t05, 6vz9qzgtbh3iqzv73xw2xaiok, 7agtkarul2qlsc20avvj45w8a, 99gk3o7eh6m02n9ggj3ixprvu",4111303811,130,12,4111303815,194,3ddsnnhxo0mem95lcph71ix1x,4111303807,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111303813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111500455,197,568,4111303809,59,"24, 2, 32, 15, 6, 36, 23, 20, 90, 10, 77, 1, 5, 9, 11, 12, 14, 21, 22, 33, 45, 46, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522676525,1,34,16,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-03-19T18:51:33.271Z,2023-03-19T19:48:26Z,4111454493,197,71,4111305425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111305409,30,"6ofu6yc2qwp5ii9cerdq1tk9h, 9pe3yqjsmcjtxdx7bdne3d4ut, 555z9bynvux7oruirg67r8i51, 8yv9xuzriaecvvssfm8dlmz85, d196vatyvq6ycn1q7d477d2i1, cv46mxj5i98p4hgtbomxlxs7o, 418gw0hpjoy8dt0ywaxjgm5pm, 2nddcty9qris2mmeldon0ogd1, 3ua8gs8tzx1dkdi9z88kjk9nt, erwh25hbq259kqdirfufnbcb8, ahz2npxe4geixkaz25f2pc82d, c6nl81c1q4unq5js94s6s942x, pconfrmsdy9aikioqz9s9lg5, 3nnjep6bxxb6xwhanvqvjt39x, 7glxasv2ed6ey82dknto1y66t, 8rlf5vjyddkcid5ysa3yo7hlh, bh3b7e2qzh41dltd6h2obpln9, apdtqouzo9b02ozdxk8mx4zbp, 3o573dblmfc1o3wkkt2nva8k5, 12pzr85vlocnpj1ur5ga3z5nu, 9p621hq50jdkujzy4309sagkq, 5f5e6wufz0x041bvqzor10k16",4111305423,194,8yv9xuzriaecvvssfm8dlmz85,4111305413,59,"1, 2, 17, 6, 3, 15, 44, 25, 9, 30, 5, 7, 11, 19, 22, 23, 24, 32, 36, 39, 43, 45",4111305415,130,16,4111305417,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111305411,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704425,2,32,1,0,0,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-03-19T19:46:06.049Z,2023-03-20T00:22:00Z,4111464879,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704403,2,32,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-03-19T19:46:06.049Z,2023-03-19T19:46:06Z,4111464737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704435,3,1,1,0,0,bqbbqm98ud8obe45ds9ohgyrd,1,49.9,50,2023-03-19T19:46:06.074Z,2023-03-20T00:46:10Z,4111464957,279,S,4111464951,212,14.1,4111464945,56,Back,4111464947,140,36.5,4112017521,178,,4111464955,213,3.2,4111464949,141,49.5,,,,3ua8gs8tzx1dkdi9z88kjk9nt,D. Vlahović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704465,4,1,1,0,2,bqbbqm98ud8obe45ds9ohgyrd,1,36.6,51.2,2023-03-19T19:46:08.622Z,2023-03-20T00:46:13Z,4111465095,140,47.8,4111465093,56,Back,4111465097,141,94.3,4112017573,178,,4111465099,212,31.6,4111465101,213,1.2,,,,,,,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704515,5,1,1,0,6,bqbbqm98ud8obe45ds9ohgyrd,1,46.6,94,2023-03-19T19:46:12.117Z,2023-03-20T00:46:16Z,4111465321,140,28.9,4111465327,213,3.9,4111465319,56,Back,4111465323,141,67.1,4111465325,212,26.1,4112017643,178,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704547,6,1,1,0,9,bqbbqm98ud8obe45ds9ohgyrd,1,27.6,63.1,2023-03-19T19:46:15.598Z,2023-03-20T00:46:18Z,4111465549,213,4.4,4112017705,178,,4111465547,212,26.2,4111465541,56,Back,4111465543,140,20.3,4111465545,141,26.3,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704587,7,1,1,0,12,bqbbqm98ud8obe45ds9ohgyrd,1,19.9,23.8,2023-03-19T19:46:18.866Z,2023-03-20T00:46:21Z,4111465769,213,5.2,4111465763,140,26.3,4112017749,178,,4111465765,141,3.6,4111465761,56,Back,4111465767,212,15.3,,,,,,,cv46mxj5i98p4hgtbomxlxs7o,F. Gatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522704631,8,1,1,0,16,bqbbqm98ud8obe45ds9ohgyrd,0,27.8,8.5,2023-03-19T19:46:22.176Z,2023-03-20T00:46:24Z,4111466067,140,47.6,4111466073,213,0.3,4111466071,212,21.5,4111466065,56,Back,4111466063,155,,4111466069,141,16.7,4112017833,178,,,,,9pe3yqjsmcjtxdx7bdne3d4ut,M. De Sciglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
