id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,keyPass,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2506885755,1,34,16,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-02-12T10:29:36.394Z,2023-02-12T11:26:23Z,4027810941,130,16,4027810937,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027887375,197,8396,4027810943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027810939,59,"1, 19, 13, 18, 29, 50, 24, 4, 9, 37, 11, 2, 3, 5, 7, 14, 15, 20, 23, 26, 30, 80, 99",4027810935,30,"93237ztqyi3r4hu3rmgzrgudx, dfckk0xst90yjlep74tvups5x, c33x61zuxixolkkalsigc3q0a, 4h1jj93i0v1pfemnjydnoc0dl, ah0f7tonnst92d8q91j1wll62, dkx1rfzizskaplpex70i3q0o9, bl76cebhta912vfi9z7ky32p6, 13o5eskqs8b88yerwltk0tivp, 6z3a27dxffwacyxof0imvcfvu, b881arnahhahg0iaix4mx266t, 18jovwk0ysx6ajb8y75179j9x, 96d5il3afakek9qvsbtldu162, 6gzi8qf8szxn99dnwh3h6gkb9, 8zyg5zuzyr6t0idi5od2ypvbp, 5152de1kfmrihdzbdotpeo8ut, 8e4wkgb71btkez592um5vts0k, ar0g6o07dm7nwcf2dyzux8ay2, al3t9fzj4ab55yux0zkd1jkr9, e2xiayt8k5tv4dw5hjop71fqh, 8shwa0k28rt5duyrhuqza1hhx, ewt8nxg2m27fj0n7dr9hbul05, bf4gvp8pzp50lhtb2fc35zeok, hhv3h90gifzevkeqh97cb504",4027810947,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027810945,194,dkx1rfzizskaplpex70i3q0o9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506888211,1,34,16,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-02-12T10:39:13.954Z,2023-02-12T11:31:52Z,4027820457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4027820445,30,"1r5gn4osgwz2b2b4sefncbhed, 42m78ny1ggvmzmjtka7exyzqi, 37kr5th62ugmy4j55i3n45k2d, 9k1ytj3z42ggp14vkn39hiymt, e5fnoxb8f2hycjx4gnmce2wvd, cxxxfvmrslyjyi9wz9m8kwne2, 4qejyummzkrfllds8ord642qx, bqer8ajqm2vibthgumtuycbu1, f2p5457ilcfrtzhe343whhkut, m030tubgf3zpgf0axzm7z26t, 27xj7me8icr5ptta7kwx0kfs9, 74o97lnqpku6m9svks66qbend, 153ljvbov0n176vm9fdaizoix, 14xoy6tg51xbydm69d5ybyfis, 9rzl0j9m9i30a62o1yofzvaad, 4xnll2f9tb69wrezm04ayg76y, 3sehm4zmy7141wm4ecfqqoxd5, 6k790p49tjwkhlwf9afll9jo5, ef4thhub6bsd2gtmltknkz8b9, dshd3v6ph8gqdcoa1n9rdi8t0, 9tah9hvep4bqppokmuw720qvo, cc04mat3snly9oe4bt7xaeooa, bpt2fdnjjpb6a5ehdepyedxt6",4027820447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4027897607,197,11942,4027820455,194,1r5gn4osgwz2b2b4sefncbhed,4027820449,59,"47, 21, 3, 14, 28, 44, 16, 7, 92, 10, 45, 8, 9, 11, 13, 15, 20, 25, 27, 31, 35, 42, 64",4027820451,130,4,4027820453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901797,2,32,1,0,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2023-02-12T11:31:59.910Z,2023-02-12T11:32:00Z,4027898713,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901789,2,32,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,0,0,2023-02-12T11:31:59.910Z,2023-02-12T18:25:41Z,4027898675,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901827,3,1,1,0,0,dxq76zcvnokq07cszdx0i6kve,1,49.8,49.9,2023-02-12T11:31:59.968Z,2023-02-12T18:39:03Z,4027898851,212,19.6,4027898853,213,2.5,4027898847,140,34.9,4027898849,141,67.2,4027898855,279,S,4029514983,178,,4027898845,56,Back,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901855,4,1,1,0,2,dxq76zcvnokq07cszdx0i6kve,1,34.7,69.6,2023-02-12T11:32:02.712Z,2023-02-12T18:39:06Z,4029515189,178,,4027898983,56,Back,4027898991,213,0.9,4027898987,141,96.5,4027898989,212,22.9,4027898985,140,47.9,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901881,5,1,1,0,6,dxq76zcvnokq07cszdx0i6kve,1,47.6,95.6,2023-02-12T11:32:06.756Z,2023-02-12T18:39:10Z,4027899091,140,38.9,4027899089,56,Back,4027899093,141,86.3,4027899097,213,3.7,4029515405,178,,4027899095,212,11.1,,,,,,,c33x61zuxixolkkalsigc3q0a,D. Udogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901887,6,1,1,0,9,dxq76zcvnokq07cszdx0i6kve,1,39.2,84.9,2023-02-12T11:32:09.629Z,2023-02-12T18:39:13Z,4027899135,56,Back,4027899141,212,7.7,4027899137,140,45.6,4027899143,213,5.8,4027899139,141,79.5,4029515577,178,,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506901909,7,1,1,0,10,dxq76zcvnokq07cszdx0i6kve,1,45.6,79.5,2023-02-12T11:32:10.842Z,2023-02-12T18:39:15Z,4027899247,141,38.6,4027899249,212,30.4,4027899245,140,34.0,4029515653,178,,4027899243,56,Back,4027899251,213,4.3,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506902009,8,1,1,0,15,dxq76zcvnokq07cszdx0i6kve,1,38.3,33.7,2023-02-12T11:32:15.831Z,2023-02-12T18:39:29Z,4027899775,141,94.7,4027899783,1,,4029515751,178,,4027902083,22,,4027902081,210,16,4027899773,140,72.1,4027899771,56,Left,4027899769,196,,ah0f7tonnst92d8q91j1wll62,J. Bijol,1,4027899767,155,4027899779,213,0.9,4027899777,212,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
