id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/17/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2449465987,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-08-21T17:41:47.308Z,2022-08-21T18:48:06Z,3724122619,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 6lfje6glfgycun47flgmc9jvt, 2idy9ngk2rojseoxxw9n98c7p, n62gu1fztuvojijr41hyetw5, cm6iy4b06qv9y6ww0hthqlwb9, 9q01y4w4dwpaqf8lmpv9wnmc5, 2ugzqrpaooto1r24a6kvqf2ll, 30gsjr0xlmjulnz227zfxga8l, 4euxcqawlks4c56pqj8xvwbf9, 2fsgc0b4mvwpenawmit0q0bmd, e5nv028chtw0955vhnh74ukbu, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, 8d04q3yp2kouwog0lj0s7ew2x, 42m78ny1ggvmzmjtka7exyzqi, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 4cejhrr3ji36591xf54jue3ca, 3ww5879aay1xf2a20nl9ihwid, 30oup47g0i12cvub12r7kmxd6",3724122625,130,17,3724122631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724122623,59,"1, 33, 3, 19, 28, 2, 15, 7, 91, 18, 88, 5, 9, 10, 11, 21, 22, 31, 42, 57, 93",3724122629,194,cm6iy4b06qv9y6ww0hthqlwb9,3724122627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724290681,197,548,3724122621,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449467019,1,34,16,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-08-21T17:43:08.559Z,2022-08-21T19:02:49Z,3724128721,130,8,3724128733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724382253,197,579,3724128719,59,"16, 2, 19, 8, 20, 23, 30, 4, 12, 10, 17, 1, 5, 7, 9, 14, 24, 25, 27, 32, 46, 56, 83, 90",3724128725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3724128717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3724128729,194,e2vtm1318mm61db2wtj4m5p79,3724128715,30,"3fpnfgoy4lbpapv2th6g60cet, e2vtm1318mm61db2wtj4m5p79, 3tpmw6tlijytn0ahwztvedkut, 9sxg58hszjq17avxgumftdu22, b33rlpjo3kx4477alx82si5wq, 3sezchmdtivxl4kusvgc6j7x1, 17au7v1ocl4zab872g59821yi, cknjube5flk1r5ppqthj82c5, eyra5urhrm92240e7qbll736d, 3jln1gzc0859ymphvq83i0mp5, 11o903vztwpnmvgrinn208qnd, 7kph61hobc93t2c2tl8l5j105, dmrj53hcw8vcffxx0lfudbob9, 9ncagt0ezp4f41hz3b64af1t5, 5awkzgwwh48prwgvxwewuc5hx, wr2f0yl1bf68r73hkjee2pqt, ehztjmhg6fsddm1fqb00547o5, ad1n9czqhmfe1saleourqmzth, 1dwwsz1i6v8zwh802ujwf7emt, ch5rw8dgb6wh99wyhd8o3t1pl, enqcaecpt5hy0qv9x5pzmkjc9, 9vnr9uog5fmggich2i4vjxwbt, 68cu39v9m8pykapkh2b97ltqt, 7ox43isyywsnrfcd56nm65be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496323,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-08-21T18:45:09.330Z,2022-08-22T01:18:54Z,3724302793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496331,2,32,1,0,0,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2022-08-21T18:45:09.330Z,2022-08-21T18:45:13Z,3724302831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496381,3,1,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,50,50,2022-08-21T18:45:09.421Z,2022-08-22T01:30:39Z,3725491023,178,,3724303097,212,24.7,3724303099,213,2.5,3724303093,140,31.7,3724303101,279,S,3724303095,141,72.9,3724303091,56,Back,,,,30gsjr0xlmjulnz227zfxga8l,D. Zapata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496435,4,1,1,0,3,e75syeuawg3ql8nwpi3vr2btz,0,30.6,69.1,2022-08-21T18:45:13.035Z,2022-08-22T01:30:43Z,3724303353,1,,3724303351,213,5.6,3724303345,140,67.7,3724303339,155,,3724303343,56,Center,3725491555,178,,3724303347,141,24.0,3724303349,212,49.6,2idy9ngk2rojseoxxw9n98c7p,B. Djimsiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496431,3,44,1,0,7,9dntj5dioj5ex52yrgwzxrq9l,1,31.9,75.8,2022-08-21T18:45:16.352Z,2022-08-22T03:28:22Z,3724303317,285,,3724303429,233,5,3724303315,56,Back,,,,,,,,,,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496439,5,44,1,0,7,e75syeuawg3ql8nwpi3vr2btz,0,68.1,24.2,2022-08-21T18:45:16.353Z,2022-08-22T01:30:48Z,3724303513,233,3,3724303365,56,Center,3724303367,286,,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496453,4,1,1,0,7,9dntj5dioj5ex52yrgwzxrq9l,1,31.2,75.6,2022-08-21T18:45:16.385Z,2022-08-22T03:28:23Z,3724303471,212,17.4,3725491773,388,,3724303465,56,Back,3724303463,3,,3724303467,140,46.7,3724303469,141,66.4,3724303473,213,5.9,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496469,5,49,1,0,9,9dntj5dioj5ex52yrgwzxrq9l,1,46.8,66.4,2022-08-21T18:45:18.917Z,2022-08-22T01:30:54Z,,,,,,,,,,,,,,,,,,,,,,,,,eyra5urhrm92240e7qbll736d,A. Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496483,6,1,1,0,9,9dntj5dioj5ex52yrgwzxrq9l,1,47.2,66.8,2022-08-21T18:45:18.967Z,2022-08-22T01:31:00Z,3724303643,212,12.9,3724303639,140,57.3,3724303637,56,Center,3724303633,168,,3724303647,213,0.6,3725491995,178,,3724303641,141,77.7,,,,eyra5urhrm92240e7qbll736d,A. Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496571,7,1,1,0,12,9dntj5dioj5ex52yrgwzxrq9l,1,58.3,83.5,2022-08-21T18:45:21.412Z,2022-08-22T01:31:06Z,3724304081,140,73.8,3724304083,141,94.6,3725492109,178,,3724304085,212,17.9,3724304591,210,13,3724304087,213,0.4,3724304079,56,Left,,,,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496577,8,13,1,0,17,9dntj5dioj5ex52yrgwzxrq9l,1,97.3,73.3,2022-08-21T18:45:27.277Z,2022-08-22T01:31:06Z,3724304119,65,,3724304611,215,,3724304117,22,,3724304609,103,2.8,3724304607,102,58.7,3724304615,231,54.9,3724304603,55,7,3724304251,20,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,3724304601,29,3725492179,178,3724304599,83,3724304613,230,99.5,3724304121,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,
2449496581,6,5,1,0,18,e75syeuawg3ql8nwpi3vr2btz,1,-1.2,42.4,2022-08-21T18:45:27.824Z,2022-08-22T01:31:10Z,3724304143,56,Back,3724304145,346,,3724304165,233,9,,,,,,,,,,,,,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496583,9,5,1,0,18,9dntj5dioj5ex52yrgwzxrq9l,0,101.2,57.6,2022-08-21T18:45:27.824Z,2022-08-22T01:31:09Z,3724304149,346,,3724304147,56,Center,3724304205,233,6,,,,,,,,,,,,,,,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496837,7,1,1,0,37,e75syeuawg3ql8nwpi3vr2btz,1,4.7,52.7,2022-08-21T18:45:47.173Z,2022-08-22T01:31:15Z,3724305687,237,,3724305679,141,72.7,3724305677,140,7.6,3724305683,213,1.4,3724305673,124,,3724305675,56,Back,3724305681,212,13.9,,,,7drgir9lcwfst8vxz07jboe6t,J. Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496895,8,1,1,0,38,e75syeuawg3ql8nwpi3vr2btz,1,9,73.5,2022-08-21T18:45:47.898Z,2022-08-22T01:31:35Z,3724305951,213,0.9,3724305945,140,20.3,3724305943,56,Back,3724305949,212,20.3,3724305947,141,97.7,3725492611,178,,,,,,,,n62gu1fztuvojijr41hyetw5,M. Demiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496915,9,1,1,0,42,e75syeuawg3ql8nwpi3vr2btz,1,21.2,97.5,2022-08-21T18:45:52.019Z,2022-08-22T01:31:39Z,3724306087,141,77.6,3724306089,212,37.1,3724306091,213,5.9,3724306085,140,54.1,3724306083,56,Center,3724306081,155,,3725492877,178,,3724306093,1,,2idy9ngk2rojseoxxw9n98c7p,B. Djimsiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449496981,10,1,1,0,45,e75syeuawg3ql8nwpi3vr2btz,1,54.1,77.6,2022-08-21T18:45:54.509Z,2022-08-22T01:31:41Z,3724306401,212,24.4,3725492939,388,,3724306387,3,,3724306389,56,Center,3724306393,140,65.4,3724306405,213,5.2,3724306397,141,46.3,,,,30gsjr0xlmjulnz227zfxga8l,D. Zapata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449497019,11,1,1,0,48,e75syeuawg3ql8nwpi3vr2btz,1,66.2,43.4,2022-08-21T18:45:57.440Z,2022-08-22T01:31:56Z,3724306603,56,Right,3725493297,178,,3724306605,140,74.4,3724306609,212,23.5,3724306607,141,11.3,3724306611,213,5.1,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449497071,12,1,1,0,51,e75syeuawg3ql8nwpi3vr2btz,1,76.1,10.7,2022-08-21T18:46:00.997Z,2022-08-22T01:31:58Z,3724306875,141,23.0,3724306873,140,76.1,3724306879,213,1.6,3724306877,212,8.4,3725493357,178,,3724306871,56,Center,,,,,,,1oflzbi4gq8wdjlmpa865jj6d,H. Hateboer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449714631,926,83,1,0,53,9dntj5dioj5ex52yrgwzxrq9l,1,24.9,66.7,2022-08-21T18:46:02.570Z,2022-08-22T02:00:24Z,3725532535,399,157374,,,,,,,,,,,,,,,,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449714331,740,43,1,0,53,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-08-21T18:46:02.613Z,2022-08-22T01:59:33Z,3725531259,178,0,3725531843,144,82,,,,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449497093,13,1,1,0,55,e75syeuawg3ql8nwpi3vr2btz,0,73.8,34.6,2022-08-21T18:46:04.717Z,2022-08-22T01:32:00Z,3724307041,213,0.8,3724307027,56,Center,3724307037,141,43.1,3724307039,212,8.1,3725493397,178,,3724307033,140,79.2,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449497089,10,49,1,0,55,9dntj5dioj5ex52yrgwzxrq9l,1,21.6,55.5,2022-08-21T18:46:05.161Z,2022-08-22T01:32:04Z,,,,,,,,,,,,,,,,,,,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449497157,11,1,1,0,59,9dntj5dioj5ex52yrgwzxrq9l,1,22.6,69.3,2022-08-21T18:46:08.619Z,2022-08-22T01:32:08Z,3725493545,178,,3724307441,140,37.4,3724307445,212,21.1,3724307439,56,Back,3724307443,141,90.3,3724307447,213,0.7,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
