id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/16/value,assist,qualifier/17/value
2529815153,1,34,16,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-07T15:40:02.530Z,2023-04-07T16:58:14Z,4170011229,30,"af58rhtg8ck7c8g7nwfs67d91, 5d9i8ubibyiecxecr9jjvxexh, ypfascbq81vkjbe57108cpn9, 9y8fnvazj02vy31ljx3du0d79, 2kfkjjqh7vrfcfbgr4aa85dqt, 2p1pns6j6id4nx3nbi7fv0wrt, 3bhy6x04rbwzk0nh1fm59dmnd, 72im0m7d8rqpsclo4f5crqmsp, abq67eup8kd31w8da2i0eftgp, cen5nxf8sb8binjr7apt9nb2t, 4zy4d60v2qmaplm9xbe51y1gp, cv0p6dzx3res3affivdwcpolx, 8n0c5t5wzfkoauryyzy8be0gl, copo8qsmvy2fhpi1aev6f46i1, 896uaqjrz22q6fqjfzuwf77jd, cp13vthbds3tl1wtfelfx2evp, jk8n72zhngmdw2ek47zx7f11, dpcws493fepch23sk26m1a8yd, 9bba1hgnx5mzpkzeazsoikn9x, 7knk2xsg4690hgq9us9us8ull, 9c9g2havtsf29fpt5582y8ne2, 40msbo4o5bwx0oeuz4743w161, 1ct0gujao4wvj1ff3aebqgqnd, bcqutyzafpahp2ni41u2xt4gl, u60zu48a4zqnupyxp2d0mqqd",4170011231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170011235,130,4,4170011239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170011241,194,5d9i8ubibyiecxecr9jjvxexh,4170226865,197,9742,4170011233,59,"1, 22, 6, 68, 13, 3, 99, 7, 81, 11, 77, 4, 5, 12, 17, 18, 19, 20, 21, 23, 31, 55, 70, 91, 95",4170011245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529817707,1,34,16,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-04-07T15:42:08.037Z,2023-04-07T17:00:18Z,4170025211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170025203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170025217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170229463,197,5190,4170025205,59,"30, 17, 25, 42, 6, 93, 16, 32, 77, 28, 11, 1, 4, 7, 9, 13, 14, 18, 21, 22, 27, 31, 83, 84, 97",4170025201,30,"3nfxhugbxid6o0r92txslivh1, a9jc36ub52lh0jgq2ya56wyui, 1oszv53od5pulbhx566ht984q, 4x1tm440b5cshi5gxkx5k9m95, bkz9b4cqf8f970myv8r49f561, 8mlps3xgwbxa7svajxfk2exud, dd7i0ps16hldpriliccyvxct0, d9sakxlp96siw0z1jltszdlgp, cv8wgka2bmkeqajg3eo9lb4k5, 9ik51limpi4f3blp1r60hb27d, 6gjr3yxp34gj52xx8xfm9nt91, 3iveuhunq47tg8lg0lm3d31sl, 9h01w81t6g5f5owrtipn9ybpx, 5cjx2i2perp5vr62en4cyer1m, 46yp8iqh0qm7i75d98tfrsbxm, 44g3gj1lpougjwjpq9houab4l, 3ail949zww61xhkymcg66bca1, 9tsvcw4xthhtoqgdowmhef7bp, 9t753r5hnyq6qe5o7csuurw15, cntcffa67r95rbcf1154r92zu, 44f0q2ucrld1rwcwx63vgs7hl, a6jwnrv86cly1ti085c9dnn6c, 40g1jre7l8d2efvx9961kyqga, e3o8o5b5sxbjd2s17w14rmga, 90pjbz2aq8vz4qapqu1yt2ynd",4170025207,130,4,4170025213,194,4x1tm440b5cshi5gxkx5k9m95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854813,2,32,1,0,0,bi1fxjrncd0ram0oi7ja1jyuo,1,0,0,2023-04-07T17:01:14.941Z,2023-04-08T01:00:14Z,4170230605,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854807,2,32,1,0,0,gi0l1habji5hpgar77dl5jqe,1,0,0,2023-04-07T17:01:14.941Z,2023-04-07T17:01:15Z,4170230587,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854821,3,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,50,50,2023-04-07T17:01:15.070Z,2023-04-08T01:04:16Z,4170230633,141,46.9,4171294691,178,,4170230635,212,2.9,4170230639,279,S,4170230629,56,Back,4170230637,213,4.0,4170230631,140,48.1,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854835,4,1,1,0,0,gi0l1habji5hpgar77dl5jqe,1,48.1,46.9,2023-04-07T17:01:15.648Z,2023-04-08T01:04:53Z,4171295265,178,,4170230733,213,6.2,4170230731,212,5.8,4170230725,56,Center,4170230729,141,46.0,4170230727,140,53.6,,,,,,,72im0m7d8rqpsclo4f5crqmsp,E. Elmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854849,5,1,1,0,5,gi0l1habji5hpgar77dl5jqe,1,55.5,31,2023-04-07T17:01:20.313Z,2023-04-08T01:04:57Z,4170230815,56,Back,4171295283,178,,4170230819,141,65.5,4170230817,140,38.8,4170230823,213,2.2,4170230821,212,29.3,,,,,,,9y8fnvazj02vy31ljx3du0d79,S. Lobotka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854871,6,1,1,0,8,gi0l1habji5hpgar77dl5jqe,1,38.8,65.5,2023-04-07T17:01:23.622Z,2023-04-08T01:05:00Z,4170230915,140,42.0,4171295339,178,,4170230919,212,10.5,4170230917,141,80.2,4170230921,213,1.2,4170230913,56,Back,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854883,7,1,1,0,10,gi0l1habji5hpgar77dl5jqe,1,41.4,79.7,2023-04-07T17:01:25.481Z,2023-04-08T01:05:04Z,4171295445,178,,4170230987,141,37.0,4170230989,212,30.2,4170230985,140,33.5,4170230991,213,4.4,4170230983,56,Back,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529854893,8,1,1,0,16,gi0l1habji5hpgar77dl5jqe,1,37,41.2,2023-04-07T17:01:31.113Z,2023-04-08T01:05:08Z,4170231053,212,34.6,4170231047,56,Back,4170231051,141,91.5,4170231057,1,,4170231049,140,41.8,4170231055,213,1.4,4171295479,178,,,,,2kfkjjqh7vrfcfbgr4aa85dqt,A. Rrahmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
