id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value
2462041183,1,34,16,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-18T14:59:14.805Z,2022-09-18T16:05:11Z,3791050707,59,"1, 33, 3, 15, 28, 2, 42, 7, 17, 88, 13, 5, 9, 10, 11, 18, 22, 31, 57, 93",3791050703,30,"7drgir9lcwfst8vxz07jboe6t, 1oflzbi4gq8wdjlmpa865jj6d, 6lfje6glfgycun47flgmc9jvt, 9q01y4w4dwpaqf8lmpv9wnmc5, n62gu1fztuvojijr41hyetw5, cm6iy4b06qv9y6ww0hthqlwb9, 4cejhrr3ji36591xf54jue3ca, 2ugzqrpaooto1r24a6kvqf2ll, d364lpc0km51psy3zwc4a6zca, 2fsgc0b4mvwpenawmit0q0bmd, 4aqkgskbra4wsoo7a8uw7xl9l, e5nv028chtw0955vhnh74ukbu, ds719g843vjs279iine5otgid, 2fqlri41xq6p924kine7pjr2t, 8d04q3yp2kouwog0lj0s7ew2x, 4euxcqawlks4c56pqj8xvwbf9, 7mvqysbmyf6uj3jny3qpqw2ga, 9sdrd6flk2jene11v193nm1n9, 3ww5879aay1xf2a20nl9ihwid, 30oup47g0i12cvub12r7kmxd6",3791050709,130,13,3791050705,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791050713,194,cm6iy4b06qv9y6ww0hthqlwb9,3791050711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791289665,197,16954,3791050715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462042639,1,34,16,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-09-18T15:02:08.351Z,2022-09-18T15:51:10Z,3791058309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791058305,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791058297,30,"7gu0t0g8nej405k918fwsf8id, 1pkymw7biivk760rxhubin1ed, 9ka7y81b5kst146mhq7mom5ed, ab4kuqa33849h6z77ksuqhdk9, 7o9bkf7no8wz167ingslfimdx, 6fttn5mk6n1lstqt0dl5xzn4l, 1ftejgsl4hho40cceqne1hcyd, c5a7z6vphv9tp9ddid5jnrnx1, 363nsa82dww242zeo09wpcslx, eu4xivu8i6yla9fcnuncx1ucp, 57bin6he6kbdo2bs4i78z2k0l, 8u46wgn2upd99tmmchxuw1gbt, 97mmzzi3dwdos6jtj2m05w4ph, a21winmltx1h9oiwqtfditkut, z0nxnl93yjtz8mty3qi5542x, 4cu8rbv55v6f6jiq50c4xatqs, du4ciqofpkn3nei5q3huwlnje, bh9jia8qgkhpm5xn82bx0hhck, b0b0xalrak7k5pnfnum53umtw, bqokrpmzy2l5xyn2rgzxotzpw, 2vc68n3a4bmvrg09042ndt4pg, el58uxf7oaqu95yx1vbgmr7it",3791058303,130,17,3791058301,59,"1, 19, 37, 3, 6, 23, 4, 8, 9, 22, 7, 17, 11, 14, 20, 52, 59, 62, 63, 65, 73, 99",3791058307,194,57bin6he6kbdo2bs4i78z2k0l,3791058299,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791262041,197,8380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462088913,2,32,1,0,0,e75syeuawg3ql8nwpi3vr2btz,1,0,0,2022-09-18T16:01:37.979Z,2022-09-18T16:01:42Z,3791304837,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462088899,2,32,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-09-18T16:01:37.979Z,2022-09-18T22:32:08Z,3791304787,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462088971,3,1,1,0,0,2tk2l9sgktwc9jhzqdd4mpdtb,1,50,50,2022-09-18T16:01:37.989Z,2022-09-19T00:50:43Z,3792951573,178,,3791305187,213,3.5,3791305191,279,S,3791305177,56,Back,3791305179,140,35.0,3791305183,212,16.9,3791305181,141,40.9,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462088981,4,1,1,0,2,2tk2l9sgktwc9jhzqdd4mpdtb,1,34.3,36.1,2022-09-18T16:01:40.010Z,2022-09-19T00:50:51Z,3792951991,178,,3791305229,213,4.8,3791305225,141,12.0,3791305223,140,35.3,3791305221,56,Back,3791305227,212,16.4,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462089065,5,1,1,0,5,2tk2l9sgktwc9jhzqdd4mpdtb,1,37.1,7.6,2022-09-18T16:01:42.982Z,2022-09-19T00:50:56Z,3792952167,178,,3791305627,155,,3791305629,56,Right,3791305641,213,0.1,3791305633,141,15.2,3791305631,140,75.4,3791305645,1,,3791305637,212,40.5,1pkymw7biivk760rxhubin1ed,Z. Çelik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462089073,6,61,1,0,10,2tk2l9sgktwc9jhzqdd4mpdtb,0,73.3,1.9,2022-09-18T16:01:48.029Z,2022-09-19T00:51:03Z,3791305669,56,Right,3792952503,178,,,,,,,,,,,,,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462089243,3,5,1,0,10,e75syeuawg3ql8nwpi3vr2btz,1,26.2,101.5,2022-09-18T16:01:48.649Z,2022-09-19T00:51:05Z,3791306457,233,7,3791306443,56,Back,3791306445,347,,,,,,,,,,,,,,,,,d364lpc0km51psy3zwc4a6zca,R. Højlund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462089075,7,5,1,0,10,2tk2l9sgktwc9jhzqdd4mpdtb,0,73.8,-1.5,2022-09-18T16:01:48.649Z,2022-09-19T00:51:05Z,3791306477,233,3,3791305675,56,Right,3791305677,347,,,,,,,,,,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
