id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,keyPass,qualifier/9/value
2533199621,713,45,1,0,21,af91jdcs6x0bqkmdb78rokod2,0,58,5.2,2023-04-14T16:30:29.452Z,2023-04-15T01:03:44Z,4188030287,285,,4188030285,56,Right,4188641379,233,1029,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533199485,1029,3,1,0,21,8le3orkfz6iix3jns6g9ojqjg,1,42,94.8,2023-04-14T16:30:29.452Z,2023-04-15T01:03:44Z,4188700021,178,,4188029685,465,,4188641375,233,713,4188029681,56,Back,4188029683,286,,,,,,,,,,,31b0dvddmki2b2zvumesyrx4a,R. Piccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108303,5,61,1,0,22,8le3orkfz6iix3jns6g9ojqjg,0,57.1,96.8,2023-04-14T16:30:30.803Z,2023-04-15T01:03:50Z,4187544791,56,Left,4188700145,178,,,,,,,,,,,,,,,,,,,,31b0dvddmki2b2zvumesyrx4a,R. Piccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108319,6,5,1,0,24,8le3orkfz6iix3jns6g9ojqjg,0,62.7,101.6,2023-04-14T16:30:32.110Z,2023-04-15T01:03:55Z,4187545321,233,7,4187544869,56,Left,4187544871,347,,,,,,,,,,,,,,,,,31b0dvddmki2b2zvumesyrx4a,R. Piccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108395,7,5,1,0,24,af91jdcs6x0bqkmdb78rokod2,1,37.3,-1.6,2023-04-14T16:30:32.110Z,2023-04-15T01:03:55Z,4187545287,347,,4187545285,56,Back,4187545289,233,6,,,,,,,,,,,,,,,,enopqyya6qq64lvliw7lw0s4q,F. Tsadjout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108411,8,1,1,0,40,af91jdcs6x0bqkmdb78rokod2,1,35.9,0,2023-04-14T16:30:48.978Z,2023-04-15T01:03:59Z,4187545393,56,Back,4187545397,141,8.3,4187545401,213,2.7,4187545387,107,,4187545395,140,22.5,4187545399,212,15.7,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108439,9,1,1,0,44,af91jdcs6x0bqkmdb78rokod2,1,22.5,8.3,2023-04-14T16:30:52.636Z,2023-04-15T01:04:02Z,4188700429,178,,4187545553,56,Back,4187545561,213,2.3,4187545555,140,8.1,4187545559,212,23.9,4187545557,141,35.5,,,,,,,7ojvhhfvbtbn60sc50y4l2ctm,J. Vásquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108459,10,1,1,0,51,af91jdcs6x0bqkmdb78rokod2,1,8.8,38.6,2023-04-14T16:30:59.653Z,2023-04-15T01:04:05Z,4187545627,141,87.7,4187545631,213,1.4,4187545625,140,13.5,4187545629,212,33.8,4187545633,1,,4187545623,56,Back,4188700487,178,,,,,eu9b86opw6n66vftu1r5alfqh,M. Carnesecchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108479,11,1,1,0,55,af91jdcs6x0bqkmdb78rokod2,0,15,92.7,2023-04-14T16:31:03.613Z,2023-04-15T01:04:07Z,4188700547,178,,4187545733,155,,4187545745,1,,4187545741,212,70.7,4187545743,213,5.9,4188036745,4,,4187545737,140,77.5,4187545735,56,Center,d9bg5jjv8pz0f8u55x3hg0962,E. Valeri,4187545739,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108491,7,59,1,0,59,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-14T16:31:07.733Z,2023-04-15T01:04:11Z,4187545807,56,Back,,,,,,,,,,,,,,,,,,,,,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108493,8,49,1,0,59,8le3orkfz6iix3jns6g9ojqjg,1,20.3,43.4,2023-04-14T16:31:07.843Z,2023-04-15T01:04:14Z,,,,,,,,,,,,,,,,,,,,,,,,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108505,9,1,1,0,59,8le3orkfz6iix3jns6g9ojqjg,0,20.3,43.4,2023-04-14T16:31:07.885Z,2023-04-15T01:04:18Z,4187545873,212,58.0,4187545865,157,,4187545869,140,74.3,4187545867,56,Center,4187545875,213,6.1,4187545877,1,,4187545871,141,25.5,4188700815,178,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108521,12,1,1,1,3,af91jdcs6x0bqkmdb78rokod2,1,24.2,76.6,2023-04-14T16:31:11.774Z,2023-04-15T01:04:23Z,4187545961,213,0.0,4187545953,56,Back,4187545951,3,,4187545957,141,76.9,4188700909,178,,4187545959,212,9.3,4187545955,140,33.1,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108537,13,1,1,1,4,af91jdcs6x0bqkmdb78rokod2,1,33.1,76.9,2023-04-14T16:31:12.879Z,2023-04-15T01:04:26Z,4188700963,178,,4187546043,141,76.9,4187546039,56,Back,4187546045,212,7.8,4187546041,140,40.5,4187546047,213,0,,,,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108539,14,49,1,1,6,af91jdcs6x0bqkmdb78rokod2,1,40.5,76.9,2023-04-14T16:31:14.072Z,2023-04-15T01:04:30Z,,,,,,,,,,,,,,,,,,,,,,,,,a7gi41760sk45wbkpbps3njdh,M. Castagnetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108569,15,1,1,1,6,af91jdcs6x0bqkmdb78rokod2,1,42.1,73.6,2023-04-14T16:31:14.994Z,2023-04-15T01:04:33Z,4188701085,178,,4187546177,140,38.5,4187546175,56,Back,4187546179,141,28.1,4187546181,212,31.2,4187546183,213,4.6,,,,,,,a7gi41760sk45wbkpbps3njdh,M. Castagnetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108605,16,1,1,1,10,af91jdcs6x0bqkmdb78rokod2,1,46.7,20.2,2023-04-14T16:31:18.708Z,2023-04-15T01:04:37Z,4187546383,212,16.6,4187546377,56,Right,4187546385,213,5.7,4187546379,140,59.6,4187546381,141,6.1,4188701197,178,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108619,17,1,1,1,13,af91jdcs6x0bqkmdb78rokod2,1,59.6,6.1,2023-04-14T16:31:21.748Z,2023-04-15T01:04:40Z,4187546479,212,14.2,4187546481,213,1.8,4187546475,140,56.3,4188701299,178,,4187546477,141,26.3,4187546473,56,Center,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108637,18,1,1,1,15,af91jdcs6x0bqkmdb78rokod2,1,56.3,26.3,2023-04-14T16:31:23.997Z,2023-04-15T01:04:43Z,4188701387,178,,4187546541,141,29.6,4187546545,213,0.3,4187546543,212,7.4,4187546539,140,63.0,4187546537,56,Center,,,,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108647,19,1,1,1,16,af91jdcs6x0bqkmdb78rokod2,1,63,29.6,2023-04-14T16:31:24.858Z,2023-04-15T01:04:45Z,4188701437,178,,4187546595,212,17.4,4187546589,56,Right,4187546591,140,57.0,4187546587,155,,4187546597,213,4.3,4187546593,141,5.7,,,,860ysqvvnpfya7bwxbe4g0wk5,P. Galdames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108669,20,1,1,1,19,af91jdcs6x0bqkmdb78rokod2,1,57,5.7,2023-04-14T16:31:27.163Z,2023-04-15T01:04:49Z,4187546701,213,0.9,4187546695,140,62.0,4187546699,212,8.1,4187546697,141,14.8,4187546693,56,Right,4188701565,178,,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108679,21,1,1,1,19,af91jdcs6x0bqkmdb78rokod2,1,62,14.8,2023-04-14T16:31:27.903Z,2023-04-15T01:04:52Z,4188701593,178,,4187546793,213,5.0,4187546791,212,8.2,4187546787,140,64.2,4187546789,141,3.2,4187546785,56,Right,,,,,,,860ysqvvnpfya7bwxbe4g0wk5,P. Galdames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
